Year,Series,Units,starv,Value
2016,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",132.200647249191
2016,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.8843042071197
2017,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,27.3343974461293
2017,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",128.132482043097
2017,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,13.7470071827614
2018,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,29.3174980828598
2018,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",134.022848378788
2018,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.898912637395
2019,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,29.8816539418043
2019,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",133.344945375021
2019,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,13.3732013431262
2020,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,30.2279484638256
2020,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",131.12754440802
2020,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.7125104825799
2020,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,9.7202104139666
2021,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,31.8230091822445
2021,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",133.776938186671
2021,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.7442411255533
2021,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,9.5863760678941
