Year,Measure,Value
2000,Annual growth of exports of goods and services (%),15.4
2000,Annual growth of imports of goods and services (%),25.5
2000,"Annual inflation, consumer prices (%)",4.9
2000,Total unemployment out of total labour force (national estimate) (%),..
2001,Merchandise trade as a proportion of GDP (%),86.2
2001,"Personal remittances, received, as a proportion of GDP (%)",3.2
2001,Current account balance as a proportion of GDP (%),12.5
2001,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2001,"Portfolio investment, net (BoP, current US$)",..
2001,Total reserves in months of imports,..
2001,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2001,External debt stocks as a proportion of GNI (%),..
2001,DEC alternative conversion factor (LCU per US$),831.9
2001,Annual broad money growth (%),..
2001,Broad money to total reserves ratio,..
2001,Bank nonperforming loans to total gross loans (%),..
2001,Bank capital to assets ratio (%),..
2001,Tax revenue as a proportion of GDP (%),44.2
2001,Cash surplus/deficit as a proportion of GDP (%),12.5
2001,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2001,Annual GDP growth (%),12.0
2001,Annual growth of the gross capital formation (%),-5.3
2001,Annual growth of households and NPISHs final consumption expenditure (%),9.4
2001,Annual growth of the general government final consumption expenditure (%),11.1
2001,Annual growth of exports of goods and services (%),12.5
2001,Annual growth of imports of goods and services (%),0.9
2001,"Annual inflation, consumer prices (%)",2.7
2001,Total unemployment out of total labour force (national estimate) (%),..
2002,Merchandise trade as a proportion of GDP (%),79.7
2002,"Personal remittances, received, as a proportion of GDP (%)",3.0
2002,Current account balance as a proportion of GDP (%),10.1
2002,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2002,"Portfolio investment, net (BoP, current US$)",..
2002,Total reserves in months of imports,..
2002,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2002,External debt stocks as a proportion of GNI (%),..
2002,DEC alternative conversion factor (LCU per US$),788.1
2002,Annual broad money growth (%),..
2002,Broad money to total reserves ratio,..
2002,Bank nonperforming loans to total gross loans (%),..
2002,Bank capital to assets ratio (%),..
2002,Tax revenue as a proportion of GDP (%),45.2
2002,Cash surplus/deficit as a proportion of GDP (%),10.1
2002,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2002,Annual GDP growth (%),4.2
2002,Annual growth of the gross capital formation (%),-6.7
2002,Annual growth of households and NPISHs final consumption expenditure (%),4.7
2002,Annual growth of the general government final consumption expenditure (%),8.8
2002,Annual growth of exports of goods and services (%),-0.8
2002,Annual growth of imports of goods and services (%),-3.1
2002,"Annual inflation, consumer prices (%)",0.5
2002,Total unemployment out of total labour force (national estimate) (%),..
2003,Merchandise trade as a proportion of GDP (%),87.4
2003,"Personal remittances, received, as a proportion of GDP (%)",3.4
2003,Current account balance as a proportion of GDP (%),-3.5
2003,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2003,"Portfolio investment, net (BoP, current US$)",..
2003,Total reserves in months of imports,..
2003,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2003,External debt stocks as a proportion of GNI (%),61.6
2003,DEC alternative conversion factor (LCU per US$),659.0
2003,Annual broad money growth (%),..
2003,Broad money to total reserves ratio,..
2003,Bank nonperforming loans to total gross loans (%),..
2003,Bank capital to assets ratio (%),..
2003,Tax revenue as a proportion of GDP (%),45.3
2003,Cash surplus/deficit as a proportion of GDP (%),-3.5
2003,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2003,Annual GDP growth (%),-1.9
2003,Annual growth of the gross capital formation (%),32.8
2003,Annual growth of households and NPISHs final consumption expenditure (%),5.4
2003,Annual growth of the general government final consumption expenditure (%),6.7
2003,Annual growth of exports of goods and services (%),-6.3
2003,Annual growth of imports of goods and services (%),21.9
2003,"Annual inflation, consumer prices (%)",1.2
2003,Total unemployment out of total labour force (national estimate) (%),..
2004,Merchandise trade as a proportion of GDP (%),71.6
2004,"Personal remittances, received, as a proportion of GDP (%)",2.9
2004,Current account balance as a proportion of GDP (%),5.3
2004,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2004,"Portfolio investment, net (BoP, current US$)",..
2004,Total reserves in months of imports,..
2004,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2004,External debt stocks as a proportion of GNI (%),60.3
2004,DEC alternative conversion factor (LCU per US$),598.9
2004,Annual broad money growth (%),..
2004,Broad money to total reserves ratio,..
2004,Bank nonperforming loans to total gross loans (%),..
2004,Bank capital to assets ratio (%),..
2004,Tax revenue as a proportion of GDP (%),43.8
2004,Cash surplus/deficit as a proportion of GDP (%),5.3
2004,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2004,Annual GDP growth (%),3.6
2004,Annual growth of the gross capital formation (%),-34.1
2004,Annual growth of households and NPISHs final consumption expenditure (%),7.2
2004,Annual growth of the general government final consumption expenditure (%),6.0
2004,Annual growth of exports of goods and services (%),-2.4
2004,Annual growth of imports of goods and services (%),-15.6
2004,"Annual inflation, consumer prices (%)",0.6
2004,Total unemployment out of total labour force (national estimate) (%),..
2005,Merchandise trade as a proportion of GDP (%),75.6
2005,"Personal remittances, received, as a proportion of GDP (%)",3.7
2005,Current account balance as a proportion of GDP (%),-5.7
2005,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2005,"Portfolio investment, net (BoP, current US$)",..
2005,Total reserves in months of imports,..
2005,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2005,External debt stocks as a proportion of GNI (%),75.5
2005,DEC alternative conversion factor (LCU per US$),600.3
2005,Annual broad money growth (%),..
2005,Broad money to total reserves ratio,..
2005,Bank nonperforming loans to total gross loans (%),..
2005,Bank capital to assets ratio (%),..
2005,Tax revenue as a proportion of GDP (%),43.6
2005,Cash surplus/deficit as a proportion of GDP (%),-5.7
2005,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2005,Annual GDP growth (%),2.8
2005,Annual growth of the gross capital formation (%),11.8
2005,Annual growth of households and NPISHs final consumption expenditure (%),18.1
2005,Annual growth of the general government final consumption expenditure (%),5.2
2005,Annual growth of exports of goods and services (%),-1.7
2005,Annual growth of imports of goods and services (%),21.0
2005,"Annual inflation, consumer prices (%)",2.0
2005,Total unemployment out of total labour force (national estimate) (%),3.5
2006,Merchandise trade as a proportion of GDP (%),71.0
2006,"Personal remittances, received, as a proportion of GDP (%)",3.6
2006,Current account balance as a proportion of GDP (%),-3.1
2006,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2006,"Portfolio investment, net (BoP, current US$)",..
2006,Total reserves in months of imports,..
2006,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2006,External debt stocks as a proportion of GNI (%),84.4
2006,DEC alternative conversion factor (LCU per US$),594.7
2006,Annual broad money growth (%),..
2006,Broad money to total reserves ratio,..
2006,Bank nonperforming loans to total gross loans (%),..
2006,Bank capital to assets ratio (%),..
2006,Tax revenue as a proportion of GDP (%),43.5
2006,Cash surplus/deficit as a proportion of GDP (%),-3.1
2006,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2006,Annual GDP growth (%),13.9
2006,Annual growth of the gross capital formation (%),49.5
2006,Annual growth of households and NPISHs final consumption expenditure (%),1.3
2006,Annual growth of the general government final consumption expenditure (%),3.9
2006,Annual growth of exports of goods and services (%),13.0
2006,Annual growth of imports of goods and services (%),7.3
2006,"Annual inflation, consumer prices (%)",1.5
2006,Total unemployment out of total labour force (national estimate) (%),1.8
2007,Merchandise trade as a proportion of GDP (%),75.4
2007,"Personal remittances, received, as a proportion of GDP (%)",3.8
2007,Current account balance as a proportion of GDP (%),-3.5
2007,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2007,"Portfolio investment, net (BoP, current US$)",..
2007,Total reserves in months of imports,..
2007,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2007,External debt stocks as a proportion of GNI (%),108.2
2007,DEC alternative conversion factor (LCU per US$),544.6
2007,Annual broad money growth (%),..
2007,Broad money to total reserves ratio,..
2007,Bank nonperforming loans to total gross loans (%),..
2007,Bank capital to assets ratio (%),..
2007,Tax revenue as a proportion of GDP (%),44.9
2007,Cash surplus/deficit as a proportion of GDP (%),-3.5
2007,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2007,Annual GDP growth (%),6.0
2007,Annual growth of the gross capital formation (%),19.2
2007,Annual growth of households and NPISHs final consumption expenditure (%),1.2
2007,Annual growth of the general government final consumption expenditure (%),8.3
2007,Annual growth of exports of goods and services (%),7.0
2007,Annual growth of imports of goods and services (%),9.5
2007,"Annual inflation, consumer prices (%)",3.6
2007,Total unemployment out of total labour force (national estimate) (%),1.7
2008,Merchandise trade as a proportion of GDP (%),73.8
2008,"Personal remittances, received, as a proportion of GDP (%)",4.5
2008,Current account balance as a proportion of GDP (%),-4.8
2008,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2008,"Portfolio investment, net (BoP, current US$)",..
2008,Total reserves in months of imports,..
2008,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2008,External debt stocks as a proportion of GNI (%),118.4
2008,DEC alternative conversion factor (LCU per US$),509.9
2008,Annual broad money growth (%),..
2008,Broad money to total reserves ratio,..
2008,Bank nonperforming loans to total gross loans (%),..
2008,Bank capital to assets ratio (%),..
2008,Tax revenue as a proportion of GDP (%),45.2
2008,Cash surplus/deficit as a proportion of GDP (%),-4.8
2008,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2008,Annual GDP growth (%),-0.1
2008,Annual growth of the gross capital formation (%),-18.1
2008,Annual growth of households and NPISHs final consumption expenditure (%),-2.1
2008,Annual growth of the general government final consumption expenditure (%),10.7
2008,Annual growth of exports of goods and services (%),8.8
2008,Annual growth of imports of goods and services (%),-0.1
2008,"Annual inflation, consumer prices (%)",6.3
2008,Total unemployment out of total labour force (national estimate) (%),2.4
2009,Merchandise trade as a proportion of GDP (%),67.7
2009,"Personal remittances, received, as a proportion of GDP (%)",5.3
2009,Current account balance as a proportion of GDP (%),-5.7
2009,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2009,"Portfolio investment, net (BoP, current US$)",..
2009,Total reserves in months of imports,..
2009,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2009,External debt stocks as a proportion of GNI (%),140.4
2009,DEC alternative conversion factor (LCU per US$),535.5
2009,Annual broad money growth (%),..
2009,Broad money to total reserves ratio,..
2009,Bank nonperforming loans to total gross loans (%),..
2009,Bank capital to assets ratio (%),..
2009,Tax revenue as a proportion of GDP (%),43.7
2009,Cash surplus/deficit as a proportion of GDP (%),-5.7
2009,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2009,Annual GDP growth (%),-3.0
2009,Annual growth of the gross capital formation (%),-36.2
2009,Annual growth of households and NPISHs final consumption expenditure (%),5.4
2009,Annual growth of the general government final consumption expenditure (%),3.8
2009,Annual growth of exports of goods and services (%),-7.9
2009,Annual growth of imports of goods and services (%),-10.3
2009,"Annual inflation, consumer prices (%)",-1.1
2009,Total unemployment out of total labour force (national estimate) (%),3.9
2010,Merchandise trade as a proportion of GDP (%),69.6
2010,"Personal remittances, received, as a proportion of GDP (%)",5.4
2010,Current account balance as a proportion of GDP (%),4.1
2010,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2010,"Portfolio investment, net (BoP, current US$)",..
2010,Total reserves in months of imports,..
2010,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2010,External debt stocks as a proportion of GNI (%),144.7
2010,DEC alternative conversion factor (LCU per US$),562.6
2010,Annual broad money growth (%),..
2010,Broad money to total reserves ratio,..
2010,Bank nonperforming loans to total gross loans (%),..
2010,Bank capital to assets ratio (%),..
2010,Tax revenue as a proportion of GDP (%),43.1
2010,Cash surplus/deficit as a proportion of GDP (%),4.1
2010,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2010,Annual GDP growth (%),6.1
2010,Annual growth of the gross capital formation (%),18.4
2010,Annual growth of households and NPISHs final consumption expenditure (%),-7.1
2010,Annual growth of the general government final consumption expenditure (%),4.8
2010,Annual growth of exports of goods and services (%),14.0
2010,Annual growth of imports of goods and services (%),1.1
2010,"Annual inflation, consumer prices (%)",0.4
2010,Total unemployment out of total labour force (national estimate) (%),6.4
2011,Merchandise trade as a proportion of GDP (%),79.8
2011,"Personal remittances, received, as a proportion of GDP (%)",6.1
2011,Current account balance as a proportion of GDP (%),12.1
2011,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2011,"Portfolio investment, net (BoP, current US$)",..
2011,Total reserves in months of imports,..
2011,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2011,External debt stocks as a proportion of GNI (%),128.2
2011,DEC alternative conversion factor (LCU per US$),536.2
2011,Annual broad money growth (%),..
2011,Broad money to total reserves ratio,..
2011,Bank nonperforming loans to total gross loans (%),..
2011,Bank capital to assets ratio (%),..
2011,Tax revenue as a proportion of GDP (%),43.8
2011,Cash surplus/deficit as a proportion of GDP (%),12.1
2011,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2011,Annual GDP growth (%),2.7
2011,Annual growth of the gross capital formation (%),-14.6
2011,Annual growth of households and NPISHs final consumption expenditure (%),4.3
2011,Annual growth of the general government final consumption expenditure (%),1.7
2011,Annual growth of exports of goods and services (%),15.1
2011,Annual growth of imports of goods and services (%),8.6
2011,"Annual inflation, consumer prices (%)",2.3
2011,Total unemployment out of total labour force (national estimate) (%),5.3
2012,Merchandise trade as a proportion of GDP (%),87.3
2012,"Personal remittances, received, as a proportion of GDP (%)",6.5
2012,Current account balance as a proportion of GDP (%),-1.3
2012,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2012,"Portfolio investment, net (BoP, current US$)",..
2012,Total reserves in months of imports,..
2012,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2012,External debt stocks as a proportion of GNI (%),131.9
2012,DEC alternative conversion factor (LCU per US$),579.7
2012,Annual broad money growth (%),..
2012,Broad money to total reserves ratio,..
2012,Bank nonperforming loans to total gross loans (%),..
2012,Bank capital to assets ratio (%),..
2012,Tax revenue as a proportion of GDP (%),43.0
2012,Cash surplus/deficit as a proportion of GDP (%),-1.3
2012,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2012,Annual GDP growth (%),4.2
2012,Annual growth of the gross capital formation (%),70.4
2012,Annual growth of households and NPISHs final consumption expenditure (%),7.9
2012,Annual growth of the general government final consumption expenditure (%),1.8
2012,Annual growth of exports of goods and services (%),4.8
2012,Annual growth of imports of goods and services (%),26.4
2012,"Annual inflation, consumer prices (%)",2.1
2012,Total unemployment out of total labour force (national estimate) (%),3.0
2013,Merchandise trade as a proportion of GDP (%),82.7
2013,"Personal remittances, received, as a proportion of GDP (%)",6.7
2013,Current account balance as a proportion of GDP (%),7.7
2013,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2013,"Portfolio investment, net (BoP, current US$)",..
2013,Total reserves in months of imports,..
2013,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2013,External debt stocks as a proportion of GNI (%),134.3
2013,DEC alternative conversion factor (LCU per US$),561.6
2013,Annual broad money growth (%),..
2013,Broad money to total reserves ratio,..
2013,Bank nonperforming loans to total gross loans (%),..
2013,Bank capital to assets ratio (%),..
2013,Tax revenue as a proportion of GDP (%),40.2
2013,Cash surplus/deficit as a proportion of GDP (%),7.7
2013,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2013,Annual GDP growth (%),7.5
2013,Annual growth of the gross capital formation (%),-11.1
2013,Annual growth of households and NPISHs final consumption expenditure (%),1.5
2013,Annual growth of the general government final consumption expenditure (%),2.9
2013,Annual growth of exports of goods and services (%),13.4
2013,Annual growth of imports of goods and services (%),-2.5
2013,"Annual inflation, consumer prices (%)",-0.6
2013,Total unemployment out of total labour force (national estimate) (%),4.0
2014,Merchandise trade as a proportion of GDP (%),76.7
2014,"Personal remittances, received, as a proportion of GDP (%)",6.3
2014,Current account balance as a proportion of GDP (%),9.4
2014,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2014,"Portfolio investment, net (BoP, current US$)",..
2014,Total reserves in months of imports,..
2014,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2014,External debt stocks as a proportion of GNI (%),131.8
2014,DEC alternative conversion factor (LCU per US$),561.9
2014,Annual broad money growth (%),..
2014,Broad money to total reserves ratio,..
2014,Bank nonperforming loans to total gross loans (%),..
2014,Bank capital to assets ratio (%),..
2014,Tax revenue as a proportion of GDP (%),39.8
2014,Cash surplus/deficit as a proportion of GDP (%),9.4
2014,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2014,Annual GDP growth (%),8.3
2014,Annual growth of the gross capital formation (%),9.7
2014,Annual growth of households and NPISHs final consumption expenditure (%),2.8
2014,Annual growth of the general government final consumption expenditure (%),2.8
2014,Annual growth of exports of goods and services (%),4.3
2014,Annual growth of imports of goods and services (%),-2.6
2014,"Annual inflation, consumer prices (%)",-1.0
2014,Total unemployment out of total labour force (national estimate) (%),3.2
2015,Merchandise trade as a proportion of GDP (%),75.7
2015,"Personal remittances, received, as a proportion of GDP (%)",6.0
2015,Current account balance as a proportion of GDP (%),8.5
2015,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2015,"Portfolio investment, net (BoP, current US$)",..
2015,Total reserves in months of imports,..
2015,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2015,External debt stocks as a proportion of GNI (%),133.8
2015,DEC alternative conversion factor (LCU per US$),672.7
2015,Annual broad money growth (%),..
2015,Broad money to total reserves ratio,..
2015,Bank nonperforming loans to total gross loans (%),..
2015,Bank capital to assets ratio (%),..
2015,Tax revenue as a proportion of GDP (%),40.8
2015,Cash surplus/deficit as a proportion of GDP (%),8.5
2015,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2015,Annual GDP growth (%),5.9
2015,Annual growth of the gross capital formation (%),17.1
2015,Annual growth of households and NPISHs final consumption expenditure (%),2.3
2015,Annual growth of the general government final consumption expenditure (%),2.9
2015,Annual growth of exports of goods and services (%),5.5
2015,Annual growth of imports of goods and services (%),5.2
2015,"Annual inflation, consumer prices (%)",-1.7
2015,Total unemployment out of total labour force (national estimate) (%),3.3
2016,Merchandise trade as a proportion of GDP (%),77.5
2016,"Personal remittances, received, as a proportion of GDP (%)",5.7
2016,Current account balance as a proportion of GDP (%),12.7
2016,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2016,"Portfolio investment, net (BoP, current US$)",..
2016,Total reserves in months of imports,..
2016,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2016,External debt stocks as a proportion of GNI (%),119.7
2016,DEC alternative conversion factor (LCU per US$),673.3
2016,Annual broad money growth (%),..
2016,Broad money to total reserves ratio,..
2016,Bank nonperforming loans to total gross loans (%),..
2016,Bank capital to assets ratio (%),..
2016,Tax revenue as a proportion of GDP (%),39.4
2016,Cash surplus/deficit as a proportion of GDP (%),12.7
2016,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2016,Annual GDP growth (%),9.5
2016,Annual growth of the gross capital formation (%),0.5
2016,Annual growth of households and NPISHs final consumption expenditure (%),7.0
2016,Annual growth of the general government final consumption expenditure (%),7.1
2016,Annual growth of exports of goods and services (%),12.1
2016,Annual growth of imports of goods and services (%),4.4
2016,"Annual inflation, consumer prices (%)",-0.3
2016,Total unemployment out of total labour force (national estimate) (%),3.5
2017,Merchandise trade as a proportion of GDP (%),81.5
2017,"Personal remittances, received, as a proportion of GDP (%)",5.2
2017,Current account balance as a proportion of GDP (%),14.9
2017,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2017,"Portfolio investment, net (BoP, current US$)",..
2017,Total reserves in months of imports,..
2017,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2017,External debt stocks as a proportion of GNI (%),110.2
2017,DEC alternative conversion factor (LCU per US$),659.5
2017,Annual broad money growth (%),..
2017,Broad money to total reserves ratio,..
2017,Bank nonperforming loans to total gross loans (%),..
2017,Bank capital to assets ratio (%),..
2017,Tax revenue as a proportion of GDP (%),40.9
2017,Cash surplus/deficit as a proportion of GDP (%),14.9
2017,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2017,Annual GDP growth (%),3.9
2017,Annual growth of the gross capital formation (%),8.6
2017,Annual growth of households and NPISHs final consumption expenditure (%),-0.5
2017,Annual growth of the general government final consumption expenditure (%),3.6
2017,Annual growth of exports of goods and services (%),7.4
2017,Annual growth of imports of goods and services (%),5.7
2017,"Annual inflation, consumer prices (%)",1.1
2017,Total unemployment out of total labour force (national estimate) (%),2.5
2018,Merchandise trade as a proportion of GDP (%),78.0
2018,"Personal remittances, received, as a proportion of GDP (%)",5.2
2018,Current account balance as a proportion of GDP (%),6.0
2018,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2018,"Portfolio investment, net (BoP, current US$)",..
2018,Total reserves in months of imports,..
2018,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2018,External debt stocks as a proportion of GNI (%),114.6
2018,DEC alternative conversion factor (LCU per US$),631.7
2018,Annual broad money growth (%),..
2018,Broad money to total reserves ratio,..
2018,Bank nonperforming loans to total gross loans (%),..
2018,Bank capital to assets ratio (%),..
2018,Tax revenue as a proportion of GDP (%),41.9
2018,Cash surplus/deficit as a proportion of GDP (%),8.5
2018,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2018,Annual GDP growth (%),2.4
2018,Annual growth of the gross capital formation (%),32.7
2018,Annual growth of households and NPISHs final consumption expenditure (%),0.3
2018,Annual growth of the general government final consumption expenditure (%),5.5
2018,Annual growth of exports of goods and services (%),-4.1
2018,Annual growth of imports of goods and services (%),8.7
2018,"Annual inflation, consumer prices (%)",1.2
2018,Total unemployment out of total labour force (national estimate) (%),1.8
2019,Merchandise trade as a proportion of GDP (%),80.7
2019,"Personal remittances, received, as a proportion of GDP (%)",4.8
2019,Current account balance as a proportion of GDP (%),10.1
2019,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2019,"Portfolio investment, net (BoP, current US$)",..
2019,Total reserves in months of imports,..
2019,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2019,External debt stocks as a proportion of GNI (%),140.0
2019,DEC alternative conversion factor (LCU per US$),667.0
2019,Annual broad money growth (%),..
2019,Broad money to total reserves ratio,..
2019,Bank nonperforming loans to total gross loans (%),..
2019,Bank capital to assets ratio (%),..
2019,Tax revenue as a proportion of GDP (%),41.4
2019,Cash surplus/deficit as a proportion of GDP (%),12.0
2019,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2019,Annual GDP growth (%),8.6
2019,Annual growth of the gross capital formation (%),1.8
2019,Annual growth of households and NPISHs final consumption expenditure (%),5.1
2019,Annual growth of the general government final consumption expenditure (%),4.9
2019,Annual growth of exports of goods and services (%),14.2
2019,Annual growth of imports of goods and services (%),5.8
2019,"Annual inflation, consumer prices (%)",1.3
2019,Total unemployment out of total labour force (national estimate) (%),1.3
2020,Merchandise trade as a proportion of GDP (%),77.1
2020,"Personal remittances, received, as a proportion of GDP (%)",4.5
