Year,Series,source,Units,Value
2011,Total government revenue,Grants,pct.,7.05346300343428
2012,Total government revenue,Grants,pct.,6.79014551015328
2013,Total government revenue,Grants,pct.,6.36914594433597
2014,Total government revenue,Grants,pct.,6.09987944212097
2015,Total government revenue,Grants,pct.,6.02128622163192
2016,Total government revenue,Grants,pct.,5.32107199205838
2017,Total government revenue,Grants,pct.,5.36815561315241
2018,Total government revenue,Grants,pct.,5.06613770188927
2019,Total government revenue,Grants,pct.,4.80122053862008
2020,Total government revenue,Grants,pct.,4.79253764360164
2021,Total government revenue,Grants,pct.,4.6343852189428
2022,Total government revenue,Grants,pct.,4.24804392541631
2023,Total government revenue,Grants,pct.,3.92939963926823
2024,Total government revenue,Grants,pct.,3.90474861234875
1998,Total government revenue,Other revenue,pct.,20.6820784038256
1999,Total government revenue,Other revenue,pct.,8.04291193593492
2000,Total government revenue,Other revenue,pct.,8.09144744713411
2001,Total government revenue,Other revenue,pct.,7.98638646742676
2002,Total government revenue,Other revenue,pct.,8.04685761684796
2003,Total government revenue,Other revenue,pct.,7.99604776487473
2004,Total government revenue,Other revenue,pct.,7.33424348701273
2005,Total government revenue,Other revenue,pct.,7.61990958969014
2006,Total government revenue,Other revenue,pct.,7.30943478043455
2007,Total government revenue,Other revenue,pct.,6.84124146895051
2008,Total government revenue,Other revenue,pct.,7.93010377588883
2009,Total government revenue,Other revenue,pct.,7.7926799470302
2010,Total government revenue,Other revenue,pct.,6.16194030135273
2011,Total government revenue,Other revenue,pct.,7.22630447645808
2012,Total government revenue,Other revenue,pct.,6.31202739784487
2013,Total government revenue,Other revenue,pct.,6.82739904689413
2014,Total government revenue,Other revenue,pct.,5.96324575659745
2015,Total government revenue,Other revenue,pct.,5.48012857307848
2016,Total government revenue,Other revenue,pct.,6.15045117276193
2017,Total government revenue,Other revenue,pct.,7.2013417695787
2018,Total government revenue,Other revenue,pct.,8.54760566779904
2019,Total government revenue,Other revenue,pct.,6.70608025595241
2020,Total government revenue,Other revenue,pct.,6.14991891967652
2021,Total government revenue,Other revenue,pct.,7.35555437563146
2022,Total government revenue,Other revenue,pct.,6.59395435462435
2023,Total government revenue,Other revenue,pct.,6.96322744506202
2024,Total government revenue,Other revenue,pct.,6.44063429350568
