Year,Series,Units,Mát,Value
2011,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,22215.3215538925
2011,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,7.9768966593818
2012,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,24185.0989522701
2012,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.2748319641524
2013,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,24205.4247441551
2013,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,7.7022867922031
2014,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,30725.9623835472
2014,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,9.084794678015
2015,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,33048.4097167484
2015,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,9.3214760062366
2016,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,31710.5236544568
2016,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.2785058770105
2017,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,36255.174821686895
2017,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,9.2351476342938
2018,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,35604.5338812265
2018,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.9938812404394
2019,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,43897.8606469342
2019,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.4125258775413
2020,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,44132.3322026146
2020,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.8515144699355
2021,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,46547.9009283271
2021,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.7790320194258
2022,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,48501.83269150471
2022,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.3861729651105
1998,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.1003687843625
1998,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,16805.0795077822
1999,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.8414897673827
1999,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,18931.8772058334
2000,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.5302819514005
2000,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,19860.2805322022
2001,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,11.2595400084915
2001,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23365.962156296
2002,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,11.2700541399692
2002,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23988.4973622168
2003,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.5474869369233
2003,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21788.4209867006
2004,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.60883366236984
2004,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,20589.9735600601
2005,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.16042831422344
2005,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,20052.2723972702
2006,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.93346779234417
2006,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,22242.742420784
2007,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.94297449913217
2007,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23584.1143271372
2008,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.8721176646683
2008,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23242.9029894641
2009,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.61490466248
2009,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21843.650221444
2010,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.19798386481829
2010,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,22185.9942012237
2011,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,7.97689665938183
2011,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,22215.3215538925
2012,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.27483196415235
2012,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,24185.0989522701
2013,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,7.70228679220306
2013,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,24205.4247441551
2014,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.08479467801502
2014,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,30725.9623835472
2015,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.32147600623665
2015,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,33048.4097167484
2016,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.27850587701049
2016,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,31710.5236544568
2017,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.23514763429385
2017,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,36255.1748216869
2018,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.99388124043944
2018,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,35604.5338812265
2019,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.4125258775413
2019,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,43897.8606469342
2020,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.8515144699355
2020,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,44132.3322026146
2021,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.7790320194258
2021,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,46547.9009283271
2022,,Prosent,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.3861729651105
2022,,DKK/íbúgva,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,48501.8326915047
