Year,Series,party,Units,Value
2011,NP,C,SG_GEN_PARLN,2.0
2011,NP,C,SG_GEN_PARLNT,6.0
2015,NP,C,SG_GEN_PARL,37.5
2015,NP,C,SG_GEN_PARLN,3.0
2015,NP,C,SG_GEN_PARLNT,8.0
2019,NP,C,SG_GEN_PARL,14.3
2019,NP,C,SG_GEN_PARLN,1.0
2019,NP,C,SG_GEN_PARLNT,7.0
2022,NP,C,SG_GEN_PARL,33.3
2022,NP,C,SG_GEN_PARLN,3.0
2022,NP,C,SG_GEN_PARLNT,9.0
1988,NP,KF,SG_GEN_PARL,0.0
1988,NP,KF,SG_GEN_PARLN,0.0
1988,NP,KF,SG_GEN_PARLNT,2.0
1990,NP,KF,SG_GEN_PARL,0.0
1990,NP,KF,SG_GEN_PARLN,0.0
1990,NP,KF,SG_GEN_PARLNT,2.0
1994,NP,KF,SG_GEN_PARL,0.0
1994,NP,KF,SG_GEN_PARLN,0.0
1994,NP,KF,SG_GEN_PARLNT,2.0
1994,NP,H,SG_GEN_PARL,0.0
1994,NP,H,SG_GEN_PARLN,0.0
1994,NP,H,SG_GEN_PARLNT,2.0
1998,NP,H,SG_GEN_PARL,0.0
1998,NP,H,SG_GEN_PARLN,0.0
1998,NP,H,SG_GEN_PARLNT,1.0
2002,NP,H,SG_GEN_PARL,0.0
2002,NP,H,SG_GEN_PARLN,0.0
2002,NP,H,SG_GEN_PARLNT,1.0
2004,NP,H,SG_GEN_PARL,0.0
2004,NP,H,SG_GEN_PARLN,0.0
2004,NP,H,SG_GEN_PARLNT,2.0
2008,NP,H,SG_GEN_PARL,0.0
2008,NP,H,SG_GEN_PARLN,0.0
2008,NP,H,SG_GEN_PARLNT,3.0
2011,NP,H,SG_GEN_PARL,0.0
2011,NP,H,SG_GEN_PARLN,0.0
2011,NP,H,SG_GEN_PARLNT,2.0
2015,NP,H,SG_GEN_PARL,0.0
2015,NP,H,SG_GEN_PARLN,0.0
2015,NP,H,SG_GEN_PARLNT,2.0
2019,NP,H,SG_GEN_PARL,0.0
2019,NP,H,SG_GEN_PARLN,0.0
2019,NP,H,SG_GEN_PARLNT,2.0
2022,NP,H,SG_GEN_PARL,0.0
2022,NP,H,SG_GEN_PARLN,0.0
2022,NP,H,SG_GEN_PARLNT,2.0
1984,NP,B,SG_GEN_PARL,0.0
1984,NP,B,SG_GEN_PARLN,0.0
1984,NP,B,SG_GEN_PARLNT,7.0
1988,NP,B,SG_GEN_PARL,0.0
1988,NP,B,SG_GEN_PARLN,0.0
1988,NP,B,SG_GEN_PARLNT,7.0
1990,NP,B,SG_GEN_PARL,16.7
1990,NP,B,SG_GEN_PARLN,1.0
1990,NP,B,SG_GEN_PARLNT,6.0
1994,NP,B,SG_GEN_PARL,25.0
1994,NP,B,SG_GEN_PARLN,2.0
1994,NP,B,SG_GEN_PARLNT,8.0
1998,NP,B,SG_GEN_PARL,16.7
1998,NP,B,SG_GEN_PARLN,1.0
1998,NP,B,SG_GEN_PARLNT,6.0
2002,NP,B,SG_GEN_PARL,12.5
2002,NP,B,SG_GEN_PARLN,1.0
2002,NP,B,SG_GEN_PARLNT,8.0
2004,NP,B,SG_GEN_PARL,14.3
2004,NP,B,SG_GEN_PARLN,1.0
2004,NP,B,SG_GEN_PARLNT,7.0
2008,NP,B,SG_GEN_PARL,14.3
2008,NP,B,SG_GEN_PARLN,1.0
2008,NP,B,SG_GEN_PARLNT,7.0
2011,NP,B,SG_GEN_PARL,25.0
2011,NP,B,SG_GEN_PARLN,2.0
2011,NP,B,SG_GEN_PARLNT,8.0
2015,NP,B,SG_GEN_PARL,0.0
2015,NP,B,SG_GEN_PARLN,0.0
2015,NP,B,SG_GEN_PARLNT,6.0
2019,NP,B,SG_GEN_PARL,14.3
2019,NP,B,SG_GEN_PARLN,1.0
2019,NP,B,SG_GEN_PARLNT,7.0
2022,NP,B,SG_GEN_PARL,14.3
2022,NP,B,SG_GEN_PARLN,1.0
2022,NP,B,SG_GEN_PARLNT,7.0
1984,NP,D,SG_GEN_PARL,0.0
1984,NP,D,SG_GEN_PARLN,0.0
1984,NP,D,SG_GEN_PARLNT,2.0
1988,NP,D,SG_GEN_PARL,0.0
1988,NP,D,SG_GEN_PARLN,0.0
1988,NP,D,SG_GEN_PARLNT,2.0
1990,NP,D,SG_GEN_PARL,33.3
1990,NP,D,SG_GEN_PARLN,1.0
1990,NP,D,SG_GEN_PARLNT,3.0
1994,NP,D,SG_GEN_PARL,50.0
1994,NP,D,SG_GEN_PARLN,1.0
1994,NP,D,SG_GEN_PARLNT,2.0
1998,NP,D,SG_GEN_PARL,50.0
1998,NP,D,SG_GEN_PARLN,1.0
1998,NP,D,SG_GEN_PARLNT,2.0
2002,NP,D,SG_GEN_PARL,0.0
2002,NP,D,SG_GEN_PARLN,0.0
2002,NP,D,SG_GEN_PARLNT,1.0
2004,NP,D,SG_GEN_PARL,0.0
2004,NP,D,SG_GEN_PARLN,0.0
2004,NP,D,SG_GEN_PARLNT,1.0
2008,NP,D,SG_GEN_PARL,0.0
2008,NP,D,SG_GEN_PARLN,0.0
2008,NP,D,SG_GEN_PARLNT,2.0
2011,NP,D,SG_GEN_PARL,0.0
2011,NP,D,SG_GEN_PARLN,0.0
2011,NP,D,SG_GEN_PARLNT,1.0
2015,NP,D,SG_GEN_PARL,0.0
2015,NP,D,SG_GEN_PARLN,0.0
2015,NP,D,SG_GEN_PARLNT,2.0
2019,NP,D,SG_GEN_PARL,0.0
2019,NP,D,SG_GEN_PARLN,0.0
2019,NP,D,SG_GEN_PARLNT,1.0
1984,NP,E,SG_GEN_PARL,16.7
1984,NP,E,SG_GEN_PARLN,1.0
1984,NP,E,SG_GEN_PARLNT,6.0
1988,NP,E,SG_GEN_PARL,33.3
1988,NP,E,SG_GEN_PARLN,2.0
1988,NP,E,SG_GEN_PARLNT,6.0
1990,NP,E,SG_GEN_PARL,0.0
1990,NP,E,SG_GEN_PARLN,0.0
1990,NP,E,SG_GEN_PARLNT,4.0
1994,NP,E,SG_GEN_PARL,0.0
1994,NP,E,SG_GEN_PARLN,0.0
1994,NP,E,SG_GEN_PARLNT,4.0
1998,NP,E,SG_GEN_PARL,12.5
1998,NP,E,SG_GEN_PARLN,1.0
1998,NP,E,SG_GEN_PARLNT,8.0
2002,NP,E,SG_GEN_PARL,25.0
2002,NP,E,SG_GEN_PARLN,2.0
2002,NP,E,SG_GEN_PARLNT,8.0
2004,NP,E,SG_GEN_PARL,25.0
2004,NP,E,SG_GEN_PARLN,2.0
2004,NP,E,SG_GEN_PARLNT,8.0
2008,NP,E,SG_GEN_PARL,37.5
2008,NP,E,SG_GEN_PARLN,3.0
2008,NP,E,SG_GEN_PARLNT,8.0
2011,NP,E,SG_GEN_PARL,66.7
2011,NP,E,SG_GEN_PARLN,4.0
2011,NP,E,SG_GEN_PARLNT,6.0
2015,NP,E,SG_GEN_PARL,57.1
2015,NP,E,SG_GEN_PARLN,4.0
2015,NP,E,SG_GEN_PARLNT,7.0
2019,NP,E,SG_GEN_PARL,83.3
2019,NP,E,SG_GEN_PARLN,5.0
2019,NP,E,SG_GEN_PARLNT,6.0
2022,NP,E,SG_GEN_PARL,66.7
2022,NP,E,SG_GEN_PARLN,4.0
2022,NP,E,SG_GEN_PARLNT,6.0
1994,NP,vmf,SG_GEN_PARL,33.3
1994,NP,vmf,SG_GEN_PARLN,1.0
1994,NP,vmf,SG_GEN_PARLNT,3.0
1984,NP,4303,SG_GEN_PARL,0.0
1984,NP,4303,SG_GEN_PARLN,0.0
1984,NP,4303,SG_GEN_PARLNT,0.0
1988,NP,4303,SG_GEN_PARL,0.0
1988,NP,4303,SG_GEN_PARLN,0.0
1988,NP,4303,SG_GEN_PARLNT,0.0
1990,NP,4303,SG_GEN_PARL,0.0
1990,NP,4303,SG_GEN_PARLN,0.0
1990,NP,4303,SG_GEN_PARLNT,0.0
1992,NP,4303,SG_GEN_PARL,0.0
1992,NP,4303,SG_GEN_PARLN,0.0
1992,NP,4303,SG_GEN_PARLNT,0.0
1994,NP,4303,SG_GEN_PARL,0.0
1994,NP,4303,SG_GEN_PARLN,0.0
1994,NP,4303,SG_GEN_PARLNT,0.0
1996,NP,4303,SG_GEN_PARL,0.0
1996,NP,4303,SG_GEN_PARLN,0.0
1996,NP,4303,SG_GEN_PARLNT,0.0
1998,NP,4303,SG_GEN_PARL,0.0
1998,NP,4303,SG_GEN_PARLN,0.0
1998,NP,4303,SG_GEN_PARLNT,0.0
2000,NP,4303,SG_GEN_PARL,0.0
2000,NP,4303,SG_GEN_PARLN,0.0
2000,NP,4303,SG_GEN_PARLNT,0.0
2002,NP,4303,SG_GEN_PARL,0.0
2002,NP,4303,SG_GEN_PARLN,0.0
2002,NP,4303,SG_GEN_PARLNT,0.0
2004,NP,4303,SG_GEN_PARL,0.0
2004,NP,4303,SG_GEN_PARLN,0.0
2004,NP,4303,SG_GEN_PARLNT,0.0
2008,NP,4303,SG_GEN_PARL,0.0
2008,NP,4303,SG_GEN_PARLN,0.0
2008,NP,4303,SG_GEN_PARLNT,0.0
2011,NP,4303,SG_GEN_PARL,0.0
2011,NP,4303,SG_GEN_PARLN,0.0
2011,NP,4303,SG_GEN_PARLNT,0.0
2012,NP,4303,SG_GEN_PARL,0.0
2012,NP,4303,SG_GEN_PARLN,0.0
2012,NP,4303,SG_GEN_PARLNT,0.0
2015,NP,4303,SG_GEN_PARL,0.0
2015,NP,4303,SG_GEN_PARLN,0.0
2015,NP,4303,SG_GEN_PARLNT,0.0
2016,NP,4303,SG_GEN_PARL,0.0
2016,NP,4303,SG_GEN_PARLN,0.0
2016,NP,4303,SG_GEN_PARLNT,0.0
2019,NP,4303,SG_GEN_PARL,0.0
2019,NP,4303,SG_GEN_PARLN,0.0
2019,NP,4303,SG_GEN_PARLNT,0.0
2020,NP,4303,SG_GEN_PARL,0.0
2020,NP,4303,SG_GEN_PARLN,0.0
2020,NP,4303,SG_GEN_PARLNT,0.0
2022,NP,4303,SG_GEN_PARL,0.0
2022,NP,4303,SG_GEN_PARLN,0.0
2022,NP,4303,SG_GEN_PARLNT,0.0
2024,NP,4303,SG_GEN_PARL,0.0
2024,NP,4303,SG_GEN_PARLN,0.0
2024,NP,4303,SG_GEN_PARLNT,0.0
1984,NP,4104,SG_GEN_PARL,0.0
1984,NP,4104,SG_GEN_PARLN,0.0
1984,NP,4104,SG_GEN_PARLNT,0.0
1988,NP,4104,SG_GEN_PARL,0.0
1988,NP,4104,SG_GEN_PARLN,0.0
1988,NP,4104,SG_GEN_PARLNT,0.0
1990,NP,4104,SG_GEN_PARL,0.0
1990,NP,4104,SG_GEN_PARLN,0.0
1990,NP,4104,SG_GEN_PARLNT,0.0
1992,NP,4104,SG_GEN_PARL,0.0
1992,NP,4104,SG_GEN_PARLN,0.0
1992,NP,4104,SG_GEN_PARLNT,0.0
1994,NP,4104,SG_GEN_PARL,0.0
1994,NP,4104,SG_GEN_PARLN,0.0
1994,NP,4104,SG_GEN_PARLNT,0.0
1996,NP,4104,SG_GEN_PARL,0.0
1996,NP,4104,SG_GEN_PARLN,0.0
1996,NP,4104,SG_GEN_PARLNT,0.0
1998,NP,4104,SG_GEN_PARL,0.0
1998,NP,4104,SG_GEN_PARLN,0.0
1998,NP,4104,SG_GEN_PARLNT,0.0
2000,NP,4104,SG_GEN_PARL,0.0
2000,NP,4104,SG_GEN_PARLN,0.0
2000,NP,4104,SG_GEN_PARLNT,0.0
2002,NP,4104,SG_GEN_PARL,0.0
2002,NP,4104,SG_GEN_PARLN,0.0
2002,NP,4104,SG_GEN_PARLNT,0.0
2004,NP,4104,SG_GEN_PARL,0.0
2004,NP,4104,SG_GEN_PARLN,0.0
2004,NP,4104,SG_GEN_PARLNT,0.0
2008,NP,4104,SG_GEN_PARL,0.0
2008,NP,4104,SG_GEN_PARLN,0.0
2008,NP,4104,SG_GEN_PARLNT,0.0
2011,NP,4104,SG_GEN_PARL,0.0
2011,NP,4104,SG_GEN_PARLN,0.0
2011,NP,4104,SG_GEN_PARLNT,0.0
2012,NP,4104,SG_GEN_PARL,0.0
2012,NP,4104,SG_GEN_PARLN,0.0
2012,NP,4104,SG_GEN_PARLNT,0.0
2015,NP,4104,SG_GEN_PARL,0.0
2015,NP,4104,SG_GEN_PARLN,0.0
2015,NP,4104,SG_GEN_PARLNT,0.0
2016,NP,4104,SG_GEN_PARL,0.0
2016,NP,4104,SG_GEN_PARLN,0.0
2016,NP,4104,SG_GEN_PARLNT,0.0
2019,NP,4104,SG_GEN_PARL,0.0
2019,NP,4104,SG_GEN_PARLN,0.0
2019,NP,4104,SG_GEN_PARLNT,0.0
2020,NP,4104,SG_GEN_PARL,0.0
2020,NP,4104,SG_GEN_PARLN,0.0
2020,NP,4104,SG_GEN_PARLNT,0.0
2022,NP,4104,SG_GEN_PARL,0.0
2022,NP,4104,SG_GEN_PARLN,0.0
2022,NP,4104,SG_GEN_PARLNT,0.0
2024,NP,4104,SG_GEN_PARL,0.0
2024,NP,4104,SG_GEN_PARLN,0.0
2024,NP,4104,SG_GEN_PARLNT,0.0
1984,NP,4309,SG_GEN_PARL,0.0
1984,NP,4309,SG_GEN_PARLN,0.0
1984,NP,4309,SG_GEN_PARLNT,0.0
1988,NP,4309,SG_GEN_PARL,0.0
1988,NP,4309,SG_GEN_PARLN,0.0
1988,NP,4309,SG_GEN_PARLNT,0.0
1990,NP,4309,SG_GEN_PARL,0.0
1990,NP,4309,SG_GEN_PARLN,0.0
1990,NP,4309,SG_GEN_PARLNT,0.0
1992,NP,4309,SG_GEN_PARL,0.0
1992,NP,4309,SG_GEN_PARLN,0.0
1992,NP,4309,SG_GEN_PARLNT,0.0
1994,NP,4309,SG_GEN_PARL,0.0
1994,NP,4309,SG_GEN_PARLN,0.0
1994,NP,4309,SG_GEN_PARLNT,0.0
1996,NP,4309,SG_GEN_PARL,0.0
1996,NP,4309,SG_GEN_PARLN,0.0
1996,NP,4309,SG_GEN_PARLNT,0.0
1998,NP,4309,SG_GEN_PARL,0.0
1998,NP,4309,SG_GEN_PARLN,0.0
1998,NP,4309,SG_GEN_PARLNT,0.0
2000,NP,4309,SG_GEN_PARL,0.0
2000,NP,4309,SG_GEN_PARLN,0.0
2000,NP,4309,SG_GEN_PARLNT,0.0
2002,NP,4309,SG_GEN_PARL,0.0
2002,NP,4309,SG_GEN_PARLN,0.0
2002,NP,4309,SG_GEN_PARLNT,0.0
2004,NP,4309,SG_GEN_PARL,0.0
2004,NP,4309,SG_GEN_PARLN,0.0
2004,NP,4309,SG_GEN_PARLNT,0.0
2008,NP,4309,SG_GEN_PARL,0.0
2008,NP,4309,SG_GEN_PARLN,0.0
2008,NP,4309,SG_GEN_PARLNT,0.0
2011,NP,4309,SG_GEN_PARL,0.0
2011,NP,4309,SG_GEN_PARLN,0.0
2011,NP,4309,SG_GEN_PARLNT,0.0
2012,NP,4309,SG_GEN_PARL,0.0
2012,NP,4309,SG_GEN_PARLN,0.0
2012,NP,4309,SG_GEN_PARLNT,0.0
2015,NP,4309,SG_GEN_PARL,0.0
2015,NP,4309,SG_GEN_PARLN,0.0
2015,NP,4309,SG_GEN_PARLNT,0.0
2016,NP,4309,SG_GEN_PARL,0.0
2016,NP,4309,SG_GEN_PARLN,0.0
2016,NP,4309,SG_GEN_PARLNT,0.0
2019,NP,4309,SG_GEN_PARL,0.0
2019,NP,4309,SG_GEN_PARLN,0.0
2019,NP,4309,SG_GEN_PARLNT,0.0
2020,NP,4309,SG_GEN_PARL,0.0
2020,NP,4309,SG_GEN_PARLN,0.0
2020,NP,4309,SG_GEN_PARLNT,0.0
2022,NP,4309,SG_GEN_PARL,0.0
2022,NP,4309,SG_GEN_PARLN,0.0
2022,NP,4309,SG_GEN_PARLNT,0.0
2024,NP,4309,SG_GEN_PARL,0.0
2024,NP,4309,SG_GEN_PARLN,0.0
2024,NP,4309,SG_GEN_PARLNT,0.0
1984,NP,4105,SG_GEN_PARL,0.0
1984,NP,4105,SG_GEN_PARLN,0.0
1984,NP,4105,SG_GEN_PARLNT,0.0
1988,NP,4105,SG_GEN_PARL,0.0
1988,NP,4105,SG_GEN_PARLN,0.0
1988,NP,4105,SG_GEN_PARLNT,0.0
1990,NP,4105,SG_GEN_PARL,0.0
1990,NP,4105,SG_GEN_PARLN,0.0
1990,NP,4105,SG_GEN_PARLNT,0.0
1992,NP,4105,SG_GEN_PARL,0.0
1992,NP,4105,SG_GEN_PARLN,0.0
1992,NP,4105,SG_GEN_PARLNT,0.0
1994,NP,4105,SG_GEN_PARL,0.0
1994,NP,4105,SG_GEN_PARLN,0.0
1994,NP,4105,SG_GEN_PARLNT,0.0
1996,NP,4105,SG_GEN_PARL,0.0
1996,NP,4105,SG_GEN_PARLN,0.0
1996,NP,4105,SG_GEN_PARLNT,0.0
1998,NP,4105,SG_GEN_PARL,0.0
1998,NP,4105,SG_GEN_PARLN,0.0
1998,NP,4105,SG_GEN_PARLNT,0.0
2000,NP,4105,SG_GEN_PARL,0.0
2000,NP,4105,SG_GEN_PARLN,0.0
2000,NP,4105,SG_GEN_PARLNT,0.0
2002,NP,4105,SG_GEN_PARL,0.0
2002,NP,4105,SG_GEN_PARLN,0.0
2002,NP,4105,SG_GEN_PARLNT,0.0
2004,NP,4105,SG_GEN_PARL,0.0
2004,NP,4105,SG_GEN_PARLN,0.0
2004,NP,4105,SG_GEN_PARLNT,0.0
2008,NP,4105,SG_GEN_PARL,0.0
2008,NP,4105,SG_GEN_PARLN,0.0
2008,NP,4105,SG_GEN_PARLNT,0.0
2011,NP,4105,SG_GEN_PARL,0.0
2011,NP,4105,SG_GEN_PARLN,0.0
2011,NP,4105,SG_GEN_PARLNT,0.0
2012,NP,4105,SG_GEN_PARL,0.0
2012,NP,4105,SG_GEN_PARLN,0.0
2012,NP,4105,SG_GEN_PARLNT,0.0
2015,NP,4105,SG_GEN_PARL,0.0
2015,NP,4105,SG_GEN_PARLN,0.0
2015,NP,4105,SG_GEN_PARLNT,0.0
2016,NP,4105,SG_GEN_PARL,0.0
2016,NP,4105,SG_GEN_PARLN,0.0
2016,NP,4105,SG_GEN_PARLNT,0.0
2019,NP,4105,SG_GEN_PARL,0.0
2019,NP,4105,SG_GEN_PARLN,0.0
2019,NP,4105,SG_GEN_PARLNT,0.0
2020,NP,4105,SG_GEN_PARL,0.0
2020,NP,4105,SG_GEN_PARLN,0.0
2020,NP,4105,SG_GEN_PARLNT,0.0
2022,NP,4105,SG_GEN_PARL,0.0
2022,NP,4105,SG_GEN_PARLN,0.0
2022,NP,4105,SG_GEN_PARLNT,0.0
2024,NP,4105,SG_GEN_PARL,0.0
2024,NP,4105,SG_GEN_PARLN,0.0
2024,NP,4105,SG_GEN_PARLNT,0.0
1984,NP,4305,SG_GEN_PARL,0.0
1984,NP,4305,SG_GEN_PARLN,0.0
1984,NP,4305,SG_GEN_PARLNT,0.0
1988,NP,4305,SG_GEN_PARL,0.0
1988,NP,4305,SG_GEN_PARLN,0.0
1988,NP,4305,SG_GEN_PARLNT,0.0
1990,NP,4305,SG_GEN_PARL,0.0
1990,NP,4305,SG_GEN_PARLN,0.0
1990,NP,4305,SG_GEN_PARLNT,0.0
1992,NP,4305,SG_GEN_PARL,0.0
1992,NP,4305,SG_GEN_PARLN,0.0
1992,NP,4305,SG_GEN_PARLNT,0.0
1994,NP,4305,SG_GEN_PARL,0.0
1994,NP,4305,SG_GEN_PARLN,0.0
1994,NP,4305,SG_GEN_PARLNT,0.0
1996,NP,4305,SG_GEN_PARL,0.0
1996,NP,4305,SG_GEN_PARLN,0.0
1996,NP,4305,SG_GEN_PARLNT,0.0
1998,NP,4305,SG_GEN_PARL,0.0
1998,NP,4305,SG_GEN_PARLN,0.0
1998,NP,4305,SG_GEN_PARLNT,0.0
2000,NP,4305,SG_GEN_PARL,0.0
2000,NP,4305,SG_GEN_PARLN,0.0
2000,NP,4305,SG_GEN_PARLNT,0.0
2002,NP,4305,SG_GEN_PARL,0.0
2002,NP,4305,SG_GEN_PARLN,0.0
2002,NP,4305,SG_GEN_PARLNT,0.0
2004,NP,4305,SG_GEN_PARL,0.0
2004,NP,4305,SG_GEN_PARLN,0.0
2004,NP,4305,SG_GEN_PARLNT,0.0
2008,NP,4305,SG_GEN_PARL,0.0
2008,NP,4305,SG_GEN_PARLN,0.0
2008,NP,4305,SG_GEN_PARLNT,0.0
2011,NP,4305,SG_GEN_PARL,0.0
2011,NP,4305,SG_GEN_PARLN,0.0
2011,NP,4305,SG_GEN_PARLNT,0.0
2012,NP,4305,SG_GEN_PARL,0.0
2012,NP,4305,SG_GEN_PARLN,0.0
2012,NP,4305,SG_GEN_PARLNT,0.0
2015,NP,4305,SG_GEN_PARL,0.0
2015,NP,4305,SG_GEN_PARLN,0.0
2015,NP,4305,SG_GEN_PARLNT,0.0
2016,NP,4305,SG_GEN_PARL,0.0
2016,NP,4305,SG_GEN_PARLN,0.0
2016,NP,4305,SG_GEN_PARLNT,0.0
2019,NP,4305,SG_GEN_PARL,0.0
2019,NP,4305,SG_GEN_PARLN,0.0
2019,NP,4305,SG_GEN_PARLNT,0.0
2020,NP,4305,SG_GEN_PARL,0.0
2020,NP,4305,SG_GEN_PARLN,0.0
2020,NP,4305,SG_GEN_PARLNT,0.0
2022,NP,4305,SG_GEN_PARL,0.0
2022,NP,4305,SG_GEN_PARLN,0.0
2022,NP,4305,SG_GEN_PARLNT,0.0
2024,NP,4305,SG_GEN_PARL,0.0
2024,NP,4305,SG_GEN_PARLN,0.0
2024,NP,4305,SG_GEN_PARLNT,0.0
1984,NP,4106,SG_GEN_PARL,0.0
1984,NP,4106,SG_GEN_PARLN,0.0
1984,NP,4106,SG_GEN_PARLNT,0.0
1988,NP,4106,SG_GEN_PARL,0.0
1988,NP,4106,SG_GEN_PARLN,0.0
1988,NP,4106,SG_GEN_PARLNT,0.0
1990,NP,4106,SG_GEN_PARL,0.0
1990,NP,4106,SG_GEN_PARLN,0.0
1990,NP,4106,SG_GEN_PARLNT,0.0
1992,NP,4106,SG_GEN_PARL,0.0
1992,NP,4106,SG_GEN_PARLN,0.0
1992,NP,4106,SG_GEN_PARLNT,0.0
1994,NP,4106,SG_GEN_PARL,0.0
