Year,Series,kyn,aldur,Units,Value
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,1.9
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,2.9
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,3.5
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,8.2
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,6.2
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,4.8
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,2.2
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,1.7
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,2.1
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,2.0
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,1.2
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.8
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,1.3
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.7
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.6
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.5
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.5
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 25 - 54,%,0.7
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,1.7
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,1.7
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,1.1
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.8
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.3
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.7
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.4
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.2
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.3
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.3
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 55 - 74,%,0.3
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,3.0
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,3.1
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,2.3
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.6
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,0.9
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.5
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.5
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,2.0
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.6
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.5
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,,%,1.2
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,9.5
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,9.9
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,7.6
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,5.8
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,2.0
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,3.9
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,4.3
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,9.3
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,5.3
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,4.7
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 15 - 24,%,2.3
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.8
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.8
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.3
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,0.8
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,0.6
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.0
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,0.9
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,0.5
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.0
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.0
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 25 - 54,%,1.0
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,1.5
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,1.9
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,1.1
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.9
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.8
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,1.1
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,1.0
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.5
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.5
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.6
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Menn,Aldur 55 - 74,%,0.8
