Year,data.measure,data.typeofproduct,Value
2014,data.tm_tax_dmfn,data.industrialproducts,3.35061
2014,data.tm_tax_dmfn,data.clothing,12.17244
2014,data.tm_tax_dmfn,data.textiles,7.45742
2014,data.tm_tax_dprf,data.total,2.40286
2014,data.tm_tax_dprf,data.agriculturalproducts,7.06618
2014,data.tm_tax_dprf,data.industrialproducts,2.23841
2014,data.tm_tax_dprf,data.clothing,8.34489
2014,data.tm_tax_dprf,data.textiles,3.90643
2015,data.tm_tax_dmfn,data.total,3.51769
2015,data.tm_tax_dmfn,data.agriculturalproducts,7.49128
2015,data.tm_tax_dmfn,data.industrialproducts,3.35744
2015,data.tm_tax_dmfn,data.clothing,12.07361
2015,data.tm_tax_dmfn,data.textiles,7.51423
2015,data.tm_tax_dprf,data.total,2.41033
2015,data.tm_tax_dprf,data.agriculturalproducts,7.08249
2015,data.tm_tax_dprf,data.industrialproducts,2.2445
2015,data.tm_tax_dprf,data.clothing,8.24606
2015,data.tm_tax_dprf,data.textiles,3.96325
2016,data.tm_tax_dmfn,data.total,3.74558
2016,data.tm_tax_dmfn,data.agriculturalproducts,7.29789
2016,data.tm_tax_dmfn,data.industrialproducts,3.58463
2016,data.tm_tax_dmfn,data.clothing,12.0693
2016,data.tm_tax_dmfn,data.textiles,7.51602
2016,data.tm_tax_dprf,data.total,2.43505
2016,data.tm_tax_dprf,data.agriculturalproducts,6.8891
2016,data.tm_tax_dprf,data.industrialproducts,2.27181
2016,data.tm_tax_dprf,data.clothing,8.24607
2016,data.tm_tax_dprf,data.textiles,3.96318
2017,data.tm_tax_dmfn,data.total,3.41307
2017,data.tm_tax_dmfn,data.agriculturalproducts,7.24525
2017,data.tm_tax_dmfn,data.industrialproducts,3.27166
2017,data.tm_tax_dmfn,data.clothing,11.98973
2017,data.tm_tax_dmfn,data.textiles,7.43054
2017,data.tm_tax_dprf,data.total,2.0646
2017,data.tm_tax_dprf,data.agriculturalproducts,6.83645
2017,data.tm_tax_dprf,data.industrialproducts,1.86034
2017,data.tm_tax_dprf,data.clothing,8.16649
2017,data.tm_tax_dprf,data.textiles,3.8777
2018,data.tm_tax_dmfn,data.total,3.41989
2018,data.tm_tax_dmfn,data.agriculturalproducts,7.56616
2018,data.tm_tax_dmfn,data.industrialproducts,3.2733
2018,data.tm_tax_dmfn,data.clothing,12.06622
2018,data.tm_tax_dmfn,data.textiles,7.51606
2018,data.tm_tax_dprf,data.total,2.07275
2018,data.tm_tax_dprf,data.agriculturalproducts,7.15737
2018,data.tm_tax_dprf,data.industrialproducts,1.86302
2018,data.tm_tax_dprf,data.clothing,8.23867
2018,data.tm_tax_dprf,data.textiles,3.96319
2019,data.tm_tax_dmfn,data.total,3.42533
2019,data.tm_tax_dmfn,data.agriculturalproducts,7.86063
2019,data.tm_tax_dmfn,data.industrialproducts,3.27275
2019,data.tm_tax_dmfn,data.clothing,12.06698
2019,data.tm_tax_dmfn,data.textiles,7.51676
2019,data.tm_tax_dprf,data.total,2.0788
2019,data.tm_tax_dprf,data.agriculturalproducts,7.45184
2019,data.tm_tax_dprf,data.industrialproducts,1.86288
2019,data.tm_tax_dprf,data.clothing,8.23943
2019,data.tm_tax_dprf,data.textiles,3.96339
2020,data.tm_tax_dmfn,data.total,3.61779
2020,data.tm_tax_dmfn,data.agriculturalproducts,7.90485
2020,data.tm_tax_dmfn,data.industrialproducts,3.43681
2020,data.tm_tax_dmfn,data.clothing,12.0621
2020,data.tm_tax_dmfn,data.textiles,7.50734
2020,data.tm_tax_dprf,data.total,2.12326
2020,data.tm_tax_dprf,data.agriculturalproducts,7.44748
2020,data.tm_tax_dprf,data.industrialproducts,1.90099
2020,data.tm_tax_dprf,data.clothing,8.23943
2020,data.tm_tax_dprf,data.textiles,3.96339
2021,data.tm_tax_dmfn,data.total,3.60495
2021,data.tm_tax_dmfn,data.agriculturalproducts,7.72066
2021,data.tm_tax_dmfn,data.industrialproducts,3.42736
2021,data.tm_tax_dmfn,data.clothing,12.06696
2021,data.tm_tax_dmfn,data.textiles,7.50799
2021,data.tm_tax_dprf,data.total,2.12522
2021,data.tm_tax_dprf,data.agriculturalproducts,7.26329
2021,data.tm_tax_dprf,data.industrialproducts,1.90874
2021,data.tm_tax_dprf,data.clothing,8.23941
2021,data.tm_tax_dprf,data.textiles,3.96394
