Year,Series,party,Units,Value
2011,NP,C,SG_GEN_PARLN,2.0
2011,NP,C,SG_GEN_PARLNT,6.0
2015,NP,C,SG_GEN_PARL,37.5
2015,NP,C,SG_GEN_PARLN,3.0
2015,NP,C,SG_GEN_PARLNT,8.0
2019,NP,C,SG_GEN_PARL,14.3
2019,NP,C,SG_GEN_PARLN,1.0
2019,NP,C,SG_GEN_PARLNT,7.0
2022,NP,C,SG_GEN_PARL,33.3
2022,NP,C,SG_GEN_PARLN,3.0
2022,NP,C,SG_GEN_PARLNT,9.0
1988,NP,KF,SG_GEN_PARL,0.0
1988,NP,KF,SG_GEN_PARLN,0.0
1988,NP,KF,SG_GEN_PARLNT,2.0
1990,NP,KF,SG_GEN_PARL,0.0
1990,NP,KF,SG_GEN_PARLN,0.0
1990,NP,KF,SG_GEN_PARLNT,2.0
1994,NP,KF,SG_GEN_PARL,0.0
1994,NP,KF,SG_GEN_PARLN,0.0
1994,NP,KF,SG_GEN_PARLNT,2.0
1994,NP,H,SG_GEN_PARL,0.0
1994,NP,H,SG_GEN_PARLN,0.0
1994,NP,H,SG_GEN_PARLNT,2.0
1998,NP,H,SG_GEN_PARL,0.0
1998,NP,H,SG_GEN_PARLN,0.0
1998,NP,H,SG_GEN_PARLNT,1.0
2002,NP,H,SG_GEN_PARL,0.0
2002,NP,H,SG_GEN_PARLN,0.0
2002,NP,H,SG_GEN_PARLNT,1.0
2004,NP,H,SG_GEN_PARL,0.0
2004,NP,H,SG_GEN_PARLN,0.0
2004,NP,H,SG_GEN_PARLNT,2.0
2008,NP,H,SG_GEN_PARL,0.0
2008,NP,H,SG_GEN_PARLN,0.0
2008,NP,H,SG_GEN_PARLNT,3.0
2011,NP,H,SG_GEN_PARL,0.0
2011,NP,H,SG_GEN_PARLN,0.0
2011,NP,H,SG_GEN_PARLNT,2.0
2015,NP,H,SG_GEN_PARL,0.0
2015,NP,H,SG_GEN_PARLN,0.0
2015,NP,H,SG_GEN_PARLNT,2.0
2019,NP,H,SG_GEN_PARL,0.0
2019,NP,H,SG_GEN_PARLN,0.0
2019,NP,H,SG_GEN_PARLNT,2.0
2022,NP,H,SG_GEN_PARL,0.0
2022,NP,H,SG_GEN_PARLN,0.0
2022,NP,H,SG_GEN_PARLNT,2.0
1984,NP,B,SG_GEN_PARL,0.0
1984,NP,B,SG_GEN_PARLN,0.0
1984,NP,B,SG_GEN_PARLNT,7.0
1988,NP,B,SG_GEN_PARL,0.0
1988,NP,B,SG_GEN_PARLN,0.0
1988,NP,B,SG_GEN_PARLNT,7.0
1990,NP,B,SG_GEN_PARL,16.7
1990,NP,B,SG_GEN_PARLN,1.0
1990,NP,B,SG_GEN_PARLNT,6.0
1994,NP,B,SG_GEN_PARL,25.0
1994,NP,B,SG_GEN_PARLN,2.0
1994,NP,B,SG_GEN_PARLNT,8.0
1998,NP,B,SG_GEN_PARL,16.7
1998,NP,B,SG_GEN_PARLN,1.0
1998,NP,B,SG_GEN_PARLNT,6.0
2002,NP,B,SG_GEN_PARL,12.5
2002,NP,B,SG_GEN_PARLN,1.0
2002,NP,B,SG_GEN_PARLNT,8.0
2004,NP,B,SG_GEN_PARL,14.3
2004,NP,B,SG_GEN_PARLN,1.0
2004,NP,B,SG_GEN_PARLNT,7.0
2008,NP,B,SG_GEN_PARL,14.3
2008,NP,B,SG_GEN_PARLN,1.0
2008,NP,B,SG_GEN_PARLNT,7.0
2011,NP,B,SG_GEN_PARL,25.0
2011,NP,B,SG_GEN_PARLN,2.0
2011,NP,B,SG_GEN_PARLNT,8.0
2015,NP,B,SG_GEN_PARL,0.0
2015,NP,B,SG_GEN_PARLN,0.0
2015,NP,B,SG_GEN_PARLNT,6.0
2019,NP,B,SG_GEN_PARL,14.3
2019,NP,B,SG_GEN_PARLN,1.0
2019,NP,B,SG_GEN_PARLNT,7.0
2022,NP,B,SG_GEN_PARL,14.3
2022,NP,B,SG_GEN_PARLN,1.0
2022,NP,B,SG_GEN_PARLNT,7.0
1984,NP,D,SG_GEN_PARL,0.0
1984,NP,D,SG_GEN_PARLN,0.0
1984,NP,D,SG_GEN_PARLNT,2.0
1988,NP,D,SG_GEN_PARL,0.0
1988,NP,D,SG_GEN_PARLN,0.0
1988,NP,D,SG_GEN_PARLNT,2.0
1990,NP,D,SG_GEN_PARL,33.3
1990,NP,D,SG_GEN_PARLN,1.0
1990,NP,D,SG_GEN_PARLNT,3.0
1994,NP,D,SG_GEN_PARL,50.0
1994,NP,D,SG_GEN_PARLN,1.0
1994,NP,D,SG_GEN_PARLNT,2.0
1998,NP,D,SG_GEN_PARL,50.0
1998,NP,D,SG_GEN_PARLN,1.0
1998,NP,D,SG_GEN_PARLNT,2.0
2002,NP,D,SG_GEN_PARL,0.0
2002,NP,D,SG_GEN_PARLN,0.0
2002,NP,D,SG_GEN_PARLNT,1.0
2004,NP,D,SG_GEN_PARL,0.0
2004,NP,D,SG_GEN_PARLN,0.0
2004,NP,D,SG_GEN_PARLNT,1.0
2008,NP,D,SG_GEN_PARL,0.0
2008,NP,D,SG_GEN_PARLN,0.0
2008,NP,D,SG_GEN_PARLNT,2.0
2011,NP,D,SG_GEN_PARL,0.0
2011,NP,D,SG_GEN_PARLN,0.0
2011,NP,D,SG_GEN_PARLNT,1.0
2015,NP,D,SG_GEN_PARL,0.0
2015,NP,D,SG_GEN_PARLN,0.0
2015,NP,D,SG_GEN_PARLNT,2.0
2019,NP,D,SG_GEN_PARL,0.0
2019,NP,D,SG_GEN_PARLN,0.0
2019,NP,D,SG_GEN_PARLNT,1.0
1984,NP,E,SG_GEN_PARL,16.7
1984,NP,E,SG_GEN_PARLN,1.0
1984,NP,E,SG_GEN_PARLNT,6.0
1988,NP,E,SG_GEN_PARL,33.3
1988,NP,E,SG_GEN_PARLN,2.0
1988,NP,E,SG_GEN_PARLNT,6.0
1990,NP,E,SG_GEN_PARL,0.0
1990,NP,E,SG_GEN_PARLN,0.0
1990,NP,E,SG_GEN_PARLNT,4.0
1994,NP,E,SG_GEN_PARL,0.0
1994,NP,E,SG_GEN_PARLN,0.0
1994,NP,E,SG_GEN_PARLNT,4.0
1998,NP,E,SG_GEN_PARL,12.5
1998,NP,E,SG_GEN_PARLN,1.0
1998,NP,E,SG_GEN_PARLNT,8.0
2002,NP,E,SG_GEN_PARL,25.0
2002,NP,E,SG_GEN_PARLN,2.0
2002,NP,E,SG_GEN_PARLNT,8.0
2004,NP,E,SG_GEN_PARL,25.0
2004,NP,E,SG_GEN_PARLN,2.0
2004,NP,E,SG_GEN_PARLNT,8.0
2008,NP,E,SG_GEN_PARL,37.5
2008,NP,E,SG_GEN_PARLN,3.0
2008,NP,E,SG_GEN_PARLNT,8.0
2011,NP,E,SG_GEN_PARL,66.7
2011,NP,E,SG_GEN_PARLN,4.0
2011,NP,E,SG_GEN_PARLNT,6.0
2015,NP,E,SG_GEN_PARL,57.1
2015,NP,E,SG_GEN_PARLN,4.0
2015,NP,E,SG_GEN_PARLNT,7.0
2019,NP,E,SG_GEN_PARL,83.3
2019,NP,E,SG_GEN_PARLN,5.0
2019,NP,E,SG_GEN_PARLNT,6.0
2022,NP,E,SG_GEN_PARL,66.7
2022,NP,E,SG_GEN_PARLN,4.0
2022,NP,E,SG_GEN_PARLNT,6.0
1994,NP,vmf,SG_GEN_PARL,33.3
1994,NP,vmf,SG_GEN_PARLN,1.0
1994,NP,vmf,SG_GEN_PARLNT,3.0
1992,LG,9999,SG_GEN_PARL,15.3
1992,LG,9999,SG_GEN_PARLN,43.0
1992,LG,9999,SG_GEN_PARLNT,281.0
1996,LG,9999,SG_GEN_PARL,15.8
1996,LG,9999,SG_GEN_PARLN,44.0
1996,LG,9999,SG_GEN_PARLNT,279.0
2000,LG,9999,SG_GEN_PARL,23.2
2000,LG,9999,SG_GEN_PARLN,63.0
2000,LG,9999,SG_GEN_PARLNT,272.0
2004,LG,9999,SG_GEN_PARL,22.7
2004,LG,9999,SG_GEN_PARLN,50.0
2004,LG,9999,SG_GEN_PARLNT,220.0
2012,LG,9999,SG_GEN_PARL,27.8
2012,LG,9999,SG_GEN_PARLN,57.0
2012,LG,9999,SG_GEN_PARLNT,205.0
2016,LG,9999,SG_GEN_PARL,33.8
2016,LG,9999,SG_GEN_PARLN,68.0
2016,LG,9999,SG_GEN_PARLNT,201.0
2020,LG,9999,SG_GEN_PARL,35.7
2020,LG,9999,SG_GEN_PARLN,71.0
2020,LG,9999,SG_GEN_PARLNT,199.0
1992,LG,4308,SG_GEN_PARL,0.0
1992,LG,4308,SG_GEN_PARLN,0.0
1992,LG,4308,SG_GEN_PARLNT,7.0
1992,LG,4404,SG_GEN_PARL,66.7
1992,LG,4404,SG_GEN_PARLN,2.0
1992,LG,4404,SG_GEN_PARLNT,3.0
1996,LG,4404,SG_GEN_PARL,33.3
1996,LG,4404,SG_GEN_PARLN,1.0
1996,LG,4404,SG_GEN_PARLNT,3.0
2000,LG,4404,SG_GEN_PARL,0.0
2000,LG,4404,SG_GEN_PARLN,0.0
2000,LG,4404,SG_GEN_PARLNT,3.0
1992,LG,4210,SG_GEN_PARL,0.0
1992,LG,4210,SG_GEN_PARLN,0.0
1992,LG,4210,SG_GEN_PARLNT,7.0
1996,LG,4210,SG_GEN_PARL,14.3
1996,LG,4210,SG_GEN_PARLN,1.0
1996,LG,4210,SG_GEN_PARLNT,7.0
2000,LG,4210,SG_GEN_PARL,14.3
2000,LG,4210,SG_GEN_PARLN,1.0
2000,LG,4210,SG_GEN_PARLNT,7.0
2004,LG,4210,SG_GEN_PARL,14.3
2004,LG,4210,SG_GEN_PARLN,1.0
2004,LG,4210,SG_GEN_PARLNT,7.0
2012,LG,4210,SG_GEN_PARL,14.3
2012,LG,4210,SG_GEN_PARLN,1.0
2012,LG,4210,SG_GEN_PARLNT,7.0
2016,LG,4210,SG_GEN_PARL,14.3
2016,LG,4210,SG_GEN_PARLN,1.0
2016,LG,4210,SG_GEN_PARLNT,7.0
2020,LG,4210,SG_GEN_PARL,57.1
2020,LG,4210,SG_GEN_PARLN,4.0
2020,LG,4210,SG_GEN_PARLNT,7.0
1992,LG,4202,SG_GEN_PARL,0.0
1992,LG,4202,SG_GEN_PARLN,0.0
1992,LG,4202,SG_GEN_PARLNT,5.0
1996,LG,4202,SG_GEN_PARL,25.0
1996,LG,4202,SG_GEN_PARLN,1.0
1996,LG,4202,SG_GEN_PARLNT,4.0
2000,LG,4202,SG_GEN_PARL,25.0
2000,LG,4202,SG_GEN_PARLN,1.0
2000,LG,4202,SG_GEN_PARLNT,4.0
2012,LG,4205E,SG_GEN_PARL,33.3
2012,LG,4205E,SG_GEN_PARLN,3.0
2012,LG,4205E,SG_GEN_PARLNT,9.0
2016,LG,4205E,SG_GEN_PARL,22.2
2016,LG,4205E,SG_GEN_PARLN,2.0
2016,LG,4205E,SG_GEN_PARLNT,9.0
2020,LG,4205E,SG_GEN_PARL,44.4
2020,LG,4205E,SG_GEN_PARLN,4.0
2020,LG,4205E,SG_GEN_PARLNT,9.0
1992,LG,4603,SG_GEN_PARL,20.0
1992,LG,4603,SG_GEN_PARLN,1.0
1992,LG,4603,SG_GEN_PARLNT,5.0
1996,LG,4603,SG_GEN_PARL,20.0
1996,LG,4603,SG_GEN_PARLN,1.0
1996,LG,4603,SG_GEN_PARLNT,5.0
2000,LG,4603,SG_GEN_PARL,20.0
2000,LG,4603,SG_GEN_PARLN,1.0
2000,LG,4603,SG_GEN_PARLNT,5.0
2004,LG,4603,SG_GEN_PARL,40.0
2004,LG,4603,SG_GEN_PARLN,2.0
2004,LG,4603,SG_GEN_PARLNT,5.0
2012,LG,4603,SG_GEN_PARL,42.9
2012,LG,4603,SG_GEN_PARLN,3.0
2012,LG,4603,SG_GEN_PARLNT,7.0
2016,LG,4603,SG_GEN_PARL,0.0
2016,LG,4603,SG_GEN_PARLN,0.0
2016,LG,4603,SG_GEN_PARLNT,3.0
2020,LG,4603,SG_GEN_PARL,0.0
2020,LG,4603,SG_GEN_PARLN,0.0
2020,LG,4603,SG_GEN_PARLNT,3.0
1992,LG,4203,SG_GEN_PARL,33.3
1992,LG,4203,SG_GEN_PARLN,3.0
1992,LG,4203,SG_GEN_PARLNT,9.0
1996,LG,4203,SG_GEN_PARL,11.1
1996,LG,4203,SG_GEN_PARLN,1.0
1996,LG,4203,SG_GEN_PARLNT,9.0
2000,LG,4203,SG_GEN_PARL,11.1
2000,LG,4203,SG_GEN_PARLN,1.0
2000,LG,4203,SG_GEN_PARLNT,9.0
2004,LG,4203,SG_GEN_PARL,11.1
2004,LG,4203,SG_GEN_PARLN,1.0
2004,LG,4203,SG_GEN_PARLNT,9.0
2012,LG,4203,SG_GEN_PARL,11.1
2012,LG,4203,SG_GEN_PARLN,1.0
2012,LG,4203,SG_GEN_PARLNT,9.0
2016,LG,4203,SG_GEN_PARL,11.1
2016,LG,4203,SG_GEN_PARLN,1.0
2016,LG,4203,SG_GEN_PARLNT,9.0
2020,LG,4203,SG_GEN_PARL,22.2
2020,LG,4203,SG_GEN_PARLN,2.0
2020,LG,4203,SG_GEN_PARLNT,9.0
1992,LG,4101,SG_GEN_PARL,20.0
1992,LG,4101,SG_GEN_PARLN,1.0
1992,LG,4101,SG_GEN_PARLNT,5.0
1996,LG,4101,SG_GEN_PARL,0.0
1996,LG,4101,SG_GEN_PARLN,0.0
1996,LG,4101,SG_GEN_PARLNT,5.0
2000,LG,4101,SG_GEN_PARL,0.0
2000,LG,4101,SG_GEN_PARLN,0.0
2000,LG,4101,SG_GEN_PARLNT,3.0
2004,LG,4101,SG_GEN_PARL,33.3
2004,LG,4101,SG_GEN_PARLN,1.0
2004,LG,4101,SG_GEN_PARLNT,3.0
2012,LG,4101,SG_GEN_PARL,33.3
2012,LG,4101,SG_GEN_PARLN,1.0
2012,LG,4101,SG_GEN_PARLNT,3.0
2016,LG,4101,SG_GEN_PARL,66.7
2016,LG,4101,SG_GEN_PARLN,2.0
2016,LG,4101,SG_GEN_PARLNT,3.0
2020,LG,4101,SG_GEN_PARL,66.7
2020,LG,4101,SG_GEN_PARLN,2.0
2020,LG,4101,SG_GEN_PARLNT,3.0
1992,LG,4212,SG_GEN_PARL,20.0
1992,LG,4212,SG_GEN_PARLN,1.0
1992,LG,4212,SG_GEN_PARLNT,5.0
1996,LG,4212,SG_GEN_PARL,0.0
1996,LG,4212,SG_GEN_PARLN,0.0
1996,LG,4212,SG_GEN_PARLNT,5.0
2000,LG,4212,SG_GEN_PARL,33.3
2000,LG,4212,SG_GEN_PARLN,1.0
2000,LG,4212,SG_GEN_PARLNT,3.0
2004,LG,4212,SG_GEN_PARL,50.0
2004,LG,4212,SG_GEN_PARLN,1.0
2004,LG,4212,SG_GEN_PARLNT,2.0
1992,LG,4213,SG_GEN_PARL,25.0
1992,LG,4213,SG_GEN_PARLN,1.0
1992,LG,4213,SG_GEN_PARLNT,4.0
1996,LG,4213,SG_GEN_PARL,0.0
1996,LG,4213,SG_GEN_PARLN,0.0
1996,LG,4213,SG_GEN_PARLNT,4.0
2000,LG,4213,SG_GEN_PARL,0.0
2000,LG,4213,SG_GEN_PARLN,0.0
2000,LG,4213,SG_GEN_PARLNT,1.0
1992,LG,4205,SG_GEN_PARL,0.0
1992,LG,4205,SG_GEN_PARLN,0.0
1992,LG,4205,SG_GEN_PARLNT,5.0
1996,LG,4205,SG_GEN_PARL,0.0
1996,LG,4205,SG_GEN_PARLN,0.0
1996,LG,4205,SG_GEN_PARLNT,5.0
2000,LG,4205,SG_GEN_PARL,33.3
2000,LG,4205,SG_GEN_PARLN,3.0
2000,LG,4205,SG_GEN_PARLNT,9.0
2004,LG,4205,SG_GEN_PARL,33.3
2004,LG,4205,SG_GEN_PARLN,4.0
2004,LG,4205,SG_GEN_PARLNT,12.0
1992,LG,4301,SG_GEN_PARL,25.0
1992,LG,4301,SG_GEN_PARLN,1.0
1992,LG,4301,SG_GEN_PARLNT,4.0
1996,LG,4301,SG_GEN_PARL,0.0
1996,LG,4301,SG_GEN_PARLN,0.0
1996,LG,4301,SG_GEN_PARLNT,3.0
2000,LG,4301,SG_GEN_PARL,0.0
2000,LG,4301,SG_GEN_PARLN,0.0
2000,LG,4301,SG_GEN_PARLNT,3.0
1992,LG,4310,SG_GEN_PARL,20.0
1992,LG,4310,SG_GEN_PARLN,1.0
1992,LG,4310,SG_GEN_PARLNT,5.0
1996,LG,4310,SG_GEN_PARL,0.0
1996,LG,4310,SG_GEN_PARLN,0.0
1996,LG,4310,SG_GEN_PARLNT,5.0
2000,LG,4310,SG_GEN_PARL,0.0
2000,LG,4310,SG_GEN_PARLN,0.0
2000,LG,4310,SG_GEN_PARLNT,3.0
1992,LG,4304,SG_GEN_PARL,0.0
1992,LG,4304,SG_GEN_PARLN,0.0
1992,LG,4304,SG_GEN_PARLNT,3.0
1996,LG,4304,SG_GEN_PARL,0.0
1996,LG,4304,SG_GEN_PARLN,0.0
1996,LG,4304,SG_GEN_PARLNT,4.0
2000,LG,4304,SG_GEN_PARL,50.0
2000,LG,4304,SG_GEN_PARLN,2.0
2000,LG,4304,SG_GEN_PARLNT,4.0
1992,LG,4604,SG_GEN_PARL,60.0
1992,LG,4604,SG_GEN_PARLN,3.0
1992,LG,4604,SG_GEN_PARLNT,5.0
1996,LG,4604,SG_GEN_PARL,20.0
1996,LG,4604,SG_GEN_PARLN,1.0
1996,LG,4604,SG_GEN_PARLNT,5.0
2000,LG,4604,SG_GEN_PARL,40.0
2000,LG,4604,SG_GEN_PARLN,2.0
2000,LG,4604,SG_GEN_PARLNT,5.0
2004,LG,4604,SG_GEN_PARL,40.0
2004,LG,4604,SG_GEN_PARLN,2.0
2004,LG,4604,SG_GEN_PARLNT,5.0
2012,LG,4604,SG_GEN_PARL,40.0
2012,LG,4604,SG_GEN_PARLN,2.0
2012,LG,4604,SG_GEN_PARLNT,5.0
2016,LG,4604,SG_GEN_PARL,40.0
2016,LG,4604,SG_GEN_PARLN,2.0
2016,LG,4604,SG_GEN_PARLNT,5.0
2020,LG,4604,SG_GEN_PARL,33.3
2020,LG,4604,SG_GEN_PARLN,1.0
2020,LG,4604,SG_GEN_PARLNT,3.0
1992,LG,4108,SG_GEN_PARL,0.0
1992,LG,4108,SG_GEN_PARLN,0.0
1992,LG,4108,SG_GEN_PARLNT,5.0
1996,LG,4108,SG_GEN_PARL,20.0
1996,LG,4108,SG_GEN_PARLN,1.0
1996,LG,4108,SG_GEN_PARLNT,5.0
2000,LG,4108,SG_GEN_PARL,33.3
2000,LG,4108,SG_GEN_PARLN,1.0
2000,LG,4108,SG_GEN_PARLNT,3.0
2004,LG,4108,SG_GEN_PARL,33.3
2004,LG,4108,SG_GEN_PARLN,1.0
2004,LG,4108,SG_GEN_PARLNT,3.0
1992,LG,4504,SG_GEN_PARL,20.0
1992,LG,4504,SG_GEN_PARLN,1.0
1992,LG,4504,SG_GEN_PARLNT,5.0
1996,LG,4504,SG_GEN_PARL,20.0
1996,LG,4504,SG_GEN_PARLN,1.0
1996,LG,4504,SG_GEN_PARLNT,5.0
2000,LG,4504,SG_GEN_PARL,20.0
2000,LG,4504,SG_GEN_PARLN,1.0
2000,LG,4504,SG_GEN_PARLNT,5.0
2004,LG,4504,SG_GEN_PARL,20.0
2004,LG,4504,SG_GEN_PARLN,1.0
2004,LG,4504,SG_GEN_PARLNT,5.0
2012,LG,4504,SG_GEN_PARL,40.0
2012,LG,4504,SG_GEN_PARLN,2.0
2012,LG,4504,SG_GEN_PARLNT,5.0
2016,LG,4504,SG_GEN_PARL,60.0
2016,LG,4504,SG_GEN_PARLN,3.0
2016,LG,4504,SG_GEN_PARLNT,5.0
2020,LG,4504,SG_GEN_PARL,40.0
2020,LG,4504,SG_GEN_PARLN,2.0
2020,LG,4504,SG_GEN_PARLNT,5.0
1992,LG,4601,SG_GEN_PARL,0.0
1992,LG,4601,SG_GEN_PARLN,0.0
1992,LG,4601,SG_GEN_PARLNT,5.0
1996,LG,4601,SG_GEN_PARL,0.0
1996,LG,4601,SG_GEN_PARLN,0.0
1996,LG,4601,SG_GEN_PARLNT,5.0
2000,LG,4601,SG_GEN_PARL,14.3
2000,LG,4601,SG_GEN_PARLN,1.0
2000,LG,4601,SG_GEN_PARLNT,7.0
2004,LG,4601,SG_GEN_PARL,14.3
2004,LG,4601,SG_GEN_PARLN,1.0
2004,LG,4601,SG_GEN_PARLNT,7.0
2012,LG,4601,SG_GEN_PARL,0.0
2012,LG,4601,SG_GEN_PARLN,0.0
2012,LG,4601,SG_GEN_PARLNT,7.0
2016,LG,4601,SG_GEN_PARL,28.6
2016,LG,4601,SG_GEN_PARLN,2.0
2016,LG,4601,SG_GEN_PARLNT,7.0
2020,LG,4601,SG_GEN_PARL,28.6
2020,LG,4601,SG_GEN_PARLN,2.0
2020,LG,4601,SG_GEN_PARLNT,7.0
1992,LG,4303,SG_GEN_PARL,33.3
1992,LG,4303,SG_GEN_PARLN,1.0
1992,LG,4303,SG_GEN_PARLNT,3.0
1996,LG,4303,SG_GEN_PARL,0.0
1996,LG,4303,SG_GEN_PARLN,0.0
1996,LG,4303,SG_GEN_PARLNT,4.0
2000,LG,4303,SG_GEN_PARL,0.0
2000,LG,4303,SG_GEN_PARLN,0.0
2000,LG,4303,SG_GEN_PARLNT,1.0
1992,LG,4104,SG_GEN_PARL,0.0
1992,LG,4104,SG_GEN_PARLN,0.0
1992,LG,4104,SG_GEN_PARLNT,5.0
1996,LG,4104,SG_GEN_PARL,0.0
1996,LG,4104,SG_GEN_PARLN,0.0
1996,LG,4104,SG_GEN_PARLNT,6.0
2000,LG,4104,SG_GEN_PARL,40.0
2000,LG,4104,SG_GEN_PARLN,2.0
2000,LG,4104,SG_GEN_PARLNT,5.0
2004,LG,4104,SG_GEN_PARL,20.0
2004,LG,4104,SG_GEN_PARLN,1.0
2004,LG,4104,SG_GEN_PARLNT,5.0
2012,LG,4104,SG_GEN_PARL,40.0
2012,LG,4104,SG_GEN_PARLN,2.0
2012,LG,4104,SG_GEN_PARLNT,5.0
2016,LG,4104,SG_GEN_PARL,40.0
2016,LG,4104,SG_GEN_PARLN,2.0
2016,LG,4104,SG_GEN_PARLNT,5.0
2020,LG,4104,SG_GEN_PARL,80.0
