Year,Series,kelda,Units,Value
2006,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.63206508967874
2007,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.19386547562816
2008,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.57865302018682
2009,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.63243428470746
2010,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.53630685935457
2011,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.52030371271108
2012,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.7050076963826
2013,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.45643472324888
2014,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.28620448285755
2015,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.39047922797352
2016,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.66042976101505
2017,Samlaðu almennu inntøkurnar,Sosial gjøld,%,4.72682699165009
2018,Samlaðu almennu inntøkurnar,Sosial gjøld,%,5.04647655364117
2019,Samlaðu almennu inntøkurnar,Sosial gjøld,%,5.39630886913629
2020,Samlaðu almennu inntøkurnar,Sosial gjøld,%,5.69238890185315
2021,Samlaðu almennu inntøkurnar,Sosial gjøld,%,5.3664556959798
2022,Samlaðu almennu inntøkurnar,Sosial gjøld,%,5.14023564273205
1998,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,14.9175713748071
1999,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,14.3802997590251
2000,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,13.4981614780641
2001,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,12.2226117535807
2002,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,8.00276233183196
2003,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,8.0763453091597
2004,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,7.91914565103381
2005,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,7.66515155762289
2006,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.6949010705345
2007,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.39760827049944
2008,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.51032150014175
2009,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.75123270885988
2010,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.43501320996692
2011,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.30582739597567
2012,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,6.02582391591132
2013,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,5.63391836689358
2014,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,5.2571734869628
2015,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,5.04301658528117
2016,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,4.62821967542453
2017,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,4.46764176793849
2018,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,4.3387480732811
2019,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,4.04723165185222
2020,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,4.06592513182251
2021,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,3.80987022529218
2022,Samlaðu almennu inntøkurnar,Ríkisstudningur,%,3.53704169014344
1998,Samlaðu almennu inntøkurnar,Onnur inntøka,%,17.2923871383597
1999,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.6014925420022
2000,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.18636615110275
2001,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.46219046396503
2002,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.22986122255964
2003,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.9517594992885
2004,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.42198448271484
2005,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.94486660086341
2006,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.89292703852442
2007,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.6551029819426
2008,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.60386239676046
2009,Samlaðu almennu inntøkurnar,Onnur inntøka,%,5.04433259799169
2010,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.34065563133844
2011,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.43481860714262
2012,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.77538637224472
2013,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.14998451132786
2014,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.71878682806557
2015,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.29098265424452
2016,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.00408326283448
2017,Samlaðu almennu inntøkurnar,Onnur inntøka,%,5.24011537586325
2018,Samlaðu almennu inntøkurnar,Onnur inntøka,%,6.54040446165738
2019,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.70593386580344
2020,Samlaðu almennu inntøkurnar,Onnur inntøka,%,3.85693554915651
2021,Samlaðu almennu inntøkurnar,Onnur inntøka,%,5.61972176920882
2022,Samlaðu almennu inntøkurnar,Onnur inntøka,%,4.78533921247384
