Year,Units,Avleiðing,Kyn,Value
2013,Persónar,Ikki-deyðilig,Menn,69.0
2013,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.6
2013,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2013,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,6.6
2013,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,529.1
2013,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,618.1
2013,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,456.7
2014,Persónar,Deyðilig,,1.0
2014,Persónar,Deyðilig,Kvinnur,0.0
2014,Persónar,Deyðilig,Menn,1.0
2014,Persónar,Ikki-deyðilig,,168.0
2014,Persónar,Ikki-deyðilig,Kvinnur,91.0
2014,Persónar,Ikki-deyðilig,Menn,77.0
2014,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.6
2014,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2014,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,6.6
2014,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,604.4
2014,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,725.4
2014,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,504.9
2015,Persónar,Deyðilig,,0.0
2015,Persónar,Deyðilig,Kvinnur,0.0
2015,Persónar,Deyðilig,Menn,0.0
2015,Persónar,Ikki-deyðilig,,188.0
2015,Persónar,Ikki-deyðilig,Kvinnur,74.0
2015,Persónar,Ikki-deyðilig,Menn,114.0
2015,Pr. 100.000 arbeiðsvirkin,Deyðilig,,0.0
2015,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2015,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2015,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,658.2
2015,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,565.1
2015,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,737.0
2016,Persónar,Deyðilig,,2.0
2016,Persónar,Deyðilig,Kvinnur,0.0
2016,Persónar,Deyðilig,Menn,2.0
2016,Persónar,Ikki-deyðilig,,186.0
2016,Persónar,Ikki-deyðilig,Kvinnur,76.0
2016,Persónar,Ikki-deyðilig,Menn,110.0
2016,Pr. 100.000 arbeiðsvirkin,Deyðilig,,7.0
2016,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2016,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,13.0
2016,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,650.9
2016,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,576.4
2016,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,714.7
2017,Persónar,Deyðilig,,0.0
2017,Persónar,Deyðilig,Kvinnur,0.0
2017,Persónar,Deyðilig,Menn,0.0
2017,Persónar,Ikki-deyðilig,,178.0
2017,Persónar,Ikki-deyðilig,Kvinnur,56.0
2017,Persónar,Ikki-deyðilig,Menn,122.0
2017,Pr. 100.000 arbeiðsvirkin,Deyðilig,,0.0
2017,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2017,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2017,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,610.8
2017,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,413.3
2017,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,782.5
2018,Persónar,Deyðilig,,1.0
2018,Persónar,Deyðilig,Kvinnur,0.0
2018,Persónar,Deyðilig,Menn,1.0
2018,Persónar,Ikki-deyðilig,,216.0
2018,Persónar,Ikki-deyðilig,Kvinnur,84.0
2018,Persónar,Ikki-deyðilig,Menn,132.0
2018,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.3
2018,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2018,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,6.1
2018,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,708.9
2018,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,600.1
2018,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,801.3
2019,Persónar,Deyðilig,,1.0
2019,Persónar,Deyðilig,Kvinnur,1.0
2019,Persónar,Deyðilig,Menn,0.0
2019,Persónar,Ikki-deyðilig,,227.0
2019,Persónar,Ikki-deyðilig,Kvinnur,108.0
2019,Persónar,Ikki-deyðilig,Menn,119.0
2019,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.2
2019,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,6.9
2019,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2019,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,727.4
2019,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,749.1
2019,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,708.8
2020,Persónar,Deyðilig,,3.0
2020,Persónar,Deyðilig,Kvinnur,0.0
2020,Persónar,Deyðilig,Menn,3.0
2020,Persónar,Ikki-deyðilig,,173.0
2020,Persónar,Ikki-deyðilig,Kvinnur,70.0
2020,Persónar,Ikki-deyðilig,Menn,103.0
2020,Pr. 100.000 arbeiðsvirkin,Deyðilig,,9.6
2020,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2020,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,17.8
2020,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,553.8
2020,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,485.5
2020,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,612.3
2021,Persónar,Deyðilig,,0.0
2021,Persónar,Deyðilig,Kvinnur,0.0
2021,Persónar,Deyðilig,Menn,0.0
2021,Persónar,Ikki-deyðilig,,211.0
2021,Persónar,Ikki-deyðilig,Kvinnur,110.0
2021,Persónar,Ikki-deyðilig,Menn,101.0
2021,Pr. 100.000 arbeiðsvirkin,Deyðilig,,0.0
2021,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2021,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2021,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,674.0
2021,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,753.3
2021,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,604.8
