Year,Series,Units,Flokkur/Kommuna,Value
1988,Løgtingið,data.foseats-number,Fólkaflokkurin,8.0
1988,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
1988,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
1988,Løgtingið,data.foseats-number,Framburðsflokkurin,
1988,Løgtingið,data.fowomenseats-proportion,Framsókn,
1988,Løgtingið,data.fowomenseats-number,Framsókn,
1988,Løgtingið,data.foseats-number,Framsókn,
1988,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,14.3
1988,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
1988,Løgtingið,data.foseats-number,Javnaðarflokkurin,7.0
1988,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,0.0
1988,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,0.0
1988,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,2.0
1988,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,
1988,Løgtingið,data.fowomenseats-number,Miðflokkurin,
1988,Løgtingið,data.foseats-number,Miðflokkurin,
1988,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,0.0
1988,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,0.0
1988,Løgtingið,data.foseats-number,Sambandsflokkurin,7.0
1988,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
1988,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
1988,Løgtingið,data.foseats-number,Sjálvstýri,2.0
1988,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,33.3
1988,Løgtingið,data.fowomenseats-number,Tjóðveldi,2.0
1988,Løgtingið,data.foseats-number,Tjóðveldi,6.0
1988,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
1988,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
1988,Løgtingið,data.foseats-number,Verkamannafylkingin,
1990,Løgtingið,data.fowomenseats-proportion,Allir flokkar,9.4
1990,Løgtingið,data.fowomenseats-number,Allir flokkar,3.0
1990,Løgtingið,data.foseats-number,Allir flokkar,32.0
1990,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
1990,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
1990,Løgtingið,data.foseats-number,Fólkaflokkurin,7.0
1990,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
1990,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
1990,Løgtingið,data.foseats-number,Framburðsflokkurin,
1990,Løgtingið,data.fowomenseats-proportion,Framsókn,
1990,Løgtingið,data.fowomenseats-number,Framsókn,
1990,Løgtingið,data.foseats-number,Framsókn,
1990,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,10.0
1990,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
1990,Løgtingið,data.foseats-number,Javnaðarflokkurin,10.0
1990,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,0.0
1990,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,0.0
1990,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,2.0
1990,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,
1990,Løgtingið,data.fowomenseats-number,Miðflokkurin,
1990,Løgtingið,data.foseats-number,Miðflokkurin,
1990,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,16.7
1990,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
1990,Løgtingið,data.foseats-number,Sambandsflokkurin,6.0
1990,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,33.3
1990,Løgtingið,data.fowomenseats-number,Sjálvstýri,1.0
1990,Løgtingið,data.foseats-number,Sjálvstýri,3.0
1990,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,0.0
1990,Løgtingið,data.fowomenseats-number,Tjóðveldi,0.0
1990,Løgtingið,data.foseats-number,Tjóðveldi,4.0
1990,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
1990,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
1990,Løgtingið,data.foseats-number,Verkamannafylkingin,
1994,Løgtingið,data.fowomenseats-proportion,Allir flokkar,15.6
1994,Løgtingið,data.fowomenseats-number,Allir flokkar,5.0
1994,Løgtingið,data.foseats-number,Allir flokkar,32.0
1994,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
1994,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
1994,Løgtingið,data.foseats-number,Fólkaflokkurin,6.0
1994,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
1994,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
1994,Løgtingið,data.foseats-number,Framburðsflokkurin,
1994,Løgtingið,data.fowomenseats-proportion,Framsókn,
1994,Løgtingið,data.fowomenseats-number,Framsókn,
1994,Løgtingið,data.foseats-number,Framsókn,
1994,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,20.0
1994,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
1994,Løgtingið,data.foseats-number,Javnaðarflokkurin,5.0
1994,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,0.0
1994,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,0.0
1994,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,2.0
1994,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
1994,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
1994,Løgtingið,data.foseats-number,Miðflokkurin,2.0
1994,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,25.0
1994,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,2.0
1994,Løgtingið,data.foseats-number,Sambandsflokkurin,8.0
1994,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,50.0
1994,Løgtingið,data.fowomenseats-number,Sjálvstýri,1.0
1994,Løgtingið,data.foseats-number,Sjálvstýri,2.0
1994,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,0.0
1994,Løgtingið,data.fowomenseats-number,Tjóðveldi,0.0
1994,Løgtingið,data.foseats-number,Tjóðveldi,4.0
1994,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,33.3
1994,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,1.0
1994,Løgtingið,data.foseats-number,Verkamannafylkingin,3.0
1998,Løgtingið,data.fowomenseats-proportion,Allir flokkar,12.5
1998,Løgtingið,data.fowomenseats-number,Allir flokkar,4.0
1998,Løgtingið,data.foseats-number,Allir flokkar,32.0
1998,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
1998,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
1998,Løgtingið,data.foseats-number,Fólkaflokkurin,8.0
1998,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
1998,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
1998,Løgtingið,data.foseats-number,Framburðsflokkurin,
1998,Løgtingið,data.fowomenseats-proportion,Framsókn,
1998,Løgtingið,data.fowomenseats-number,Framsókn,
1998,Løgtingið,data.foseats-number,Framsókn,
1998,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,14.3
1998,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
1998,Løgtingið,data.foseats-number,Javnaðarflokkurin,7.0
1998,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
1998,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
1998,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
1998,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
1998,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
1998,Løgtingið,data.foseats-number,Miðflokkurin,1.0
1998,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,16.7
1998,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
1998,Løgtingið,data.foseats-number,Sambandsflokkurin,6.0
1998,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,50.0
1998,Løgtingið,data.fowomenseats-number,Sjálvstýri,1.0
1998,Løgtingið,data.foseats-number,Sjálvstýri,2.0
1998,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,12.5
1998,Løgtingið,data.fowomenseats-number,Tjóðveldi,1.0
1998,Løgtingið,data.foseats-number,Tjóðveldi,8.0
1998,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
1998,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
1998,Løgtingið,data.foseats-number,Verkamannafylkingin,
2002,Løgtingið,data.fowomenseats-proportion,Allir flokkar,12.5
2002,Løgtingið,data.fowomenseats-number,Allir flokkar,4.0
2002,Løgtingið,data.foseats-number,Allir flokkar,32.0
2002,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
2002,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
2002,Løgtingið,data.foseats-number,Fólkaflokkurin,7.0
2002,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2002,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2002,Løgtingið,data.foseats-number,Framburðsflokkurin,
2002,Løgtingið,data.fowomenseats-proportion,Framsókn,
2002,Løgtingið,data.fowomenseats-number,Framsókn,
2002,Løgtingið,data.foseats-number,Framsókn,
2002,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,14.3
2002,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
2002,Løgtingið,data.foseats-number,Javnaðarflokkurin,7.0
2002,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2002,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2002,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2002,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2002,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2002,Løgtingið,data.foseats-number,Miðflokkurin,1.0
2002,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,12.5
2002,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
2002,Løgtingið,data.foseats-number,Sambandsflokkurin,8.0
2002,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2002,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2002,Løgtingið,data.foseats-number,Sjálvstýri,1.0
2002,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,25.0
2002,Løgtingið,data.fowomenseats-number,Tjóðveldi,2.0
2002,Løgtingið,data.foseats-number,Tjóðveldi,8.0
2002,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2002,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2002,Løgtingið,data.foseats-number,Verkamannafylkingin,
2004,Løgtingið,data.fowomenseats-proportion,Allir flokkar,9.4
2004,Løgtingið,data.fowomenseats-number,Allir flokkar,3.0
2004,Løgtingið,data.foseats-number,Allir flokkar,32.0
2004,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
2004,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
2004,Løgtingið,data.foseats-number,Fólkaflokkurin,7.0
2004,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2004,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2004,Løgtingið,data.foseats-number,Framburðsflokkurin,
2004,Løgtingið,data.fowomenseats-proportion,Framsókn,
2004,Løgtingið,data.fowomenseats-number,Framsókn,
2004,Løgtingið,data.foseats-number,Framsókn,
2004,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,0.0
2004,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,0.0
2004,Løgtingið,data.foseats-number,Javnaðarflokkurin,7.0
2004,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2004,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2004,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2004,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2004,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2004,Løgtingið,data.foseats-number,Miðflokkurin,2.0
2004,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,14.3
2004,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
2004,Løgtingið,data.foseats-number,Sambandsflokkurin,7.0
2004,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2004,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2004,Løgtingið,data.foseats-number,Sjálvstýri,1.0
2004,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,25.0
2004,Løgtingið,data.fowomenseats-number,Tjóðveldi,2.0
2004,Løgtingið,data.foseats-number,Tjóðveldi,8.0
2004,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2004,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2004,Løgtingið,data.foseats-number,Verkamannafylkingin,
2008,Løgtingið,data.fowomenseats-proportion,Allir flokkar,21.2
2008,Løgtingið,data.fowomenseats-number,Allir flokkar,7.0
2008,Løgtingið,data.foseats-number,Allir flokkar,33.0
2008,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,14.3
2008,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,1.0
2008,Løgtingið,data.foseats-number,Fólkaflokkurin,7.0
2008,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2008,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2008,Løgtingið,data.foseats-number,Framburðsflokkurin,
2008,Løgtingið,data.fowomenseats-proportion,Framsókn,
2008,Løgtingið,data.fowomenseats-number,Framsókn,
2008,Løgtingið,data.foseats-number,Framsókn,
2008,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,33.3
2008,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,2.0
2008,Løgtingið,data.foseats-number,Javnaðarflokkurin,6.0
2008,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2008,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2008,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2008,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2008,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2008,Løgtingið,data.foseats-number,Miðflokkurin,3.0
2008,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,14.3
2008,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
2008,Løgtingið,data.foseats-number,Sambandsflokkurin,7.0
2008,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2008,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2008,Løgtingið,data.foseats-number,Sjálvstýri,2.0
2008,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,37.5
2008,Løgtingið,data.fowomenseats-number,Tjóðveldi,3.0
2008,Løgtingið,data.foseats-number,Tjóðveldi,8.0
2008,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2008,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2008,Løgtingið,data.foseats-number,Verkamannafylkingin,
2011,Løgtingið,data.fowomenseats-proportion,Allir flokkar,30.3
2011,Løgtingið,data.fowomenseats-number,Allir flokkar,10.0
2011,Løgtingið,data.foseats-number,Allir flokkar,33.0
2011,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,25.0
2011,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,2.0
2011,Løgtingið,data.foseats-number,Fólkaflokkurin,8.0
2011,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2011,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2011,Løgtingið,data.foseats-number,Framburðsflokkurin,
2011,Løgtingið,data.fowomenseats-proportion,Framsókn,0.0
2011,Løgtingið,data.fowomenseats-number,Framsókn,0.0
2011,Løgtingið,data.foseats-number,Framsókn,2.0
2011,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,33.3
2011,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,2.0
2011,Løgtingið,data.foseats-number,Javnaðarflokkurin,6.0
2011,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2011,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2011,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2011,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2011,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2011,Løgtingið,data.foseats-number,Miðflokkurin,2.0
2011,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,25.0
2011,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,2.0
2011,Løgtingið,data.foseats-number,Sambandsflokkurin,8.0
2011,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2011,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2011,Løgtingið,data.foseats-number,Sjálvstýri,1.0
2011,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,66.7
2011,Løgtingið,data.fowomenseats-number,Tjóðveldi,4.0
2011,Løgtingið,data.foseats-number,Tjóðveldi,6.0
2011,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2011,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2011,Løgtingið,data.foseats-number,Verkamannafylkingin,
2015,Løgtingið,data.fowomenseats-proportion,Allir flokkar,30.3
2015,Løgtingið,data.fowomenseats-number,Allir flokkar,10.0
2015,Løgtingið,data.foseats-number,Allir flokkar,33.0
2015,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,33.3
2015,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,2.0
2015,Løgtingið,data.foseats-number,Fólkaflokkurin,6.0
2015,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2015,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2015,Løgtingið,data.foseats-number,Framburðsflokkurin,
2015,Løgtingið,data.fowomenseats-proportion,Framsókn,50.0
2015,Løgtingið,data.fowomenseats-number,Framsókn,1.0
2015,Løgtingið,data.foseats-number,Framsókn,2.0
2015,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,37.5
2015,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,3.0
2015,Løgtingið,data.foseats-number,Javnaðarflokkurin,8.0
2015,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2015,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2015,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2015,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2015,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2015,Løgtingið,data.foseats-number,Miðflokkurin,2.0
2015,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,0.0
2015,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,0.0
2015,Løgtingið,data.foseats-number,Sambandsflokkurin,6.0
2015,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2015,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2015,Løgtingið,data.foseats-number,Sjálvstýri,2.0
2015,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,57.1
2015,Løgtingið,data.fowomenseats-number,Tjóðveldi,4.0
2015,Løgtingið,data.foseats-number,Tjóðveldi,7.0
2015,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2015,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2015,Løgtingið,data.foseats-number,Verkamannafylkingin,
2019,Løgtingið,data.fowomenseats-proportion,Allir flokkar,24.2
2019,Løgtingið,data.fowomenseats-number,Allir flokkar,8.0
2019,Løgtingið,data.foseats-number,Allir flokkar,33.0
2019,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,12.5
2019,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,1.0
2019,Løgtingið,data.foseats-number,Fólkaflokkurin,8.0
2019,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,
2019,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,
2019,Løgtingið,data.foseats-number,Framburðsflokkurin,
2019,Løgtingið,data.fowomenseats-proportion,Framsókn,0.0
2019,Løgtingið,data.fowomenseats-number,Framsókn,0.0
2019,Løgtingið,data.foseats-number,Framsókn,2.0
2019,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,14.3
2019,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,1.0
2019,Løgtingið,data.foseats-number,Javnaðarflokkurin,7.0
2019,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
2019,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
2019,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
2019,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,0.0
2019,Løgtingið,data.fowomenseats-number,Miðflokkurin,0.0
2019,Løgtingið,data.foseats-number,Miðflokkurin,2.0
2019,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,14.3
2019,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,1.0
2019,Løgtingið,data.foseats-number,Sambandsflokkurin,7.0
2019,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
2019,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
2019,Løgtingið,data.foseats-number,Sjálvstýri,1.0
2019,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,83.3
2019,Løgtingið,data.fowomenseats-number,Tjóðveldi,5.0
2019,Løgtingið,data.foseats-number,Tjóðveldi,6.0
2019,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
2019,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
2019,Løgtingið,data.foseats-number,Verkamannafylkingin,
1996,Kommunustýri,data.fowomenseats-proportion,Allar kommunur,16.5
1996,Kommunustýri,data.fowomenseats-proportion,Bíggjar kommuna,33.3
1996,Kommunustýri,data.fowomenseats-proportion,Eiðis kommuna,14.3
1996,Kommunustýri,data.fowomenseats-proportion,Elduvíkar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Eysturkommuna,
1996,Kommunustýri,data.fowomenseats-proportion,Fámjins kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Fuglafjarðar kommuna,11.1
1996,Kommunustýri,data.fowomenseats-proportion,Fugloyar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Funnings kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Gjáar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Gøtu kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Haldórsvíkar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Hests kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Hósvíkar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Hovs kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Húsa kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Húsavíkar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Hvalbiar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Hvalvíkar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Hvannasunds kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Kirkjubøar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Klaksvíkar kommuna,18.2
1996,Kommunustýri,data.fowomenseats-proportion,Kunoyar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Kvívíkar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Leirvíkar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Miðvágs kommuna,57.1
1996,Kommunustýri,data.fowomenseats-proportion,Mikladals kommuna,40.0
1996,Kommunustýri,data.fowomenseats-proportion,Mykines kommuna,33.3
1996,Kommunustýri,data.fowomenseats-proportion,Nes kommuna,28.6
1996,Kommunustýri,data.fowomenseats-proportion,Nólsoyar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Oyndarfjarðar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Porkeris kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Runavíkar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Saksunar kommuna,0.0
1996,Kommunustýri,data.fowomenseats-proportion,Sandavágs kommuna,14.3
1996,Kommunustýri,data.fowomenseats-proportion,Sands kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Sjóvar kommuna,20.0
1996,Kommunustýri,data.fowomenseats-proportion,Skála kommuna,40.0
1996,Kommunustýri,data.fowomenseats-proportion,Skálavíkar kommuna,40.0
1996,Kommunustýri,data.fowomenseats-proportion,Skopunar kommuna,0.0
