Year,eind,Series,kyn,sjúkubólkur,Kyn,Sjúkubólkur,Value
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,4.13539275892728
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,305.235970885184
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,86.092196916334
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,219.14377396885
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,0.0
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,105.221623043536
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,26.3054057608839
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,61.379280108729
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,8.76846858696129
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,8.76846858696129
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,264.075426543707
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,66.0188566359266
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,181.551855748798
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,8.25235707949083
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,8.25235707949083
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,313.455058381005
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,101.872893973827
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,203.745787947653
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,7.83637645952512
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,209.159440498497
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,26.1449300623121
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,156.869580373873
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,17.4299533748747
2011,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,8.71497668743736
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,231.027867736546
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,90.7609480393572
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,132.015924420883
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,0.0
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,8.2509952763052
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,346.347607052897
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,157.430730478589
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,173.173803526448
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,15.7430730478589
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,104.026700186381
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,17.3377833643969
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,86.6889168219843
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,0.0
2012,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,0.0
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,272.637144745539
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,86.748182419035
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,156.972901520159
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,4.13086582947786
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,24.7851949768671
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,371.497450895151
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,118.563016243133
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,237.126032486266
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,7.90420108287555
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,7.90420108287555
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,164.409639596764
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,51.9188335568728
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,69.2251114091637
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,0.0
2013,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,43.2656946307273
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,251.904771737111
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,74.3325555945572
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,148.665111189114
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,0.0
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,28.9071049534389
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,323.662916913361
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,110.519044799684
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,173.672784685218
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,39.4710874284587
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,173.190162798753
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,34.6380325597506
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,121.233113959127
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,0.0
2014,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,17.3190162798753
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,221.843353942855
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,57.5149436148142
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,135.570938520633
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,0.0
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,28.7574718074071
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,282.496959234119
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,102.012790834543
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,149.095617373563
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,31.3885510260133
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,155.199172271081
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,8.62217623728229
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,120.710467321952
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,0.0
2015,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,25.8665287118469
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,248.553500122239
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,65.1943606878005
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,158.911254176514
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,16.2985901719501
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,8.14929508597506
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,288.566526282951
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,85.7900483543909
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,171.580096708782
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,23.3972859148339
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,7.79909530494463
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,204.778156996587
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,42.6621160409556
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,145.051194539249
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,8.53242320819113
2016,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,8.53242320819113
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,294.515159461804
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,84.7235390232586
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,193.653803481734
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,0.0
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,16.1378169568112
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,363.481690576544
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,139.205753837825
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,208.808630756738
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,0.0
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,15.4673059819806
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,219.298245614035
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,25.3036437246964
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,177.125506072874
2017,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,0.0
