Year,Series,øki,kyn,aldur,Units,GeoCode,Value
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,5.7
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,4.3
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,4.6
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,4.2
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.7
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.0
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.4
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.0
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,2.7
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.3
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,18-24 ár,%,TOTAL,3.1
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.5
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.9
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,4.1
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,4.4
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.4
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.1
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.2
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,3.1
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.9
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.8
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.6
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.3
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.8
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,25-54 ár,%,TOTAL,2.7
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,4.1
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,3.8
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,3.8
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,4.0
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,3.4
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,3.2
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.8
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.8
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.8
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.3
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.2
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.0
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.2
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,55-66 ár,%,TOTAL,2.0
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,3.5
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,3.3
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,3.3
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.8
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.2
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.0
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.0
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,1.9
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.5
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,2.4
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,1.5
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,1.3
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,1.0
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),,67+ ár,%,TOTAL,1.0
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,4.2
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,4.3
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,4.7
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,4.8
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,4.1
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,3.8
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,3.6
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,3.4
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,3.1
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,3.0
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,2.9
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,2.6
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,2.7
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,,%,TOTAL,2.6
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,5.3
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,5.5
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,5.9
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,6.0
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,5.4
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,5.0
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,4.9
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,4.4
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.7
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.4
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.8
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.5
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.5
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,00-17 ár,%,TOTAL,3.0
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.8
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,5.7
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,7.3
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,7.8
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,5.9
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,5.9
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,5.3
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.8
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.0
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.2
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.0
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,3.8
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.1
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,18-24 ár,%,TOTAL,4.7
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,4.0
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,4.1
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,4.3
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,4.8
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,3.9
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,3.6
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,3.5
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,3.3
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,2.9
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,2.9
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,3.0
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,2.6
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,2.9
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,25-54 ár,%,TOTAL,2.8
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,3.4
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,3.2
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,3.1
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,3.3
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.9
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.7
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.2
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.4
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.4
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,2.1
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,1.9
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,1.7
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,1.6
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,55-66 ár,%,TOTAL,1.6
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,3.4
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,3.1
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,3.3
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,2.5
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,2.2
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,2.0
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.9
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.9
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,2.9
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,2.6
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.7
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.6
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.1
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Menn,67+ ár,%,TOTAL,1.2
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,3.9
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,4.0
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,4.2
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,4.6
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,3.5
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,3.3
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,3.2
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,3.1
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.9
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.8
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.4
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.1
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.5
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,,%,TOTAL,2.4
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,4.9
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,4.8
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,5.2
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,6.3
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,5.0
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,4.7
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,4.0
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,4.1
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.8
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.6
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.0
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.0
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.2
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,00-17 ár,%,TOTAL,3.3
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.0
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.2
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.7
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,4.1
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.0
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.4
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,3.2
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,2.7
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,2.2
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,2.8
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,2.3
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,1.7
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,2.6
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,18-24 ár,%,TOTAL,1.8
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,3.2
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,3.7
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,3.9
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,4.0
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,3.0
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.7
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,3.0
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.8
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.8
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.6
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.3
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.0
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.7
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,25-54 ár,%,TOTAL,2.6
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,4.7
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,4.4
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,4.4
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,4.5
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,3.9
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,3.6
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,3.4
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,3.3
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,3.1
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,2.6
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,2.5
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,2.3
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,2.7
2022,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,55-66 ár,%,TOTAL,2.4
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,67+ ár,%,TOTAL,3.6
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,67+ ár,%,TOTAL,3.5
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Tils. (øki),Kvinnur,67+ ár,%,TOTAL,3.2
