Year,Sex,date.age,Geography,GeoCode,Value
2010,Females,55-66 years,"Streymoyar region, south",R4700,3.4
2010,Females,55-66 years,Suðuroyar region,R4600,4.2
2010,Females,55-66 years,Vága region,R4400,1.9
2010,Females,67+ years,,,3.1
2010,Females,67+ years,Eysturoyar region,R4200,3.3
2010,Females,67+ years,Norðoya region,R4100,2.9
2010,Females,67+ years,Sandoyar region,R4500,2.4
2010,Females,67+ years,"Streymoyar region, north",R4300,4
2010,Females,67+ years,"Streymoyar region, south",R4700,2.4
2010,Females,67+ years,Suðuroyar region,R4600,4.6
2010,Females,67+ years,Vága region,R4400,3.2
2010,Males,,,,4
2010,Males,,Eysturoyar region,R4200,3.8
2010,Males,,Norðoya region,R4100,4.7
2010,Males,,Sandoyar region,R4500,5
2010,Males,,"Streymoyar region, north",R4300,3.6
2010,Males,,"Streymoyar region, south",R4700,3.8
2010,Males,,Suðuroyar region,R4600,4.8
2010,Males,,Vága region,R4400,3.1
2010,Males,00-17 years,,,4.8
2010,Males,00-17 years,Eysturoyar region,R4200,4.4
2010,Males,00-17 years,Norðoya region,R4100,7.4
2010,Males,00-17 years,Sandoyar region,R4500,7
2010,Males,00-17 years,"Streymoyar region, north",R4300,4.2
2010,Males,00-17 years,"Streymoyar region, south",R4700,4.1
2010,Males,00-17 years,Suðuroyar region,R4600,6.5
2010,Males,00-17 years,Vága region,R4400,2.7
2010,Males,18-24 years,,,3.2
2010,Males,18-24 years,Eysturoyar region,R4200,3.3
2010,Males,18-24 years,Norðoya region,R4100,3.3
2010,Males,18-24 years,Sandoyar region,R4500,-
2010,Males,18-24 years,"Streymoyar region, north",R4300,1.1
2010,Males,18-24 years,"Streymoyar region, south",R4700,3.6
2010,Males,18-24 years,Suðuroyar region,R4600,3.1
2010,Males,18-24 years,Vága region,R4400,4.7
2010,Males,25-54 years,,,3.7
2010,Males,25-54 years,Eysturoyar region,R4200,3.3
2010,Males,25-54 years,Norðoya region,R4100,4.3
2010,Males,25-54 years,Sandoyar region,R4500,4.9
2010,Males,25-54 years,"Streymoyar region, north",R4300,2.5
2010,Males,25-54 years,"Streymoyar region, south",R4700,3.6
2010,Males,25-54 years,Suðuroyar region,R4600,5.4
2010,Males,25-54 years,Vága region,R4400,2.5
2010,Males,55-66 years,,,4.4
2010,Males,55-66 years,Eysturoyar region,R4200,3.7
2010,Males,55-66 years,Norðoya region,R4100,3.5
2010,Males,55-66 years,Sandoyar region,R4500,5.8
2010,Males,55-66 years,"Streymoyar region, north",R4300,5.5
2010,Males,55-66 years,"Streymoyar region, south",R4700,4.5
2010,Males,55-66 years,Suðuroyar region,R4600,4.5
2010,Males,55-66 years,Vága region,R4400,5.4
2010,Males,67+ years,,,3.5
2010,Males,67+ years,Eysturoyar region,R4200,4.8
2010,Males,67+ years,Norðoya region,R4100,2.9
2010,Males,67+ years,Sandoyar region,R4500,5.1
2010,Males,67+ years,"Streymoyar region, north",R4300,5.5
2010,Males,67+ years,"Streymoyar region, south",R4700,3.3
2010,Males,67+ years,Suðuroyar region,R4600,1.5
2010,Males,67+ years,Vága region,R4400,1.9
2011,,,,,4.4
2011,,,Eysturoyar region,R4200,3.1
2011,,,Norðoya region,R4100,4.8
2011,,,Sandoyar region,R4500,5.2
2011,,,"Streymoyar region, north",R4300,4.3
2011,,,"Streymoyar region, south",R4700,4.6
2011,,,Suðuroyar region,R4600,6.5
2011,,,Vága region,R4400,4.2
2011,,00-17 years,,,5.5
2011,,00-17 years,Eysturoyar region,R4200,3.5
2011,,00-17 years,Norðoya region,R4100,6.9
2011,,00-17 years,Sandoyar region,R4500,8
2011,,00-17 years,"Streymoyar region, north",R4300,6.2
2011,,00-17 years,"Streymoyar region, south",R4700,5.3
2011,,00-17 years,Suðuroyar region,R4600,9.3
2011,,00-17 years,Vága region,R4400,5.1
2011,,18-24 years,,,5.4
2011,,18-24 years,Eysturoyar region,R4200,3.2
2011,,18-24 years,Norðoya region,R4100,3.9
2011,,18-24 years,Sandoyar region,R4500,2.9
2011,,18-24 years,"Streymoyar region, north",R4300,6.1
2011,,18-24 years,"Streymoyar region, south",R4700,7.3
2011,,18-24 years,Suðuroyar region,R4600,5.6
2011,,18-24 years,Vága region,R4400,3.9
2011,,25-54 years,,,4.1
2011,,25-54 years,Eysturoyar region,R4200,2.8
2011,,25-54 years,Norðoya region,R4100,5.1
2011,,25-54 years,Sandoyar region,R4500,5.1
2011,,25-54 years,"Streymoyar region, north",R4300,3.7
2011,,25-54 years,"Streymoyar region, south",R4700,3.9
2011,,25-54 years,Suðuroyar region,R4600,6.7
2011,,25-54 years,Vága region,R4400,3.6
2011,,55-66 years,,,3.8
2011,,55-66 years,Eysturoyar region,R4200,3.3
2011,,55-66 years,Norðoya region,R4100,3.4
2011,,55-66 years,Sandoyar region,R4500,5.5
2011,,55-66 years,"Streymoyar region, north",R4300,2
2011,,55-66 years,"Streymoyar region, south",R4700,3.9
2011,,55-66 years,Suðuroyar region,R4600,5.1
2011,,55-66 years,Vága region,R4400,3.5
2011,,67+ years,,,3.3
2011,,67+ years,Eysturoyar region,R4200,2.6
2011,,67+ years,Norðoya region,R4100,2.4
2011,,67+ years,Sandoyar region,R4500,2.2
2011,,67+ years,"Streymoyar region, north",R4300,3.4
2011,,67+ years,"Streymoyar region, south",R4700,3.6
2011,,67+ years,Suðuroyar region,R4600,3.8
2011,,67+ years,Vága region,R4400,4.7
2011,Females,,,,4.7
2011,Females,,Eysturoyar region,R4200,3.3
2011,Females,,Norðoya region,R4100,4.7
2011,Females,,Sandoyar region,R4500,4.3
2011,Females,,"Streymoyar region, north",R4300,4.6
2011,Females,,"Streymoyar region, south",R4700,4.9
2011,Females,,Suðuroyar region,R4600,7.3
2011,Females,,Vága region,R4400,4.7
2011,Females,00-17 years,,,5.9
2011,Females,00-17 years,Eysturoyar region,R4200,4
2011,Females,00-17 years,Norðoya region,R4100,5.7
2011,Females,00-17 years,Sandoyar region,R4500,8
2011,Females,00-17 years,"Streymoyar region, north",R4300,5.8
2011,Females,00-17 years,"Streymoyar region, south",R4700,5.7
2011,Females,00-17 years,Suðuroyar region,R4600,11
2011,Females,00-17 years,Vága region,R4400,6.8
2011,Females,18-24 years,,,7.3
2011,Females,18-24 years,Eysturoyar region,R4200,3.9
2011,Females,18-24 years,Norðoya region,R4100,5.1
2011,Females,18-24 years,Sandoyar region,R4500,3
2011,Females,18-24 years,"Streymoyar region, north",R4300,9.2
2011,Females,18-24 years,"Streymoyar region, south",R4700,9.9
2011,Females,18-24 years,Suðuroyar region,R4600,7.7
2011,Females,18-24 years,Vága region,R4400,6.5
2011,Females,25-54 years,,,4.3
2011,Females,25-54 years,Eysturoyar region,R4200,3
2011,Females,25-54 years,Norðoya region,R4100,5.5
2011,Females,25-54 years,Sandoyar region,R4500,5.1
2011,Females,25-54 years,"Streymoyar region, north",R4300,4.4
2011,Females,25-54 years,"Streymoyar region, south",R4700,4.1
2011,Females,25-54 years,Suðuroyar region,R4600,7.1
2011,Females,25-54 years,Vága region,R4400,3
2011,Females,55-66 years,,,3.1
2011,Females,55-66 years,Eysturoyar region,R4200,2.5
2011,Females,55-66 years,Norðoya region,R4100,2.7
2011,Females,55-66 years,Sandoyar region,R4500,1
2011,Females,55-66 years,"Streymoyar region, north",R4300,0.9
2011,Females,55-66 years,"Streymoyar region, south",R4700,3.7
2011,Females,55-66 years,Suðuroyar region,R4600,4.9
2011,Females,55-66 years,Vága region,R4400,2.5
2011,Females,67+ years,,,3.3
2011,Females,67+ years,Eysturoyar region,R4200,2.8
2011,Females,67+ years,Norðoya region,R4100,2.8
2011,Females,67+ years,Sandoyar region,R4500,1.7
2011,Females,67+ years,"Streymoyar region, north",R4300,3.6
2011,Females,67+ years,"Streymoyar region, south",R4700,2.9
2011,Females,67+ years,Suðuroyar region,R4600,5
2011,Females,67+ years,Vága region,R4400,6
2011,Males,,,,4.2
2011,Males,,Eysturoyar region,R4200,2.9
2011,Males,,Norðoya region,R4100,5
2011,Males,,Sandoyar region,R4500,5.9
2011,Males,,"Streymoyar region, north",R4300,4.1
2011,Males,,"Streymoyar region, south",R4700,4.3
2011,Males,,Suðuroyar region,R4600,5.7
2011,Males,,Vága region,R4400,3.7
2011,Males,00-17 years,,,5.2
2011,Males,00-17 years,Eysturoyar region,R4200,3
2011,Males,00-17 years,Norðoya region,R4100,8
2011,Males,00-17 years,Sandoyar region,R4500,8
2011,Males,00-17 years,"Streymoyar region, north",R4300,6.6
2011,Males,00-17 years,"Streymoyar region, south",R4700,4.9
2011,Males,00-17 years,Suðuroyar region,R4600,7.7
2011,Males,00-17 years,Vága region,R4400,3.4
2011,Males,18-24 years,,,3.7
2011,Males,18-24 years,Eysturoyar region,R4200,2.5
2011,Males,18-24 years,Norðoya region,R4100,2.8
2011,Males,18-24 years,Sandoyar region,R4500,2.9
2011,Males,18-24 years,"Streymoyar region, north",R4300,3.7
2011,Males,18-24 years,"Streymoyar region, south",R4700,5
2011,Males,18-24 years,Suðuroyar region,R4600,4.1
2011,Males,18-24 years,Vága region,R4400,2
2011,Males,25-54 years,,,3.9
2011,Males,25-54 years,Eysturoyar region,R4200,2.7
2011,Males,25-54 years,Norðoya region,R4100,4.9
2011,Males,25-54 years,Sandoyar region,R4500,5.1
2011,Males,25-54 years,"Streymoyar region, north",R4300,3.1
2011,Males,25-54 years,"Streymoyar region, south",R4700,3.7
2011,Males,25-54 years,Suðuroyar region,R4600,6.4
2011,Males,25-54 years,Vága region,R4400,4.1
2011,Males,55-66 years,,,4.4
2011,Males,55-66 years,Eysturoyar region,R4200,4
2011,Males,55-66 years,Norðoya region,R4100,4
2011,Males,55-66 years,Sandoyar region,R4500,8.6
2011,Males,55-66 years,"Streymoyar region, north",R4300,3
2011,Males,55-66 years,"Streymoyar region, south",R4700,4.2
2011,Males,55-66 years,Suðuroyar region,R4600,5.4
2011,Males,55-66 years,Vága region,R4400,4.4
2011,Males,67+ years,,,3.2
2011,Males,67+ years,Eysturoyar region,R4200,2.4
2011,Males,67+ years,Norðoya region,R4100,1.9
2011,Males,67+ years,Sandoyar region,R4500,2.9
2011,Males,67+ years,"Streymoyar region, north",R4300,3.3
2011,Males,67+ years,"Streymoyar region, south",R4700,4.4
2011,Males,67+ years,Suðuroyar region,R4600,2.6
2011,Males,67+ years,Vága region,R4400,3.3
2012,,,,,4.7
2012,,,Eysturoyar region,R4200,3.6
2012,,,Norðoya region,R4100,5.5
2012,,,Sandoyar region,R4500,5.9
2012,,,"Streymoyar region, north",R4300,5
2012,,,"Streymoyar region, south",R4700,4.7
2012,,,Suðuroyar region,R4600,5.2
2012,,,Vága region,R4400,5.2
2012,,00-17 years,,,6.2
2012,,00-17 years,Eysturoyar region,R4200,4.9
2012,,00-17 years,Norðoya region,R4100,8
2012,,00-17 years,Sandoyar region,R4500,7.6
2012,,00-17 years,"Streymoyar region, north",R4300,8.4
2012,,00-17 years,"Streymoyar region, south",R4700,5.4
2012,,00-17 years,Suðuroyar region,R4600,7.4
2012,,00-17 years,Vága region,R4400,7.8
2012,,18-24 years,,,5.7
2012,,18-24 years,Eysturoyar region,R4200,3
2012,,18-24 years,Norðoya region,R4100,4
2012,,18-24 years,Sandoyar region,R4500,9.8
2012,,18-24 years,"Streymoyar region, north",R4300,5.3
2012,,18-24 years,"Streymoyar region, south",R4700,7.8
2012,,18-24 years,Suðuroyar region,R4600,6.8
2012,,18-24 years,Vága region,R4400,4.6
2012,,25-54 years,,,4.4
2012,,25-54 years,Eysturoyar region,R4200,3.6
2012,,25-54 years,Norðoya region,R4100,5.9
2012,,25-54 years,Sandoyar region,R4500,5.3
2012,,25-54 years,"Streymoyar region, north",R4300,4.4
2012,,25-54 years,"Streymoyar region, south",R4700,4
2012,,25-54 years,Suðuroyar region,R4600,5.1
2012,,25-54 years,Vága region,R4400,4.7
2012,,55-66 years,,,4
2012,,55-66 years,Eysturoyar region,R4200,3
2012,,55-66 years,Norðoya region,R4100,3
2012,,55-66 years,Sandoyar region,R4500,7.9
2012,,55-66 years,"Streymoyar region, north",R4300,2.5
2012,,55-66 years,"Streymoyar region, south",R4700,4.4
2012,,55-66 years,Suðuroyar region,R4600,4.6
2012,,55-66 years,Vága region,R4400,4.5
2012,,67+ years,,,2.8
2012,,67+ years,Eysturoyar region,R4200,2.2
2012,,67+ years,Norðoya region,R4100,3.5
2012,,67+ years,Sandoyar region,R4500,0.9
2012,,67+ years,"Streymoyar region, north",R4300,2.7
2012,,67+ years,"Streymoyar region, south",R4700,3.2
2012,,67+ years,Suðuroyar region,R4600,2.4
2012,,67+ years,Vága region,R4400,2.9
2012,Females,,,,4.8
2012,Females,,Eysturoyar region,R4200,3.5
2012,Females,,Norðoya region,R4100,5.9
2012,Females,,Sandoyar region,R4500,5.3
2012,Females,,"Streymoyar region, north",R4300,5.1
2012,Females,,"Streymoyar region, south",R4700,4.9
2012,Females,,Suðuroyar region,R4600,5.7
2012,Females,,Vága region,R4400,5.1
2012,Females,00-17 years,,,6
2012,Females,00-17 years,Eysturoyar region,R4200,4.5
2012,Females,00-17 years,Norðoya region,R4100,7.7
2012,Females,00-17 years,Sandoyar region,R4500,6.9
2012,Females,00-17 years,"Streymoyar region, north",R4300,8
2012,Females,00-17 years,"Streymoyar region, south",R4700,5.4
2012,Females,00-17 years,Suðuroyar region,R4600,7.5
2012,Females,00-17 years,Vága region,R4400,7.4
2012,Females,18-24 years,,,7.8
2012,Females,18-24 years,Eysturoyar region,R4200,3.9
2012,Females,18-24 years,Norðoya region,R4100,6.3
2012,Females,18-24 years,Sandoyar region,R4500,13.2
2012,Females,18-24 years,"Streymoyar region, north",R4300,6.3
2012,Females,18-24 years,"Streymoyar region, south",R4700,10.5
2012,Females,18-24 years,Suðuroyar region,R4600,8.9
2012,Females,18-24 years,Vága region,R4400,6.2
2012,Females,25-54 years,,,4.8
2012,Females,25-54 years,Eysturoyar region,R4200,4
2012,Females,25-54 years,Norðoya region,R4100,6.7
2012,Females,25-54 years,Sandoyar region,R4500,5.3
2012,Females,25-54 years,"Streymoyar region, north",R4300,5.6
2012,Females,25-54 years,"Streymoyar region, south",R4700,4.2
2012,Females,25-54 years,Suðuroyar region,R4600,6
2012,Females,25-54 years,Vága region,R4400,5.1
2012,Females,55-66 years,,,3.3
2012,Females,55-66 years,Eysturoyar region,R4200,1.9
2012,Females,55-66 years,Norðoya region,R4100,3.1
2012,Females,55-66 years,Sandoyar region,R4500,3.9
2012,Females,55-66 years,"Streymoyar region, north",R4300,0.8
2012,Females,55-66 years,"Streymoyar region, south",R4700,4.3
2012,Females,55-66 years,Suðuroyar region,R4600,4.5
2012,Females,55-66 years,Vága region,R4400,2.9
2012,Females,67+ years,,,2.5
2012,Females,67+ years,Eysturoyar region,R4200,1.8
2012,Females,67+ years,Norðoya region,R4100,3.7
2012,Females,67+ years,Sandoyar region,R4500,1.7
2012,Females,67+ years,"Streymoyar region, north",R4300,2.5
2012,Females,67+ years,"Streymoyar region, south",R4700,2.6
2012,Females,67+ years,Suðuroyar region,R4600,2.3
2012,Females,67+ years,Vága region,R4400,2.6
2012,Males,,,,4.6
2012,Males,,Eysturoyar region,R4200,3.7
2012,Males,,Norðoya region,R4100,5.1
2012,Males,,Sandoyar region,R4500,6.5
2012,Males,,"Streymoyar region, north",R4300,4.8
2012,Males,,"Streymoyar region, south",R4700,4.5
2012,Males,,Suðuroyar region,R4600,4.9
2012,Males,,Vága region,R4400,5.3
2012,Males,00-17 years,,,6.3
2012,Males,00-17 years,Eysturoyar region,R4200,5.2
2012,Males,00-17 years,Norðoya region,R4100,8.2
2012,Males,00-17 years,Sandoyar region,R4500,8.2
2012,Males,00-17 years,"Streymoyar region, north",R4300,8.7
2012,Males,00-17 years,"Streymoyar region, south",R4700,5.3
2012,Males,00-17 years,Suðuroyar region,R4600,7.4
2012,Males,00-17 years,Vága region,R4400,8.3
2012,Males,18-24 years,,,4.1
2012,Males,18-24 years,Eysturoyar region,R4200,2.1
2012,Males,18-24 years,Norðoya region,R4100,2.1
2012,Males,18-24 years,Sandoyar region,R4500,7.8
2012,Males,18-24 years,"Streymoyar region, north",R4300,4.5
2012,Males,18-24 years,"Streymoyar region, south",R4700,5.4
2012,Males,18-24 years,Suðuroyar region,R4600,5.2
