Year,material type,Units,Series,Value
2010,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,-0.066081304168386
2010,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,-0.24418569184548
2010,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,262.1346
2010,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,5.40929839042509
2010,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,19.9886077686782
2010,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,219.7649
2010,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.53497523730912
2010,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,16.7577816412743
2011,,"1,000 tonnes",Domestic material consumption,935.4358
2011,,"1,000 tonnes",Domestic material consumption per capita,19.3647952635283
2011,,"1,000 tonnes",Domestic material consumption per unit of GDP,69.5356882684388
2011,Biomass,"1,000 tonnes",Domestic material consumption,359.5652
2011,Biomass,"1,000 tonnes",Domestic material consumption per capita,7.44348942160394
2011,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,26.7283053090109
2011,Metallic minerals,"1,000 tonnes",Domestic material consumption,1.0394
2011,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.021516995818325
2011,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.077263874641333
2011,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,366.4015
2011,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,7.58501014366745
2011,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,27.236482167016
2011,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,197.7462
2011,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.09361569991306
2011,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,14.6994781677891
2012,,"1,000 tonnes",Domestic material consumption,943.6587
2012,,"1,000 tonnes",Domestic material consumption per capita,19.6166448394138
2012,,"1,000 tonnes",Domestic material consumption per unit of GDP,67.11893737330631
2012,Biomass,"1,000 tonnes",Domestic material consumption,225.2743
2012,Biomass,"1,000 tonnes",Domestic material consumption per capita,4.68297058517826
2012,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,16.0229240015648
2012,Metallic minerals,"1,000 tonnes",Domestic material consumption,3.4374
2012,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.071456189585282
2012,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.244489491091433
2012,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,472.7322
2012,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,9.82709073900842
2012,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,33.6236850528113
2012,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,226.1572
2012,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,4.70132418667498
2012,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,16.0857213983428
2013,,"1,000 tonnes",Domestic material consumption,1090.1741
2013,,"1,000 tonnes",Domestic material consumption per capita,22.6753491758099
2013,,"1,000 tonnes",Domestic material consumption per unit of GDP,72.1563424562332
2013,Biomass,"1,000 tonnes",Domestic material consumption,342.8727
2013,Biomass,"1,000 tonnes",Domestic material consumption per capita,7.13166658000104
2013,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,22.6940265413509
2013,Metallic minerals,"1,000 tonnes",Domestic material consumption,4.9422
2013,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.102796526441683
2013,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.327113876294801
2013,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,444.5531
2013,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,9.24659352087775
2013,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,29.4240394479929
2013,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,276.7999
2013,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.75736883157402
2013,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,18.320806168713
2014,,"1,000 tonnes",Domestic material consumption,1468.9791
2014,,"1,000 tonnes",Domestic material consumption per capita,30.3768541207854
2014,,"1,000 tonnes",Domestic material consumption per unit of GDP,89.8194475016509
2014,Biomass,"1,000 tonnes",Domestic material consumption,365.4185
2014,Biomass,"1,000 tonnes",Domestic material consumption per capita,7.55644819421611
2014,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,22.3431958813315
2014,Metallic minerals,"1,000 tonnes",Domestic material consumption,6.0619
2014,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.12535335049681
2014,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.370649595225866
2014,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,786.0841
2014,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,16.2553449755472
2014,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,48.0644275686648
2014,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,289.6195
2014,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,5.98900917108678
2014,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,17.7085320517524
2015,,"1,000 tonnes",Domestic material consumption,1222.5278
2015,,"1,000 tonnes",Domestic material consumption per capita,25.0282070179749
2015,,"1,000 tonnes",Domestic material consumption per unit of GDP,70.5969740717214
2015,Biomass,"1,000 tonnes",Domestic material consumption,404.2025
2015,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.27503787413504
2015,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,23.3413697522666
2015,Metallic minerals,"1,000 tonnes",Domestic material consumption,2.0071
2015,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.041090365638947
2015,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.115903447479356
2015,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,463.2476
2015,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,9.48383900421734
2015,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,26.7510307790033
2015,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,331.4725
2015,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.78607255455923
2015,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,19.1414505976786
2016,,"1,000 tonnes",Domestic material consumption,1356.829
2016,,"1,000 tonnes",Domestic material consumption per capita,27.4428421180373
2016,,"1,000 tonnes",Domestic material consumption per unit of GDP,71.645087706329
2016,Biomass,"1,000 tonnes",Domestic material consumption,304.8517
2016,Biomass,"1,000 tonnes",Domestic material consumption per capita,6.16584482828365
2016,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,16.0971845265125
2016,Metallic minerals,"1,000 tonnes",Domestic material consumption,18.6788
2016,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.377792160511306
2016,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,0.986302816529554
2016,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,675.0588
2016,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,13.6535496136888
2016,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,35.6453517229726
2016,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,332.6766
2016,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.72862343756321
2016,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,17.5664318678649
2017,,"1,000 tonnes",Domestic material consumption,1617.5489
2017,,"1,000 tonnes",Domestic material consumption per capita,32.2722337496509
2017,,"1,000 tonnes",Domestic material consumption per unit of GDP,82.205056665142
2017,Biomass,"1,000 tonnes",Domestic material consumption,442.697
2017,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.83238897091098
2017,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,22.4981958631905
2017,Metallic minerals,"1,000 tonnes",Domestic material consumption,46.6164
2017,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.93005865687722
2017,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,2.3690806525385
2017,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,757.3569
2017,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,15.1102689437772
2017,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,38.4894496112212
2017,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,343.8069
2017,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.85940106141016
2017,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,17.4725262997408
2018,,"1,000 tonnes",Domestic material consumption,1579.5591
2018,,"1,000 tonnes",Domestic material consumption per capita,31.0579175555708
2018,,"1,000 tonnes",Domestic material consumption per unit of GDP,78.4492073425115
2018,Biomass,"1,000 tonnes",Domestic material consumption,408.9791
2018,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.04150928556682
2018,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,20.312051771063
2018,Metallic minerals,"1,000 tonnes",Domestic material consumption,47.2689
2018,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.929419860986856
2018,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,2.34762202753442
2018,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,764.7759
2018,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,15.0373270937995
2018,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,37.98279098873591
2018,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,332.4918
2018,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.53758565431541
2018,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,16.513290422552
2019,,"1,000 tonnes",Domestic material consumption,1610.1241
2019,,"1,000 tonnes",Domestic material consumption per capita,31.1619833751052
2019,,"1,000 tonnes",Domestic material consumption per unit of GDP,73.9087412154067
2019,Biomass,"1,000 tonnes",Domestic material consumption,370.127
2019,Biomass,"1,000 tonnes",Domestic material consumption per capita,7.16335555792102
2019,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,16.9897591495182
2019,Metallic minerals,"1,000 tonnes",Domestic material consumption,26.1614
2019,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.506321911379054
2019,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,1.20087398383314
2019,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,872.5635
2019,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,16.887399723241
2019,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,40.05285674284951
2019,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,313.7954
2019,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.07312631242803
2019,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,14.4039971907662
2020,,"1,000 tonnes",Domestic material consumption,1888.3776
2020,,"1,000 tonnes",Domestic material consumption per capita,35.9951507757996
2020,,"1,000 tonnes",Domestic material consumption per unit of GDP,88.4867296446244
2020,Biomass,"1,000 tonnes",Domestic material consumption,421.429
2020,Biomass,"1,000 tonnes",Domestic material consumption per capita,8.03303343372346
2020,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,19.7475727245464
2020,Metallic minerals,"1,000 tonnes",Domestic material consumption,25.0863
2020,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.478180397239907
2020,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,1.17550888439046
2020,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,1041.9785
2020,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,19.8615855285731
2020,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,48.82565320887689
2020,Fossil energy and other products,"1,000 tonnes",Domestic material consumption,364.1338
2020,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per capita,6.94090579848271
2020,Fossil energy and other products,"1,000 tonnes",Domestic material consumption per unit of GDP,17.0627998950367
2021,,"1,000 tonnes",Domestic material consumption,1550.9498
2021,,"1,000 tonnes",Domestic material consumption per capita,29.162510576688
2021,,"1,000 tonnes",Domestic material consumption per unit of GDP,67.49187547324169
2021,Biomass,"1,000 tonnes",Domestic material consumption,290.1031
2021,Biomass,"1,000 tonnes",Domestic material consumption per capita,5.45480886749525
2021,Biomass,"1,000 tonnes",Domestic material consumption per unit of GDP,12.6242656594052
2021,Metallic minerals,"1,000 tonnes",Domestic material consumption,25.7392
2021,Metallic minerals,"1,000 tonnes",Domestic material consumption per capita,0.483974202282684
2021,Metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,1.12007937405896
2021,Non-metallic minerals,"1,000 tonnes",Domestic material consumption,858.1643
2021,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per capita,16.1360641558393
2021,Non-metallic minerals,"1,000 tonnes",Domestic material consumption per unit of GDP,37.3442893323702
