Year,Series,Units,Party/Municipality,Value
1998,Parliament,data.foseats-number,Independence Party,2.0
1998,Parliament,data.fowomenseats-proportion,Republican Party,12.5
1998,Parliament,data.fowomenseats-number,Republican Party,1.0
1998,Parliament,data.foseats-number,Republican Party,8.0
1998,Parliament,data.fowomenseats-proportion,Workers´ Movement,
1998,Parliament,data.fowomenseats-number,Workers´ Movement,
1998,Parliament,data.foseats-number,Workers´ Movement,
2002,Parliament,data.fowomenseats-proportion,All parties,12.5
2002,Parliament,data.fowomenseats-number,All parties,4.0
2002,Parliament,data.foseats-number,All parties,32.0
2002,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
2002,Parliament,data.fowomenseats-number,Conservative Party,0.0
2002,Parliament,data.foseats-number,Conservative Party,7.0
2002,Parliament,data.fowomenseats-proportion,The Progress Party,
2002,Parliament,data.fowomenseats-number,The Progress Party,
2002,Parliament,data.foseats-number,The Progress Party,
2002,Parliament,data.fowomenseats-proportion,Progress,
2002,Parliament,data.fowomenseats-number,Progress,
2002,Parliament,data.foseats-number,Progress,
2002,Parliament,data.fowomenseats-proportion,Social Democratic Party,14.3
2002,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
2002,Parliament,data.foseats-number,Social Democratic Party,7.0
2002,Parliament,data.fowomenseats-proportion,Christian Party,
2002,Parliament,data.fowomenseats-number,Christian Party,
2002,Parliament,data.foseats-number,Christian Party,
2002,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2002,Parliament,data.fowomenseats-number,The Centre Party,0.0
2002,Parliament,data.foseats-number,The Centre Party,1.0
2002,Parliament,data.fowomenseats-proportion,Unionist Party,12.5
2002,Parliament,data.fowomenseats-number,Unionist Party,1.0
2002,Parliament,data.foseats-number,Unionist Party,8.0
2002,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2002,Parliament,data.fowomenseats-number,Independence Party,0.0
2002,Parliament,data.foseats-number,Independence Party,1.0
2002,Parliament,data.fowomenseats-proportion,Republican Party,25.0
2002,Parliament,data.fowomenseats-number,Republican Party,2.0
2002,Parliament,data.foseats-number,Republican Party,8.0
2002,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2002,Parliament,data.fowomenseats-number,Workers´ Movement,
2002,Parliament,data.foseats-number,Workers´ Movement,
2004,Parliament,data.fowomenseats-proportion,All parties,9.4
2004,Parliament,data.fowomenseats-number,All parties,3.0
2004,Parliament,data.foseats-number,All parties,32.0
2004,Parliament,data.fowomenseats-proportion,Conservative Party,0.0
2004,Parliament,data.fowomenseats-number,Conservative Party,0.0
2004,Parliament,data.foseats-number,Conservative Party,7.0
2004,Parliament,data.fowomenseats-proportion,The Progress Party,
2004,Parliament,data.fowomenseats-number,The Progress Party,
2004,Parliament,data.foseats-number,The Progress Party,
2004,Parliament,data.fowomenseats-proportion,Progress,
2004,Parliament,data.fowomenseats-number,Progress,
2004,Parliament,data.foseats-number,Progress,
2004,Parliament,data.fowomenseats-proportion,Social Democratic Party,0.0
2004,Parliament,data.fowomenseats-number,Social Democratic Party,0.0
2004,Parliament,data.foseats-number,Social Democratic Party,7.0
2004,Parliament,data.fowomenseats-proportion,Christian Party,
2004,Parliament,data.fowomenseats-number,Christian Party,
2004,Parliament,data.foseats-number,Christian Party,
2004,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2004,Parliament,data.fowomenseats-number,The Centre Party,0.0
2004,Parliament,data.foseats-number,The Centre Party,2.0
2004,Parliament,data.fowomenseats-proportion,Unionist Party,14.3
2004,Parliament,data.fowomenseats-number,Unionist Party,1.0
2004,Parliament,data.foseats-number,Unionist Party,7.0
2004,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2004,Parliament,data.fowomenseats-number,Independence Party,0.0
2004,Parliament,data.foseats-number,Independence Party,1.0
2004,Parliament,data.fowomenseats-proportion,Republican Party,25.0
2004,Parliament,data.fowomenseats-number,Republican Party,2.0
2004,Parliament,data.foseats-number,Republican Party,8.0
2004,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2004,Parliament,data.fowomenseats-number,Workers´ Movement,
2004,Parliament,data.foseats-number,Workers´ Movement,
2008,Parliament,data.fowomenseats-proportion,All parties,21.2
2008,Parliament,data.fowomenseats-number,All parties,7.0
2008,Parliament,data.foseats-number,All parties,33.0
2008,Parliament,data.fowomenseats-proportion,Conservative Party,14.3
2008,Parliament,data.fowomenseats-number,Conservative Party,1.0
2008,Parliament,data.foseats-number,Conservative Party,7.0
2008,Parliament,data.fowomenseats-proportion,The Progress Party,
2008,Parliament,data.fowomenseats-number,The Progress Party,
2008,Parliament,data.foseats-number,The Progress Party,
2008,Parliament,data.fowomenseats-proportion,Progress,
2008,Parliament,data.fowomenseats-number,Progress,
2008,Parliament,data.foseats-number,Progress,
2008,Parliament,data.fowomenseats-proportion,Social Democratic Party,33.3
2008,Parliament,data.fowomenseats-number,Social Democratic Party,2.0
2008,Parliament,data.foseats-number,Social Democratic Party,6.0
2008,Parliament,data.fowomenseats-proportion,Christian Party,
2008,Parliament,data.fowomenseats-number,Christian Party,
2008,Parliament,data.foseats-number,Christian Party,
2008,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2008,Parliament,data.fowomenseats-number,The Centre Party,0.0
2008,Parliament,data.foseats-number,The Centre Party,3.0
2008,Parliament,data.fowomenseats-proportion,Unionist Party,14.3
2008,Parliament,data.fowomenseats-number,Unionist Party,1.0
2008,Parliament,data.foseats-number,Unionist Party,7.0
2008,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2008,Parliament,data.fowomenseats-number,Independence Party,0.0
2008,Parliament,data.foseats-number,Independence Party,2.0
2008,Parliament,data.fowomenseats-proportion,Republican Party,37.5
2008,Parliament,data.fowomenseats-number,Republican Party,3.0
2008,Parliament,data.foseats-number,Republican Party,8.0
2008,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2008,Parliament,data.fowomenseats-number,Workers´ Movement,
2008,Parliament,data.foseats-number,Workers´ Movement,
2011,Parliament,data.fowomenseats-proportion,All parties,30.3
2011,Parliament,data.fowomenseats-number,All parties,10.0
2011,Parliament,data.foseats-number,All parties,33.0
2011,Parliament,data.fowomenseats-proportion,Conservative Party,25.0
2011,Parliament,data.fowomenseats-number,Conservative Party,2.0
2011,Parliament,data.foseats-number,Conservative Party,8.0
2011,Parliament,data.fowomenseats-proportion,The Progress Party,
2011,Parliament,data.fowomenseats-number,The Progress Party,
2011,Parliament,data.foseats-number,The Progress Party,
2011,Parliament,data.fowomenseats-proportion,Progress,0.0
2011,Parliament,data.fowomenseats-number,Progress,0.0
2011,Parliament,data.foseats-number,Progress,2.0
2011,Parliament,data.fowomenseats-proportion,Social Democratic Party,33.3
2011,Parliament,data.fowomenseats-number,Social Democratic Party,2.0
2011,Parliament,data.foseats-number,Social Democratic Party,6.0
2011,Parliament,data.fowomenseats-proportion,Christian Party,
2011,Parliament,data.fowomenseats-number,Christian Party,
2011,Parliament,data.foseats-number,Christian Party,
2011,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2011,Parliament,data.fowomenseats-number,The Centre Party,0.0
2011,Parliament,data.foseats-number,The Centre Party,2.0
2011,Parliament,data.fowomenseats-proportion,Unionist Party,25.0
2011,Parliament,data.fowomenseats-number,Unionist Party,2.0
2011,Parliament,data.foseats-number,Unionist Party,8.0
2011,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2011,Parliament,data.fowomenseats-number,Independence Party,0.0
2011,Parliament,data.foseats-number,Independence Party,1.0
2011,Parliament,data.fowomenseats-proportion,Republican Party,66.7
2011,Parliament,data.fowomenseats-number,Republican Party,4.0
2011,Parliament,data.foseats-number,Republican Party,6.0
2011,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2011,Parliament,data.fowomenseats-number,Workers´ Movement,
2011,Parliament,data.foseats-number,Workers´ Movement,
2015,Parliament,data.fowomenseats-proportion,All parties,30.3
2015,Parliament,data.fowomenseats-number,All parties,10.0
2015,Parliament,data.foseats-number,All parties,33.0
2015,Parliament,data.fowomenseats-proportion,Conservative Party,33.3
2015,Parliament,data.fowomenseats-number,Conservative Party,2.0
2015,Parliament,data.foseats-number,Conservative Party,6.0
2015,Parliament,data.fowomenseats-proportion,The Progress Party,
2015,Parliament,data.fowomenseats-number,The Progress Party,
2015,Parliament,data.foseats-number,The Progress Party,
2015,Parliament,data.fowomenseats-proportion,Progress,50.0
2015,Parliament,data.fowomenseats-number,Progress,1.0
2015,Parliament,data.foseats-number,Progress,2.0
2015,Parliament,data.fowomenseats-proportion,Social Democratic Party,37.5
2015,Parliament,data.fowomenseats-number,Social Democratic Party,3.0
2015,Parliament,data.foseats-number,Social Democratic Party,8.0
2015,Parliament,data.fowomenseats-proportion,Christian Party,
2015,Parliament,data.fowomenseats-number,Christian Party,
2015,Parliament,data.foseats-number,Christian Party,
2015,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2015,Parliament,data.fowomenseats-number,The Centre Party,0.0
2015,Parliament,data.foseats-number,The Centre Party,2.0
2015,Parliament,data.fowomenseats-proportion,Unionist Party,0.0
2015,Parliament,data.fowomenseats-number,Unionist Party,0.0
2015,Parliament,data.foseats-number,Unionist Party,6.0
2015,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2015,Parliament,data.fowomenseats-number,Independence Party,0.0
2015,Parliament,data.foseats-number,Independence Party,2.0
2015,Parliament,data.fowomenseats-proportion,Republican Party,57.1
2015,Parliament,data.fowomenseats-number,Republican Party,4.0
2015,Parliament,data.foseats-number,Republican Party,7.0
2015,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2015,Parliament,data.fowomenseats-number,Workers´ Movement,
2015,Parliament,data.foseats-number,Workers´ Movement,
2019,Parliament,data.fowomenseats-proportion,All parties,24.2
2019,Parliament,data.fowomenseats-number,All parties,8.0
2019,Parliament,data.foseats-number,All parties,33.0
2019,Parliament,data.fowomenseats-proportion,Conservative Party,12.5
2019,Parliament,data.fowomenseats-number,Conservative Party,1.0
2019,Parliament,data.foseats-number,Conservative Party,8.0
2019,Parliament,data.fowomenseats-proportion,The Progress Party,
2019,Parliament,data.fowomenseats-number,The Progress Party,
2019,Parliament,data.foseats-number,The Progress Party,
2019,Parliament,data.fowomenseats-proportion,Progress,0.0
2019,Parliament,data.fowomenseats-number,Progress,0.0
2019,Parliament,data.foseats-number,Progress,2.0
2019,Parliament,data.fowomenseats-proportion,Social Democratic Party,14.3
2019,Parliament,data.fowomenseats-number,Social Democratic Party,1.0
2019,Parliament,data.foseats-number,Social Democratic Party,7.0
2019,Parliament,data.fowomenseats-proportion,Christian Party,
2019,Parliament,data.fowomenseats-number,Christian Party,
2019,Parliament,data.foseats-number,Christian Party,
2019,Parliament,data.fowomenseats-proportion,The Centre Party,0.0
2019,Parliament,data.fowomenseats-number,The Centre Party,0.0
2019,Parliament,data.foseats-number,The Centre Party,2.0
2019,Parliament,data.fowomenseats-proportion,Unionist Party,14.3
2019,Parliament,data.fowomenseats-number,Unionist Party,1.0
2019,Parliament,data.foseats-number,Unionist Party,7.0
2019,Parliament,data.fowomenseats-proportion,Independence Party,0.0
2019,Parliament,data.fowomenseats-number,Independence Party,0.0
2019,Parliament,data.foseats-number,Independence Party,1.0
2019,Parliament,data.fowomenseats-proportion,Republican Party,83.3
2019,Parliament,data.fowomenseats-number,Republican Party,5.0
2019,Parliament,data.foseats-number,Republican Party,6.0
2019,Parliament,data.fowomenseats-proportion,Workers´ Movement,
2019,Parliament,data.fowomenseats-number,Workers´ Movement,
2019,Parliament,data.foseats-number,Workers´ Movement,
1996,Local governments,data.fowomenseats-proportion,All municipalities,16.5
1996,Local governments,data.fowomenseats-proportion,Bíggjar municipality,33.3
1996,Local governments,data.fowomenseats-proportion,Eiðis municipality,14.3
1996,Local governments,data.fowomenseats-proportion,Elduvíkar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Eysturmunicipality,
1996,Local governments,data.fowomenseats-proportion,Fámjins municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Fuglafjarðar municipality,11.1
1996,Local governments,data.fowomenseats-proportion,Fugloyar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Funnings municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Gjáar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Gøtu municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Haldórsvíkar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Hests municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Hósvíkar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Hovs municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Húsa municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Húsavíkar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Hvalbiar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Hvalvíkar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Hvannasunds municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Kirkjubøar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Klaksvíkar municipality,18.2
1996,Local governments,data.fowomenseats-proportion,Kunoyar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Kvívíkar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Leirvíkar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Miðvágs municipality,57.1
1996,Local governments,data.fowomenseats-proportion,Mikladals municipality,40.0
1996,Local governments,data.fowomenseats-proportion,Mykines municipality,33.3
1996,Local governments,data.fowomenseats-proportion,Nes municipality,28.6
1996,Local governments,data.fowomenseats-proportion,Nólsoyar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Oyndarfjarðar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Porkeris municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Runavíkar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Saksunar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Sandavágs municipality,14.3
1996,Local governments,data.fowomenseats-proportion,Sands municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Sjóvar municipality,20.0
1996,Local governments,data.fowomenseats-proportion,Skála municipality,40.0
1996,Local governments,data.fowomenseats-proportion,Skálavíkar municipality,40.0
1996,Local governments,data.fowomenseats-proportion,Skopunar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Skúgvoyar municipality,33.3
1996,Local governments,data.fowomenseats-proportion,Sørvágs municipality,14.3
1996,Local governments,data.fowomenseats-proportion,Sumbiar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Sunda municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Svínoyar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Tórshavnar municipality,23.1
1996,Local governments,data.fowomenseats-proportion,Tvøroyrar municipality,0.0
1996,Local governments,data.fowomenseats-proportion,Vága municipality,
1996,Local governments,data.fowomenseats-proportion,Vágs municipality,22.2
1996,Local governments,data.fowomenseats-proportion,Vestmanna municipality,57.1
1996,Local governments,data.fowomenseats-proportion,Viðareiðis municipality,40.0
1996,Local governments,data.fowomenseats-number,All municipalities,45.0
1996,Local governments,data.fowomenseats-number,Bíggjar municipality,1.0
1996,Local governments,data.fowomenseats-number,Eiðis municipality,1.0
1996,Local governments,data.fowomenseats-number,Elduvíkar municipality,1.0
1996,Local governments,data.fowomenseats-number,Eysturmunicipality,
1996,Local governments,data.fowomenseats-number,Fámjins municipality,1.0
1996,Local governments,data.fowomenseats-number,Fuglafjarðar municipality,1.0
1996,Local governments,data.fowomenseats-number,Fugloyar municipality,0.0
1996,Local governments,data.fowomenseats-number,Funnings municipality,0.0
1996,Local governments,data.fowomenseats-number,Gjáar municipality,0.0
1996,Local governments,data.fowomenseats-number,Gøtu municipality,0.0
1996,Local governments,data.fowomenseats-number,Haldórsvíkar municipality,0.0
1996,Local governments,data.fowomenseats-number,Hests municipality,0.0
1996,Local governments,data.fowomenseats-number,Hósvíkar municipality,1.0
1996,Local governments,data.fowomenseats-number,Hovs municipality,1.0
1996,Local governments,data.fowomenseats-number,Húsa municipality,1.0
1996,Local governments,data.fowomenseats-number,Húsavíkar municipality,1.0
1996,Local governments,data.fowomenseats-number,Hvalbiar municipality,0.0
1996,Local governments,data.fowomenseats-number,Hvalvíkar municipality,1.0
1996,Local governments,data.fowomenseats-number,Hvannasunds municipality,0.0
1996,Local governments,data.fowomenseats-number,Kirkjubøar municipality,1.0
1996,Local governments,data.fowomenseats-number,Klaksvíkar municipality,2.0
1996,Local governments,data.fowomenseats-number,Kunoyar municipality,1.0
1996,Local governments,data.fowomenseats-number,Kvívíkar municipality,1.0
1996,Local governments,data.fowomenseats-number,Leirvíkar municipality,0.0
1996,Local governments,data.fowomenseats-number,Miðvágs municipality,4.0
1996,Local governments,data.fowomenseats-number,Mikladals municipality,2.0
1996,Local governments,data.fowomenseats-number,Mykines municipality,1.0
1996,Local governments,data.fowomenseats-number,Nes municipality,2.0
1996,Local governments,data.fowomenseats-number,Nólsoyar municipality,0.0
1996,Local governments,data.fowomenseats-number,Oyndarfjarðar municipality,0.0
1996,Local governments,data.fowomenseats-number,Porkeris municipality,1.0
1996,Local governments,data.fowomenseats-number,Runavíkar municipality,0.0
1996,Local governments,data.fowomenseats-number,Saksunar municipality,0.0
1996,Local governments,data.fowomenseats-number,Sandavágs municipality,1.0
1996,Local governments,data.fowomenseats-number,Sands municipality,1.0
1996,Local governments,data.fowomenseats-number,Sjóvar municipality,1.0
1996,Local governments,data.fowomenseats-number,Skála municipality,2.0
1996,Local governments,data.fowomenseats-number,Skálavíkar municipality,2.0
1996,Local governments,data.fowomenseats-number,Skopunar municipality,0.0
1996,Local governments,data.fowomenseats-number,Skúgvoyar municipality,1.0
1996,Local governments,data.fowomenseats-number,Sørvágs municipality,1.0
1996,Local governments,data.fowomenseats-number,Sumbiar municipality,0.0
1996,Local governments,data.fowomenseats-number,Sunda municipality,0.0
1996,Local governments,data.fowomenseats-number,Svínoyar municipality,0.0
1996,Local governments,data.fowomenseats-number,Tórshavnar municipality,3.0
1996,Local governments,data.fowomenseats-number,Tvøroyrar municipality,0.0
1996,Local governments,data.fowomenseats-number,Vága municipality,
1996,Local governments,data.fowomenseats-number,Vágs municipality,2.0
1996,Local governments,data.fowomenseats-number,Vestmanna municipality,4.0
1996,Local governments,data.fowomenseats-number,Viðareiðis municipality,2.0
1996,Local governments,data.foseats-number,All municipalities,272.0
1996,Local governments,data.foseats-number,Bíggjar municipality,3.0
1996,Local governments,data.foseats-number,Eiðis municipality,7.0
1996,Local governments,data.foseats-number,Elduvíkar municipality,5.0
1996,Local governments,data.foseats-number,Eysturmunicipality,
1996,Local governments,data.foseats-number,Fámjins municipality,5.0
1996,Local governments,data.foseats-number,Fuglafjarðar municipality,9.0
1996,Local governments,data.foseats-number,Fugloyar municipality,5.0
1996,Local governments,data.foseats-number,Funnings municipality,5.0
