Year,Measure,Type of product,Value
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.70643
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,8.0242
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.48906
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.17185
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.46877
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.22964
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.61532
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.01586
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.33886
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.91534
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.77731
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.77933
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.60596
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.1584
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.46554
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.50533
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.37054
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.33854
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.32544
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.91215
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.50824
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.62437
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.34706
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.14938
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.45716
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.40118
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.21558
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.23448
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.3189
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.90378
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.5094
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.47497
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.35061
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.17244
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.45742
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.40286
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.06618
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.23841
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.34489
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.90643
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.51769
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.49128
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.35744
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.07361
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.51423
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.41033
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.08249
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.2445
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.24606
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.96325
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.74558
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.29789
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.58463
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.0693
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.51602
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.43505
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,6.8891
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,2.27181
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.24607
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.96318
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.41307
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.24525
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.27166
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,11.98973
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.43054
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.0646
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,6.83645
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,1.86034
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.16649
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.8777
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.41989
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.56616
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.2733
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.06622
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Textiles,7.51606
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",Total,2.07275
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",Agricultural products,7.15737
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",Industrial products,1.86302
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",Clothing,8.23867
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)",Textiles,3.96319
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Total,3.42533
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Agricultural products,7.86063
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Industrial products,3.27275
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)",Clothing,12.06698
