Year,Units,material type,Value
2000,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.12
2000,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,10.88
2000,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.98
2000,"Domestic material consumption per unit of GDP (1,000 tonnes)",,134.64
2000,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,49.91
2000,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.64
2000,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,57.66
2000,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,26.42
2000,,,
2000,,Biomass,
2000,,Metallic minerals,
2000,,Non-metallic minerals,
2000,,Fossil energy and other products,
2001,"Domestic material consumption (1,000 tonnes)",,1209.51
2001,"Domestic material consumption (1,000 tonnes)",Biomass,478.68
2001,"Domestic material consumption (1,000 tonnes)",Metallic minerals,7.19
2001,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,467.52
2001,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,256.11
2001,"Domestic material consumption per capita (1,000 tonnes)",,25.99
2001,"Domestic material consumption per capita (1,000 tonnes)",Biomass,10.29
2001,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.15
2001,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,10.05
2001,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,5.5
2001,"Domestic material consumption per unit of GDP (1,000 tonnes)",,125.25
2001,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,49.57
2001,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.74
2001,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,48.41
2001,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,26.52
2001,,,
2001,,Biomass,
2001,,Metallic minerals,
2001,,Non-metallic minerals,
2001,,Fossil energy and other products,
2002,"Domestic material consumption (1,000 tonnes)",,1162.68
2002,"Domestic material consumption (1,000 tonnes)",Biomass,467.88
2002,"Domestic material consumption (1,000 tonnes)",Metallic minerals,5.32
2002,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,456.56
2002,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,232.93
2002,"Domestic material consumption per capita (1,000 tonnes)",,24.58
2002,"Domestic material consumption per capita (1,000 tonnes)",Biomass,9.89
2002,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.11
2002,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,9.65
2002,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.93
2002,"Domestic material consumption per unit of GDP (1,000 tonnes)",,115.5
2002,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,46.48
2002,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.53
2002,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,45.35
2002,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,23.14
2002,,,
2002,,Biomass,
2002,,Metallic minerals,
2002,,Non-metallic minerals,
2002,,Fossil energy and other products,
2003,"Domestic material consumption (1,000 tonnes)",,1224.66
2003,"Domestic material consumption (1,000 tonnes)",Biomass,565.84
2003,"Domestic material consumption (1,000 tonnes)",Metallic minerals,5.08
2003,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,424.24
2003,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,229.5
2003,"Domestic material consumption per capita (1,000 tonnes)",,25.57
2003,"Domestic material consumption per capita (1,000 tonnes)",Biomass,11.81
2003,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.11
2003,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,8.86
2003,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.79
2003,"Domestic material consumption per unit of GDP (1,000 tonnes)",,123.77
2003,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,57.19
2003,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.51
2003,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,42.88
2003,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,23.19
2003,,,
2003,,Biomass,
2003,,Metallic minerals,
2003,,Non-metallic minerals,
2003,,Fossil energy and other products,
2004,"Domestic material consumption (1,000 tonnes)",,1180.28
2004,"Domestic material consumption (1,000 tonnes)",Biomass,536.07
2004,"Domestic material consumption (1,000 tonnes)",Metallic minerals,6.69
2004,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,409.04
2004,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,228.48
2004,"Domestic material consumption per capita (1,000 tonnes)",,24.48
2004,"Domestic material consumption per capita (1,000 tonnes)",Biomass,11.12
2004,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.14
2004,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,8.48
2004,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.74
2004,"Domestic material consumption per unit of GDP (1,000 tonnes)",,114.22
2004,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,51.88
2004,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.65
2004,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,39.59
2004,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,22.11
2004,,,
2004,,Biomass,
2004,,Metallic minerals,
2004,,Non-metallic minerals,
2004,,Fossil energy and other products,
2005,"Domestic material consumption (1,000 tonnes)",,1237.51
2005,"Domestic material consumption (1,000 tonnes)",Biomass,475.05
2005,"Domestic material consumption (1,000 tonnes)",Metallic minerals,4.09
2005,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,533.06
2005,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,225.32
2005,"Domestic material consumption per capita (1,000 tonnes)",,25.67
2005,"Domestic material consumption per capita (1,000 tonnes)",Biomass,9.85
2005,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.08
2005,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,11.06
2005,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.67
2005,"Domestic material consumption per unit of GDP (1,000 tonnes)",,117.27
2005,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,45.02
2005,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.39
2005,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,50.51
2005,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,21.35
2005,,,
2005,,Biomass,
2005,,Metallic minerals,
2005,,Non-metallic minerals,
2005,,Fossil energy and other products,
2006,"Domestic material consumption (1,000 tonnes)",,1407.43
2006,"Domestic material consumption (1,000 tonnes)",Biomass,547.21
2006,"Domestic material consumption (1,000 tonnes)",Metallic minerals,2.54
2006,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,621.2
2006,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,236.47
2006,"Domestic material consumption per capita (1,000 tonnes)",,29.21
2006,"Domestic material consumption per capita (1,000 tonnes)",Biomass,11.36
2006,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.05
2006,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,12.89
2006,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.91
2006,"Domestic material consumption per unit of GDP (1,000 tonnes)",,117.3
2006,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,45.61
2006,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.21
2006,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,51.77
2006,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,19.71
2006,,,
2006,,Biomass,
2006,,Metallic minerals,
2006,,Non-metallic minerals,
2006,,Fossil energy and other products,
2007,"Domestic material consumption (1,000 tonnes)",,1662.55
2007,"Domestic material consumption (1,000 tonnes)",Biomass,510.96
2007,"Domestic material consumption (1,000 tonnes)",Metallic minerals,2.47
2007,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,894.19
2007,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,254.93
2007,"Domestic material consumption per capita (1,000 tonnes)",,34.43
2007,"Domestic material consumption per capita (1,000 tonnes)",Biomass,10.58
2007,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.05
2007,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,18.52
2007,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,5.28
2007,"Domestic material consumption per unit of GDP (1,000 tonnes)",,130.57
2007,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,40.13
2007,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.19
2007,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,70.23
2007,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,20.02
2007,,,
2007,,Biomass,
2007,,Metallic minerals,
2007,,Non-metallic minerals,
2007,,Fossil energy and other products,
2008,"Domestic material consumption (1,000 tonnes)",,1561.2
2008,"Domestic material consumption (1,000 tonnes)",Biomass,456.17
2008,"Domestic material consumption (1,000 tonnes)",Metallic minerals,0.09
2008,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,891.26
2008,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,213.68
2008,"Domestic material consumption per capita (1,000 tonnes)",,32.22
2008,"Domestic material consumption per capita (1,000 tonnes)",Biomass,9.41
2008,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.0
2008,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,18.39
2008,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.41
2008,"Domestic material consumption per unit of GDP (1,000 tonnes)",,122.99
2008,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,35.94
2008,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.01
2008,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,70.21
2008,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,16.83
2008,,,113.27
2008,,Biomass,33.1
2008,,Metallic minerals,0.01
2008,,Non-metallic minerals,64.66
2008,,Fossil energy and other products,15.5
2009,"Domestic material consumption (1,000 tonnes)",,926.84
2009,"Domestic material consumption (1,000 tonnes)",Biomass,298.35
2009,"Domestic material consumption (1,000 tonnes)",Metallic minerals,-1.59
2009,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,402.95
2009,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,227.13
2009,"Domestic material consumption per capita (1,000 tonnes)",,19.09
2009,"Domestic material consumption per capita (1,000 tonnes)",Biomass,6.15
2009,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,-0.03
2009,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,8.3
2009,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.68
2009,"Domestic material consumption per unit of GDP (1,000 tonnes)",,75.3
2009,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,24.24
2009,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,-0.13
2009,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,32.74
2009,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,18.45
2009,,,70.27
2009,,Biomass,22.62
2009,,Metallic minerals,-0.12
2009,,Non-metallic minerals,30.55
2009,,Fossil energy and other products,17.22
2010,"Domestic material consumption (1,000 tonnes)",,831.08
2010,"Domestic material consumption (1,000 tonnes)",Biomass,343.99
2010,"Domestic material consumption (1,000 tonnes)",Metallic minerals,-3.2
2010,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,262.13
2010,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,228.16
2010,"Domestic material consumption per capita (1,000 tonnes)",,17.15
2010,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.1
2010,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,-0.07
2010,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,5.41
2010,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.71
2010,"Domestic material consumption per unit of GDP (1,000 tonnes)",,63.37
2010,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,26.23
2010,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,-0.24
2010,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,19.99
2010,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,17.4
2010,,,63.37
2010,,Biomass,26.23
2010,,Metallic minerals,-0.24
2010,,Non-metallic minerals,19.99
2010,,Fossil energy and other products,17.4
2011,"Domestic material consumption (1,000 tonnes)",,935.44
2011,"Domestic material consumption (1,000 tonnes)",Biomass,359.57
2011,"Domestic material consumption (1,000 tonnes)",Metallic minerals,1.04
2011,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,366.4
2011,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,208.43
2011,"Domestic material consumption per capita (1,000 tonnes)",,19.37
2011,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.44
2011,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.02
2011,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,7.59
2011,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,4.32
2011,"Domestic material consumption per unit of GDP (1,000 tonnes)",,69.54
2011,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,26.73
2011,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.08
2011,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,27.24
2011,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,15.49
2011,,,68.78
2011,,Biomass,26.44
2011,,Metallic minerals,0.08
2011,,Non-metallic minerals,26.94
2011,,Fossil energy and other products,15.33
2012,"Domestic material consumption (1,000 tonnes)",,943.66
2012,"Domestic material consumption (1,000 tonnes)",Biomass,225.28
2012,"Domestic material consumption (1,000 tonnes)",Metallic minerals,3.44
2012,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,472.73
2012,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,242.21
2012,"Domestic material consumption per capita (1,000 tonnes)",,19.62
2012,"Domestic material consumption per capita (1,000 tonnes)",Biomass,4.68
2012,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.07
2012,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,9.83
2012,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,5.04
2012,"Domestic material consumption per unit of GDP (1,000 tonnes)",,67.12
2012,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,16.02
2012,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.24
2012,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,33.62
2012,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,17.23
2012,,,64.84
2012,,Biomass,15.48
2012,,Metallic minerals,0.24
2012,,Non-metallic minerals,32.48
2012,,Fossil energy and other products,16.64
2013,"Domestic material consumption (1,000 tonnes)",,1090.18
2013,"Domestic material consumption (1,000 tonnes)",Biomass,342.88
2013,"Domestic material consumption (1,000 tonnes)",Metallic minerals,4.94
2013,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,444.55
2013,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,297.81
2013,"Domestic material consumption per capita (1,000 tonnes)",,22.68
2013,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.13
2013,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.1
2013,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,9.25
2013,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,6.19
2013,"Domestic material consumption per unit of GDP (1,000 tonnes)",,72.16
2013,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,22.69
2013,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.33
2013,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,29.42
2013,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,19.71
2013,,,70.76
2013,,Biomass,22.25
2013,,Metallic minerals,0.32
2013,,Non-metallic minerals,28.85
2013,,Fossil energy and other products,19.33
2014,"Domestic material consumption (1,000 tonnes)",,1468.98
2014,"Domestic material consumption (1,000 tonnes)",Biomass,365.42
2014,"Domestic material consumption (1,000 tonnes)",Metallic minerals,6.06
2014,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,786.08
2014,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,311.41
2014,"Domestic material consumption per capita (1,000 tonnes)",,30.38
2014,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.56
2014,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.13
2014,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,16.26
2014,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,6.44
2014,"Domestic material consumption per unit of GDP (1,000 tonnes)",,89.82
2014,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,22.34
2014,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.37
2014,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,48.06
2014,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,19.04
2014,,,90.43
2014,,Biomass,22.5
2014,,Metallic minerals,0.37
2014,,Non-metallic minerals,48.39
2014,,Fossil energy and other products,19.17
2015,"Domestic material consumption (1,000 tonnes)",,1222.53
2015,"Domestic material consumption (1,000 tonnes)",Biomass,404.2
2015,"Domestic material consumption (1,000 tonnes)",Metallic minerals,2.01
2015,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,463.25
2015,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,353.07
2015,"Domestic material consumption per capita (1,000 tonnes)",,25.03
2015,"Domestic material consumption per capita (1,000 tonnes)",Biomass,8.28
2015,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.04
2015,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,9.48
2015,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,7.23
2015,"Domestic material consumption per unit of GDP (1,000 tonnes)",,70.6
2015,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,23.34
2015,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.12
2015,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,26.75
2015,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,20.39
2015,,,74.53
2015,,Biomass,24.64
2015,,Metallic minerals,0.12
2015,,Non-metallic minerals,28.24
2015,,Fossil energy and other products,21.53
2016,"Domestic material consumption (1,000 tonnes)",,1356.83
2016,"Domestic material consumption (1,000 tonnes)",Biomass,304.85
2016,"Domestic material consumption (1,000 tonnes)",Metallic minerals,18.68
2016,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,675.06
2016,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,358.24
2016,"Domestic material consumption per capita (1,000 tonnes)",,27.44
2016,"Domestic material consumption per capita (1,000 tonnes)",Biomass,6.17
2016,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.38
2016,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,13.65
2016,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,7.25
2016,"Domestic material consumption per unit of GDP (1,000 tonnes)",,71.65
2016,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,16.1
2016,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,0.99
2016,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,35.65
2016,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,18.92
2016,,,81.52
2016,,Biomass,18.32
2016,,Metallic minerals,1.12
2016,,Non-metallic minerals,40.56
2016,,Fossil energy and other products,21.52
2017,"Domestic material consumption (1,000 tonnes)",,1617.55
2017,"Domestic material consumption (1,000 tonnes)",Biomass,442.7
2017,"Domestic material consumption (1,000 tonnes)",Metallic minerals,46.62
2017,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,757.36
2017,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,370.88
2017,"Domestic material consumption per capita (1,000 tonnes)",,32.27
2017,"Domestic material consumption per capita (1,000 tonnes)",Biomass,8.83
2017,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.93
2017,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,15.11
2017,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,7.4
2017,"Domestic material consumption per unit of GDP (1,000 tonnes)",,82.21
2017,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,22.5
2017,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,2.37
2017,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,38.49
2017,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,18.85
2017,,,93.89
2017,,Biomass,25.7
2017,,Metallic minerals,2.71
2017,,Non-metallic minerals,43.96
2017,,Fossil energy and other products,21.53
2018,"Domestic material consumption (1,000 tonnes)",,1579.56
2018,"Domestic material consumption (1,000 tonnes)",Biomass,408.98
2018,"Domestic material consumption (1,000 tonnes)",Metallic minerals,47.27
2018,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,764.78
2018,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,358.54
2018,"Domestic material consumption per capita (1,000 tonnes)",,31.05
2018,"Domestic material consumption per capita (1,000 tonnes)",Biomass,8.04
2018,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.93
2018,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,15.04
2018,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,7.05
2018,"Domestic material consumption per unit of GDP (1,000 tonnes)",,78.45
2018,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,20.31
2018,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,2.35
2018,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,37.98
2018,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,17.81
2018,,,89.25
2018,,Biomass,23.11
2018,,Metallic minerals,2.67
2018,,Non-metallic minerals,43.21
2018,,Fossil energy and other products,20.26
2019,"Domestic material consumption (1,000 tonnes)",,1614.53
2019,"Domestic material consumption (1,000 tonnes)",Biomass,374.53
2019,"Domestic material consumption (1,000 tonnes)",Metallic minerals,26.16
2019,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,872.56
2019,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,341.27
2019,"Domestic material consumption per capita (1,000 tonnes)",,31.24
2019,"Domestic material consumption per capita (1,000 tonnes)",Biomass,7.25
2019,"Domestic material consumption per capita (1,000 tonnes)",Metallic minerals,0.51
2019,"Domestic material consumption per capita (1,000 tonnes)",Non-metallic minerals,16.88
2019,"Domestic material consumption per capita (1,000 tonnes)",Fossil energy and other products,6.6
2019,"Domestic material consumption per unit of GDP (1,000 tonnes)",,73.9
2019,"Domestic material consumption per unit of GDP (1,000 tonnes)",Biomass,17.14
2019,"Domestic material consumption per unit of GDP (1,000 tonnes)",Metallic minerals,1.2
2019,"Domestic material consumption per unit of GDP (1,000 tonnes)",Non-metallic minerals,39.94
2019,"Domestic material consumption per unit of GDP (1,000 tonnes)",Fossil energy and other products,15.62
2019,,,86.92
2019,,Biomass,20.16
2019,,Metallic minerals,1.41
2019,,Non-metallic minerals,46.97
2019,,Fossil energy and other products,18.37
2020,"Domestic material consumption (1,000 tonnes)",,1857.88
2020,"Domestic material consumption (1,000 tonnes)",Biomass,415.56
2020,"Domestic material consumption (1,000 tonnes)",Metallic minerals,24.12
2020,"Domestic material consumption (1,000 tonnes)",Non-metallic minerals,1041.98
2020,"Domestic material consumption (1,000 tonnes)",Fossil energy and other products,376.23
2020,"Domestic material consumption per capita (1,000 tonnes)",,35.4
