Year,Series,party,unit,Value
2022,National parliament,Social Democratic Party,Seats held by women,3.0
2022,National parliament,Social Democratic Party,Number of seats,9.0
1988,National parliament,Christian Party,Proportion of seats held by women,0.0
1988,National parliament,Christian Party,Seats held by women,0.0
1988,National parliament,Christian Party,Number of seats,2.0
1990,National parliament,Christian Party,Proportion of seats held by women,0.0
1990,National parliament,Christian Party,Seats held by women,0.0
1990,National parliament,Christian Party,Number of seats,2.0
1994,National parliament,Christian Party,Proportion of seats held by women,0.0
1994,National parliament,Christian Party,Seats held by women,0.0
1994,National parliament,Christian Party,Number of seats,2.0
1994,National parliament,The Centre Party,Proportion of seats held by women,0.0
1994,National parliament,The Centre Party,Seats held by women,0.0
1994,National parliament,The Centre Party,Number of seats,2.0
1998,National parliament,The Centre Party,Proportion of seats held by women,0.0
1998,National parliament,The Centre Party,Seats held by women,0.0
1998,National parliament,The Centre Party,Number of seats,1.0
2002,National parliament,The Centre Party,Proportion of seats held by women,0.0
2002,National parliament,The Centre Party,Seats held by women,0.0
2002,National parliament,The Centre Party,Number of seats,1.0
2004,National parliament,The Centre Party,Proportion of seats held by women,0.0
2004,National parliament,The Centre Party,Seats held by women,0.0
2004,National parliament,The Centre Party,Number of seats,2.0
2008,National parliament,The Centre Party,Proportion of seats held by women,0.0
2008,National parliament,The Centre Party,Seats held by women,0.0
2008,National parliament,The Centre Party,Number of seats,3.0
2011,National parliament,The Centre Party,Proportion of seats held by women,0.0
2011,National parliament,The Centre Party,Seats held by women,0.0
2011,National parliament,The Centre Party,Number of seats,2.0
2015,National parliament,The Centre Party,Proportion of seats held by women,0.0
2015,National parliament,The Centre Party,Seats held by women,0.0
2015,National parliament,The Centre Party,Number of seats,2.0
2019,National parliament,The Centre Party,Proportion of seats held by women,0.0
2019,National parliament,The Centre Party,Seats held by women,0.0
2019,National parliament,The Centre Party,Number of seats,2.0
2022,National parliament,The Centre Party,Proportion of seats held by women,0.0
2022,National parliament,The Centre Party,Seats held by women,0.0
2022,National parliament,The Centre Party,Number of seats,2.0
1984,National parliament,Unionist Party,Proportion of seats held by women,0.0
1984,National parliament,Unionist Party,Seats held by women,0.0
1984,National parliament,Unionist Party,Number of seats,7.0
1988,National parliament,Unionist Party,Proportion of seats held by women,0.0
1988,National parliament,Unionist Party,Seats held by women,0.0
1988,National parliament,Unionist Party,Number of seats,7.0
1990,National parliament,Unionist Party,Proportion of seats held by women,16.7
1990,National parliament,Unionist Party,Seats held by women,1.0
1990,National parliament,Unionist Party,Number of seats,6.0
1994,National parliament,Unionist Party,Proportion of seats held by women,25.0
1994,National parliament,Unionist Party,Seats held by women,2.0
1994,National parliament,Unionist Party,Number of seats,8.0
1998,National parliament,Unionist Party,Proportion of seats held by women,16.7
1998,National parliament,Unionist Party,Seats held by women,1.0
1998,National parliament,Unionist Party,Number of seats,6.0
2002,National parliament,Unionist Party,Proportion of seats held by women,12.5
2002,National parliament,Unionist Party,Seats held by women,1.0
2002,National parliament,Unionist Party,Number of seats,8.0
2004,National parliament,Unionist Party,Proportion of seats held by women,14.3
2004,National parliament,Unionist Party,Seats held by women,1.0
2004,National parliament,Unionist Party,Number of seats,7.0
2008,National parliament,Unionist Party,Proportion of seats held by women,14.3
2008,National parliament,Unionist Party,Seats held by women,1.0
2008,National parliament,Unionist Party,Number of seats,7.0
2011,National parliament,Unionist Party,Proportion of seats held by women,25.0
2011,National parliament,Unionist Party,Seats held by women,2.0
2011,National parliament,Unionist Party,Number of seats,8.0
2015,National parliament,Unionist Party,Proportion of seats held by women,0.0
2015,National parliament,Unionist Party,Seats held by women,0.0
2015,National parliament,Unionist Party,Number of seats,6.0
2019,National parliament,Unionist Party,Proportion of seats held by women,14.3
2019,National parliament,Unionist Party,Seats held by women,1.0
2019,National parliament,Unionist Party,Number of seats,7.0
2022,National parliament,Unionist Party,Proportion of seats held by women,14.3
2022,National parliament,Unionist Party,Seats held by women,1.0
2022,National parliament,Unionist Party,Number of seats,7.0
1984,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
1984,National parliament,Workers´ Movement,Seats held by women,0.0
1984,National parliament,Workers´ Movement,Number of seats,2.0
1988,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
1988,National parliament,Workers´ Movement,Seats held by women,0.0
1988,National parliament,Workers´ Movement,Number of seats,2.0
1990,National parliament,Workers´ Movement,Proportion of seats held by women,33.3
1990,National parliament,Workers´ Movement,Seats held by women,1.0
1990,National parliament,Workers´ Movement,Number of seats,3.0
1994,National parliament,Workers´ Movement,Proportion of seats held by women,50.0
1994,National parliament,Workers´ Movement,Seats held by women,1.0
1994,National parliament,Workers´ Movement,Number of seats,2.0
1998,National parliament,Workers´ Movement,Proportion of seats held by women,50.0
1998,National parliament,Workers´ Movement,Seats held by women,1.0
1998,National parliament,Workers´ Movement,Number of seats,2.0
2002,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2002,National parliament,Workers´ Movement,Seats held by women,0.0
2002,National parliament,Workers´ Movement,Number of seats,1.0
2004,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2004,National parliament,Workers´ Movement,Seats held by women,0.0
2004,National parliament,Workers´ Movement,Number of seats,1.0
2008,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2008,National parliament,Workers´ Movement,Seats held by women,0.0
2008,National parliament,Workers´ Movement,Number of seats,2.0
2011,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2011,National parliament,Workers´ Movement,Seats held by women,0.0
2011,National parliament,Workers´ Movement,Number of seats,1.0
2015,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2015,National parliament,Workers´ Movement,Seats held by women,0.0
2015,National parliament,Workers´ Movement,Number of seats,2.0
2019,National parliament,Workers´ Movement,Proportion of seats held by women,0.0
2019,National parliament,Workers´ Movement,Seats held by women,0.0
2019,National parliament,Workers´ Movement,Number of seats,1.0
1984,National parliament,Republican Party,Proportion of seats held by women,16.7
1984,National parliament,Republican Party,Seats held by women,1.0
1984,National parliament,Republican Party,Number of seats,6.0
1988,National parliament,Republican Party,Proportion of seats held by women,33.3
1988,National parliament,Republican Party,Seats held by women,2.0
1988,National parliament,Republican Party,Number of seats,6.0
1990,National parliament,Republican Party,Proportion of seats held by women,0.0
1990,National parliament,Republican Party,Seats held by women,0.0
1990,National parliament,Republican Party,Number of seats,4.0
1994,National parliament,Republican Party,Proportion of seats held by women,0.0
1994,National parliament,Republican Party,Seats held by women,0.0
1994,National parliament,Republican Party,Number of seats,4.0
1998,National parliament,Republican Party,Proportion of seats held by women,12.5
1998,National parliament,Republican Party,Seats held by women,1.0
1998,National parliament,Republican Party,Number of seats,8.0
2002,National parliament,Republican Party,Proportion of seats held by women,25.0
2002,National parliament,Republican Party,Seats held by women,2.0
2002,National parliament,Republican Party,Number of seats,8.0
2004,National parliament,Republican Party,Proportion of seats held by women,25.0
2004,National parliament,Republican Party,Seats held by women,2.0
2004,National parliament,Republican Party,Number of seats,8.0
2008,National parliament,Republican Party,Proportion of seats held by women,37.5
2008,National parliament,Republican Party,Seats held by women,3.0
2008,National parliament,Republican Party,Number of seats,8.0
2011,National parliament,Republican Party,Proportion of seats held by women,66.7
2011,National parliament,Republican Party,Seats held by women,4.0
2011,National parliament,Republican Party,Number of seats,6.0
2015,National parliament,Republican Party,Proportion of seats held by women,57.1
2015,National parliament,Republican Party,Seats held by women,4.0
2015,National parliament,Republican Party,Number of seats,7.0
2019,National parliament,Republican Party,Proportion of seats held by women,83.3
2019,National parliament,Republican Party,Seats held by women,5.0
2019,National parliament,Republican Party,Number of seats,6.0
2022,National parliament,Republican Party,Proportion of seats held by women,66.7
2022,National parliament,Republican Party,Seats held by women,4.0
2022,National parliament,Republican Party,Number of seats,6.0
1994,National parliament,Verkamannafylkingin,Proportion of seats held by women,33.3
1994,National parliament,Verkamannafylkingin,Seats held by women,1.0
1994,National parliament,Verkamannafylkingin,Number of seats,3.0
1992,Local goverment,All municipalities,Proportion of seats held by women,15.3
1992,Local goverment,All municipalities,Seats held by women,43.0
1992,Local goverment,All municipalities,Number of seats,281.0
1996,Local goverment,All municipalities,Proportion of seats held by women,15.8
1996,Local goverment,All municipalities,Seats held by women,44.0
1996,Local goverment,All municipalities,Number of seats,279.0
2000,Local goverment,All municipalities,Proportion of seats held by women,23.2
2000,Local goverment,All municipalities,Seats held by women,63.0
2000,Local goverment,All municipalities,Number of seats,272.0
2004,Local goverment,All municipalities,Proportion of seats held by women,22.7
2004,Local goverment,All municipalities,Seats held by women,50.0
2004,Local goverment,All municipalities,Number of seats,220.0
2012,Local goverment,All municipalities,Proportion of seats held by women,27.8
2012,Local goverment,All municipalities,Seats held by women,57.0
2012,Local goverment,All municipalities,Number of seats,205.0
2016,Local goverment,All municipalities,Proportion of seats held by women,33.8
2016,Local goverment,All municipalities,Seats held by women,68.0
2016,Local goverment,All municipalities,Number of seats,201.0
2020,Local goverment,All municipalities,Proportion of seats held by women,36.2
2020,Local goverment,All municipalities,Seats held by women,72.0
2020,Local goverment,All municipalities,Number of seats,199.0
2024,Local goverment,All municipalities,Proportion of seats held by women,33.3
2024,Local goverment,All municipalities,Seats held by women,67.0
2024,Local goverment,All municipalities,Number of seats,201.0
1992,Local goverment,Argir municipality,Proportion of seats held by women,0.0
1992,Local goverment,Argir municipality,Seats held by women,0.0
1992,Local goverment,Argir municipality,Number of seats,7.0
1992,Local goverment,Bøur municipality,Proportion of seats held by women,66.7
1992,Local goverment,Bøur municipality,Seats held by women,2.0
1992,Local goverment,Bøur municipality,Number of seats,3.0
1996,Local goverment,Bøur municipality,Proportion of seats held by women,33.3
1996,Local goverment,Bøur municipality,Seats held by women,1.0
1996,Local goverment,Bøur municipality,Number of seats,3.0
2000,Local goverment,Bøur municipality,Proportion of seats held by women,0.0
2000,Local goverment,Bøur municipality,Seats held by women,0.0
2000,Local goverment,Bøur municipality,Number of seats,3.0
1992,Local goverment,Eiði municipality,Proportion of seats held by women,0.0
1992,Local goverment,Eiði municipality,Seats held by women,0.0
1992,Local goverment,Eiði municipality,Number of seats,7.0
1996,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
1996,Local goverment,Eiði municipality,Seats held by women,1.0
1996,Local goverment,Eiði municipality,Number of seats,7.0
2000,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
2000,Local goverment,Eiði municipality,Seats held by women,1.0
2000,Local goverment,Eiði municipality,Number of seats,7.0
2004,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
2004,Local goverment,Eiði municipality,Seats held by women,1.0
2004,Local goverment,Eiði municipality,Number of seats,7.0
2012,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
2012,Local goverment,Eiði municipality,Seats held by women,1.0
2012,Local goverment,Eiði municipality,Number of seats,7.0
2016,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
2016,Local goverment,Eiði municipality,Seats held by women,1.0
2016,Local goverment,Eiði municipality,Number of seats,7.0
2020,Local goverment,Eiði municipality,Proportion of seats held by women,57.1
2020,Local goverment,Eiði municipality,Seats held by women,4.0
2020,Local goverment,Eiði municipality,Number of seats,7.0
2024,Local goverment,Eiði municipality,Proportion of seats held by women,14.3
2024,Local goverment,Eiði municipality,Seats held by women,1.0
2024,Local goverment,Eiði municipality,Number of seats,7.0
1992,Local goverment,Elduvík municipality,Proportion of seats held by women,0.0
1992,Local goverment,Elduvík municipality,Seats held by women,0.0
1992,Local goverment,Elduvík municipality,Number of seats,5.0
1996,Local goverment,Elduvík municipality,Proportion of seats held by women,25.0
1996,Local goverment,Elduvík municipality,Seats held by women,1.0
1996,Local goverment,Elduvík municipality,Number of seats,4.0
2000,Local goverment,Elduvík municipality,Proportion of seats held by women,25.0
2000,Local goverment,Elduvík municipality,Seats held by women,1.0
2000,Local goverment,Elduvík municipality,Number of seats,4.0
2012,Local goverment,Eystur municipality,Proportion of seats held by women,33.3
2012,Local goverment,Eystur municipality,Seats held by women,3.0
2012,Local goverment,Eystur municipality,Number of seats,9.0
2016,Local goverment,Eystur municipality,Proportion of seats held by women,22.2
2016,Local goverment,Eystur municipality,Seats held by women,2.0
2016,Local goverment,Eystur municipality,Number of seats,9.0
2020,Local goverment,Eystur municipality,Proportion of seats held by women,44.4
2020,Local goverment,Eystur municipality,Seats held by women,4.0
2020,Local goverment,Eystur municipality,Number of seats,9.0
2024,Local goverment,Eystur municipality,Proportion of seats held by women,44.4
2024,Local goverment,Eystur municipality,Seats held by women,4.0
2024,Local goverment,Eystur municipality,Number of seats,9.0
1992,Local goverment,Fámjin municipality,Proportion of seats held by women,20.0
1992,Local goverment,Fámjin municipality,Seats held by women,1.0
1992,Local goverment,Fámjin municipality,Number of seats,5.0
1996,Local goverment,Fámjin municipality,Proportion of seats held by women,20.0
1996,Local goverment,Fámjin municipality,Seats held by women,1.0
1996,Local goverment,Fámjin municipality,Number of seats,5.0
2000,Local goverment,Fámjin municipality,Proportion of seats held by women,20.0
2000,Local goverment,Fámjin municipality,Seats held by women,1.0
2000,Local goverment,Fámjin municipality,Number of seats,5.0
2004,Local goverment,Fámjin municipality,Proportion of seats held by women,40.0
2004,Local goverment,Fámjin municipality,Seats held by women,2.0
2004,Local goverment,Fámjin municipality,Number of seats,5.0
2012,Local goverment,Fámjin municipality,Proportion of seats held by women,42.9
2012,Local goverment,Fámjin municipality,Seats held by women,3.0
2012,Local goverment,Fámjin municipality,Number of seats,7.0
2016,Local goverment,Fámjin municipality,Proportion of seats held by women,0.0
2016,Local goverment,Fámjin municipality,Seats held by women,0.0
2016,Local goverment,Fámjin municipality,Number of seats,3.0
2020,Local goverment,Fámjin municipality,Proportion of seats held by women,0.0
2020,Local goverment,Fámjin municipality,Seats held by women,0.0
2020,Local goverment,Fámjin municipality,Number of seats,3.0
2024,Local goverment,Fámjin municipality,Proportion of seats held by women,33.3
2024,Local goverment,Fámjin municipality,Seats held by women,1.0
2024,Local goverment,Fámjin municipality,Number of seats,3.0
1992,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,33.3
1992,Local goverment,Fuglafjørður municipality,Seats held by women,3.0
1992,Local goverment,Fuglafjørður municipality,Number of seats,9.0
1996,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
1996,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
1996,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2000,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
2000,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
2000,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2004,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
2004,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
2004,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2012,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
2012,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
2012,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2016,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
2016,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
2016,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2020,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,22.2
2020,Local goverment,Fuglafjørður municipality,Seats held by women,2.0
2020,Local goverment,Fuglafjørður municipality,Number of seats,9.0
2024,Local goverment,Fuglafjørður municipality,Proportion of seats held by women,11.1
2024,Local goverment,Fuglafjørður municipality,Seats held by women,1.0
2024,Local goverment,Fuglafjørður municipality,Number of seats,9.0
1992,Local goverment,Fugloy municipality,Proportion of seats held by women,20.0
1992,Local goverment,Fugloy municipality,Seats held by women,1.0
1992,Local goverment,Fugloy municipality,Number of seats,5.0
1996,Local goverment,Fugloy municipality,Proportion of seats held by women,0.0
1996,Local goverment,Fugloy municipality,Seats held by women,0.0
1996,Local goverment,Fugloy municipality,Number of seats,5.0
2000,Local goverment,Fugloy municipality,Proportion of seats held by women,0.0
2000,Local goverment,Fugloy municipality,Seats held by women,0.0
2000,Local goverment,Fugloy municipality,Number of seats,3.0
2004,Local goverment,Fugloy municipality,Proportion of seats held by women,33.3
2004,Local goverment,Fugloy municipality,Seats held by women,1.0
2004,Local goverment,Fugloy municipality,Number of seats,3.0
2012,Local goverment,Fugloy municipality,Proportion of seats held by women,33.3
2012,Local goverment,Fugloy municipality,Seats held by women,1.0
2012,Local goverment,Fugloy municipality,Number of seats,3.0
2016,Local goverment,Fugloy municipality,Proportion of seats held by women,66.7
2016,Local goverment,Fugloy municipality,Seats held by women,2.0
2016,Local goverment,Fugloy municipality,Number of seats,3.0
2020,Local goverment,Fugloy municipality,Proportion of seats held by women,66.7
2020,Local goverment,Fugloy municipality,Seats held by women,2.0
2020,Local goverment,Fugloy municipality,Number of seats,3.0
2024,Local goverment,Fugloy municipality,Proportion of seats held by women,33.3
2024,Local goverment,Fugloy municipality,Seats held by women,1.0
2024,Local goverment,Fugloy municipality,Number of seats,3.0
1992,Local goverment,Funningur municipality,Proportion of seats held by women,20.0
1992,Local goverment,Funningur municipality,Seats held by women,1.0
1992,Local goverment,Funningur municipality,Number of seats,5.0
1996,Local goverment,Funningur municipality,Proportion of seats held by women,0.0
1996,Local goverment,Funningur municipality,Seats held by women,0.0
1996,Local goverment,Funningur municipality,Number of seats,5.0
2000,Local goverment,Funningur municipality,Proportion of seats held by women,33.3
2000,Local goverment,Funningur municipality,Seats held by women,1.0
2000,Local goverment,Funningur municipality,Number of seats,3.0
2004,Local goverment,Funningur municipality,Proportion of seats held by women,50.0
2004,Local goverment,Funningur municipality,Seats held by women,1.0
2004,Local goverment,Funningur municipality,Number of seats,2.0
1992,Local goverment,Gjógv municipality,Proportion of seats held by women,25.0
1992,Local goverment,Gjógv municipality,Seats held by women,1.0
1992,Local goverment,Gjógv municipality,Number of seats,4.0
1996,Local goverment,Gjógv municipality,Proportion of seats held by women,0.0
1996,Local goverment,Gjógv municipality,Seats held by women,0.0
1996,Local goverment,Gjógv municipality,Number of seats,4.0
2000,Local goverment,Gjógv municipality,Proportion of seats held by women,0.0
2000,Local goverment,Gjógv municipality,Seats held by women,0.0
2000,Local goverment,Gjógv municipality,Number of seats,1.0
1992,Local goverment,Gøta municipality,Proportion of seats held by women,0.0
1992,Local goverment,Gøta municipality,Seats held by women,0.0
1992,Local goverment,Gøta municipality,Number of seats,5.0
1996,Local goverment,Gøta municipality,Proportion of seats held by women,0.0
1996,Local goverment,Gøta municipality,Seats held by women,0.0
1996,Local goverment,Gøta municipality,Number of seats,5.0
2000,Local goverment,Gøta municipality,Proportion of seats held by women,33.3
2000,Local goverment,Gøta municipality,Seats held by women,3.0
2000,Local goverment,Gøta municipality,Number of seats,9.0
2004,Local goverment,Gøta municipality,Proportion of seats held by women,33.3
2004,Local goverment,Gøta municipality,Seats held by women,4.0
2004,Local goverment,Gøta municipality,Number of seats,12.0
1992,Local goverment,Haldórsvík municipality,Proportion of seats held by women,25.0
1992,Local goverment,Haldórsvík municipality,Seats held by women,1.0
1992,Local goverment,Haldórsvík municipality,Number of seats,4.0
1996,Local goverment,Haldórsvík municipality,Proportion of seats held by women,0.0
1996,Local goverment,Haldórsvík municipality,Seats held by women,0.0
1996,Local goverment,Haldórsvík municipality,Number of seats,3.0
2000,Local goverment,Haldórsvík municipality,Proportion of seats held by women,0.0
2000,Local goverment,Haldórsvík municipality,Seats held by women,0.0
2000,Local goverment,Haldórsvík municipality,Number of seats,3.0
1992,Local goverment,Hestur municipality,Proportion of seats held by women,20.0
1992,Local goverment,Hestur municipality,Seats held by women,1.0
1992,Local goverment,Hestur municipality,Number of seats,5.0
1996,Local goverment,Hestur municipality,Proportion of seats held by women,0.0
1996,Local goverment,Hestur municipality,Seats held by women,0.0
1996,Local goverment,Hestur municipality,Number of seats,5.0
2000,Local goverment,Hestur municipality,Proportion of seats held by women,0.0
2000,Local goverment,Hestur municipality,Seats held by women,0.0
2000,Local goverment,Hestur municipality,Number of seats,3.0
1992,Local goverment,Hósvík municipality,Proportion of seats held by women,0.0
1992,Local goverment,Hósvík municipality,Seats held by women,0.0
1992,Local goverment,Hósvík municipality,Number of seats,3.0
1996,Local goverment,Hósvík municipality,Proportion of seats held by women,0.0
1996,Local goverment,Hósvík municipality,Seats held by women,0.0
1996,Local goverment,Hósvík municipality,Number of seats,4.0
2000,Local goverment,Hósvík municipality,Proportion of seats held by women,50.0
2000,Local goverment,Hósvík municipality,Seats held by women,2.0
2000,Local goverment,Hósvík municipality,Number of seats,4.0
1992,Local goverment,Hov municipality,Proportion of seats held by women,60.0
1992,Local goverment,Hov municipality,Seats held by women,3.0
1992,Local goverment,Hov municipality,Number of seats,5.0
1996,Local goverment,Hov municipality,Proportion of seats held by women,20.0
1996,Local goverment,Hov municipality,Seats held by women,1.0
1996,Local goverment,Hov municipality,Number of seats,5.0
2000,Local goverment,Hov municipality,Proportion of seats held by women,40.0
2000,Local goverment,Hov municipality,Seats held by women,2.0
2000,Local goverment,Hov municipality,Number of seats,5.0
2004,Local goverment,Hov municipality,Proportion of seats held by women,40.0
2004,Local goverment,Hov municipality,Seats held by women,2.0
2004,Local goverment,Hov municipality,Number of seats,5.0
2012,Local goverment,Hov municipality,Proportion of seats held by women,40.0
2012,Local goverment,Hov municipality,Seats held by women,2.0
2012,Local goverment,Hov municipality,Number of seats,5.0
2016,Local goverment,Hov municipality,Proportion of seats held by women,40.0
