"Year","Units","data.outcome","data.sex","Value"
"2017","data.pr.100.000","data.lethal","data.female",-
"2017","data.pr.100.000","data.non-lethal","",610.8
"2017","data.pr.100.000","data.non-lethal","data.male",782.5
"2017","data.pr.100.000","data.non-lethal","data.female",413.3
"2018","data.persons","data.lethal","",1
"2018","data.persons","data.lethal","data.male",1
"2018","data.persons","data.lethal","data.female",-
"2018","data.persons","data.non-lethal","",215
"2018","data.persons","data.non-lethal","data.male",131
"2018","data.persons","data.non-lethal","data.female",84
"2018","data.pr.100.000","data.lethal","",3.3
"2018","data.pr.100.000","data.lethal","data.male",6.1
"2018","data.pr.100.000","data.lethal","data.female",-
"2018","data.pr.100.000","data.non-lethal","",705.6
"2018","data.pr.100.000","data.non-lethal","data.male",795.2
"2018","data.pr.100.000","data.non-lethal","data.female",600.1
"2019","data.persons","data.lethal","",1
"2019","data.persons","data.lethal","data.male",-
"2019","data.persons","data.lethal","data.female",1
"2019","data.persons","data.non-lethal","",226
"2019","data.persons","data.non-lethal","data.male",119
"2019","data.persons","data.non-lethal","data.female",107
"2019","data.pr.100.000","data.lethal","",3.2
"2019","data.pr.100.000","data.lethal","data.male",-
"2019","data.pr.100.000","data.lethal","data.female",6.9
"2019","data.pr.100.000","data.non-lethal","",724.2
"2019","data.pr.100.000","data.non-lethal","data.male",708.8
"2019","data.pr.100.000","data.non-lethal","data.female",742.1
"2020","data.persons","data.lethal","",3
"2020","data.persons","data.lethal","data.male",3
"2020","data.persons","data.lethal","data.female",-
"2020","data.persons","data.non-lethal","",170
"2020","data.persons","data.non-lethal","data.male",100
"2020","data.persons","data.non-lethal","data.female",70
"2020","data.pr.100.000","data.lethal","",9.6
"2020","data.pr.100.000","data.lethal","data.male",17.8
"2020","data.pr.100.000","data.lethal","data.female",-
"2020","data.pr.100.000","data.non-lethal","",544.2
"2020","data.pr.100.000","data.non-lethal","data.male",594.5
"2020","data.pr.100.000","data.non-lethal","data.female",485.5
"2021","data.persons","data.lethal","",-
"2021","data.persons","data.lethal","",..
"2021","data.persons","data.lethal","data.male",-
"2021","data.persons","data.lethal","data.male",..
"2021","data.persons","data.lethal","data.female",-
"2021","data.persons","data.lethal","data.female",..
"2021","data.pr.100.000","data.lethal","",-
"2021","data.pr.100.000","data.lethal","",..
"2021","data.pr.100.000","data.lethal","data.male",-
"2021","data.pr.100.000","data.lethal","data.male",..
"2021","data.pr.100.000","data.lethal","data.female",-
"2021","data.pr.100.000","data.lethal","data.female",..
