"Year","Series","data.frequencyofchlorophyll-aconcentration",,"data.nutrient""Value"
"2003","data.skopunnutrients","","data.phosphate",
"2004","data.skopunnutrients","","data.nitrogen",-1.93592816998383
"2004","data.skopunnutrients","","data.silica",-5.03705222318012
"2004","data.skopunnutrients","","data.phosphate",
"2005","data.skopunnutrients","","data.nitrogen",4.47702095185823
"2005","data.skopunnutrients","","data.silica",6.28803429596037
"2005","data.skopunnutrients","","data.phosphate",
"2006","data.skopunnutrients","","data.nitrogen",0.67891899439505
"2006","data.skopunnutrients","","data.silica",-3.66797511244391
"2006","data.skopunnutrients","","data.phosphate",
"2007","data.skopunnutrients","","data.nitrogen",0.562054270956175
"2007","data.skopunnutrients","","data.silica",
"2007","data.skopunnutrients","","data.phosphate",
"2008","data.skopunnutrients","","data.nitrogen",5.28338723272642
"2008","data.skopunnutrients","","data.silica",
"2008","data.skopunnutrients","","data.phosphate",
"2009","data.skopunnutrients","","data.nitrogen",6.54318844747699
"2009","data.skopunnutrients","","data.silica",
"2009","data.skopunnutrients","","data.phosphate",-11.4062390330222
"2010","data.skopunnutrients","","data.nitrogen",-6.73497614175494
"2010","data.skopunnutrients","","data.silica",23.0827181681397
"2010","data.skopunnutrients","","data.phosphate",10.7650663183037
"2011","data.skopunnutrients","","data.nitrogen",-1.0503860823426
"2011","data.skopunnutrients","","data.silica",-7.1336193607715
"2011","data.skopunnutrients","","data.phosphate",7.13302112696265
"2012","data.skopunnutrients","","data.nitrogen",-7.18578160872526
"2012","data.skopunnutrients","","data.silica",-1.87833179506403
"2012","data.skopunnutrients","","data.phosphate",0.176731184224744
"2013","data.skopunnutrients","","data.nitrogen",1.68736377092057
"2013","data.skopunnutrients","","data.silica",-13.8264379096641
"2013","data.skopunnutrients","","data.phosphate",3.77799633157136
"2014","data.skopunnutrients","","data.nitrogen",1.80584504837274
"2014","data.skopunnutrients","","data.silica",-16.6983679939903
"2014","data.skopunnutrients","","data.phosphate",-7.00486868055228
"2015","data.skopunnutrients","","data.nitrogen",2.48482881995909
"2015","data.skopunnutrients","","data.silica",-19.8177162712287
"2015","data.skopunnutrients","","data.phosphate",4.72602168659936
"2016","data.skopunnutrients","","data.nitrogen",
"2016","data.skopunnutrients","","data.silica",-18.3519984060203
"2016","data.skopunnutrients","","data.phosphate",
"2017","data.skopunnutrients","","data.nitrogen",-0.480612351125868
"2017","data.skopunnutrients","","data.silica",-10.5692870855625
"2017","data.skopunnutrients","","data.phosphate",
"2018","data.skopunnutrients","","data.nitrogen",-2.61286680972806
"2018","data.skopunnutrients","","data.silica",-6.18152911727838
"2018","data.skopunnutrients","","data.phosphate",-13.7276406484792
"2019","data.skopunnutrients","","data.nitrogen",0.0014933678565786
"2019","data.skopunnutrients","","data.silica",-4.00800733823619
"2019","data.skopunnutrients","","data.phosphate",-6.69953064412768
"2020","data.skopunnutrients","","data.nitrogen",4.71893084429922
"2020","data.skopunnutrients","","data.silica",4.5028651011553
"2020","data.skopunnutrients","","data.phosphate",11.7623397437227
"2021","data.skopunnutrients","","data.nitrogen",1.61646583979172
"2021","data.skopunnutrients","","data.silica",-9.23041018945864
"2021","data.skopunnutrients","","data.phosphate",-0.929298355601193
"2022","data.skopunnutrients","","data.nitrogen",2.08480103163893
"2022","data.skopunnutrients","","data.silica",-15.5878048422747
"2022","data.skopunnutrients","","data.phosphate",1.42640097039801
