Year,Units,Series,energy source,Energy source,Value
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Total renewable,,1200.85962562681
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Hydro,,741.8942909645871
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Wind,,420.46905659202
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Solar,,4.85875354284113
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Ocean,,1.8687513626312
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Biofuel,,31.7687731647304
2022,Watts per capita,Installed renewable energy-generating capacity (in watts per capita),Geothermal,,0.0
2000,,,,,704.8
2000,,,,Hydro,701.4
2000,,,,Wind,3.3
2000,,,,Solar,0.0
2000,,,,Ocean,0.0
2000,,,,Biofuel,0.0
2001,,,,,694.2
2001,,,,Hydro,690.9
2001,,,,Wind,3.3
2001,,,,Solar,0.0
2001,,,,Ocean,0.0
2001,,,,Biofuel,0.0
2002,,,,,682.3
2002,,,,Hydro,679.1
2002,,,,Wind,3.2
2002,,,,Solar,0.0
2002,,,,Ocean,0.0
2002,,,,Biofuel,0.0
2003,,,,,713.2
2003,,,,Hydro,668.2
2003,,,,Wind,45.0
2003,,,,Solar,0.0
2003,,,,Ocean,0.0
2003,,,,Biofuel,0.0
2004,,,,,704.2
2004,,,,Hydro,659.7
2004,,,,Wind,44.5
2004,,,,Solar,0.0
2004,,,,Ocean,0.0
2004,,,,Biofuel,0.0
2005,,,,,740.5
2005,,,,Hydro,655.3
2005,,,,Wind,85.2
2005,,,,Solar,0.0
2005,,,,Ocean,0.0
2005,,,,Biofuel,0.0
2006,,,,,740.7
2006,,,,Hydro,655.5
2006,,,,Wind,85.3
2006,,,,Solar,0.0
2006,,,,Ocean,0.0
2006,,,,Biofuel,0.0
2007,,,,,741.0
2007,,,,Hydro,655.7
2007,,,,Wind,85.3
2007,,,,Solar,0.0
2007,,,,Ocean,0.0
2007,,,,Biofuel,0.0
2008,,,,,739.6
2008,,,,Hydro,654.5
2008,,,,Wind,85.1
2008,,,,Solar,0.0
2008,,,,Ocean,0.0
2008,,,,Biofuel,0.0
2009,,,,,737.0
2009,,,,Hydro,652.2
2009,,,,Wind,84.8
2009,,,,Solar,0.0
2009,,,,Ocean,0.0
2009,,,,Biofuel,0.0
2010,,,,,735.6
2010,,,,Hydro,650.9
2010,,,,Wind,84.7
2010,,,,Solar,0.0
2010,,,,Ocean,0.0
2010,,,,Biofuel,0.0
2011,,,,,736.9
2011,,,,Hydro,652.1
2011,,,,Wind,84.8
2011,,,,Solar,0.0
2011,,,,Ocean,0.0
2011,,,,Biofuel,0.0
2012,,,,,991.8
2012,,,,Hydro,813.6
2012,,,,Wind,178.2
2012,,,,Solar,0.0
2012,,,,Ocean,0.0
2012,,,,Biofuel,0.0
2013,,,,,996.0
2013,,,,Hydro,817.0
2013,,,,Wind,179.0
2013,,,,Solar,0.0
2013,,,,Ocean,0.0
2013,,,,Biofuel,0.0
2014,,,,,1239.9
2014,,,,Hydro,817.5
2014,,,,Wind,422.5
2014,,,,Solar,0.0
2014,,,,Ocean,0.0
2014,,,,Biofuel,0.0
2015,,,,,1238.9
2015,,,,Hydro,812.7
2015,,,,Wind,420.0
2015,,,,Solar,0.0
2015,,,,Ocean,6.2
2015,,,,Biofuel,0.0
2016,,,,,1220.4
2016,,,,Hydro,804.6
2016,,,,Wind,415.8
2016,,,,Solar,0.0
2016,,,,Ocean,0.0
2016,,,,Biofuel,0.0
2017,,,,,1205.7
2017,,,,Hydro,794.9
2017,,,,Wind,410.8
2017,,,,Solar,0.0
2017,,,,Ocean,0.0
2017,,,,Biofuel,0.0
2018,,,,,1118.3
2018,,,,Hydro,792.1
2018,,,,Wind,326.2
2018,,,,Solar,0.0
2018,,,,Ocean,0.0
2018,,,,Biofuel,0.0
2019,,,,,1036.4
2019,,,,Hydro,780.6
2019,,,,Wind,250.7
2019,,,,Solar,5.1
2019,,,,Ocean,0.0
2019,,,,Biofuel,0.0
2020,,,,,1150.1
2020,,,,Hydro,768.3
2020,,,,Wind,368.7
2020,,,,Solar,5.0
2020,,,,Ocean,1.9
2020,,,,Biofuel,6.2
2021,,,,,1224.7
2021,,,,Hydro,756.6
2021,,,,Wind,428.8
2021,,,,Solar,5.0
2021,,,,Ocean,1.9
2021,,,,Biofuel,32.4
2022,,,,,1200.5
2022,,,,Hydro,741.7
2022,,,,Wind,420.3
2022,,,,Solar,4.9
2022,,,,Ocean,1.9
2022,,,,Biofuel,31.8
